,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NEE260116P00027500,2024-09-30 16:39:52+00:00,27.5,0.23,0.04,0.18,0.0,0.0,4.0,378,0.48633326171875,False,REGULAR,USD
1,NEE260116P00030000,2024-09-17 18:26:23+00:00,30.0,0.27,0.1,0.48,0.0,0.0,1.0,97,0.5324753784179688,False,REGULAR,USD
2,NEE260116P00032500,2024-03-12 13:59:57+00:00,32.5,1.2,0.7,0.79,0.0,0.0,1.0,16,0.5410202148437502,False,REGULAR,USD
3,NEE260116P00035000,2024-09-17 17:30:29+00:00,35.0,0.41,0.2,0.52,0.0,0.0,20.0,80,0.46680220703125,False,REGULAR,USD
4,NEE260116P00037500,2024-09-30 15:03:02+00:00,37.5,0.78,0.12,0.69,0.0,0.0,2.0,136,0.4602104760742188,False,REGULAR,USD
5,NEE260116P00040000,2024-10-14 18:46:08+00:00,40.0,0.54,0.17,0.79,0.0,0.0,1.0,30,0.4409235595703125,False,REGULAR,USD
6,NEE260116P00042500,2024-07-17 19:09:10+00:00,42.5,1.03,0.32,1.25,0.0,0.0,1.0,60,0.45825737060546884,False,REGULAR,USD
7,NEE260116P00045000,2024-10-14 15:01:17+00:00,45.0,0.7,0.48,0.95,0.0,0.0,5.0,401,0.397466962890625,False,REGULAR,USD
8,NEE260116P00047500,2024-08-23 18:07:58+00:00,47.5,1.04,0.33,1.16,0.0,0.0,6.0,174,0.38794557373046873,False,REGULAR,USD
9,NEE260116P00050000,2024-10-14 18:47:45+00:00,50.0,1.03,0.83,1.05,0.0,0.0,1.0,1394,0.3501041552734374,False,REGULAR,USD
10,NEE260116P00052500,2024-10-07 14:33:11+00:00,52.5,1.33,1.09,1.22,0.0,0.0,11.0,961,0.336920693359375,False,REGULAR,USD
11,NEE260116P00055000,2024-10-14 17:15:26+00:00,55.0,1.49,1.27,1.49,0.0,0.0,2.0,197,0.32910827148437494,False,REGULAR,USD
12,NEE260116P00057500,2024-09-17 15:46:31+00:00,57.5,1.99,1.62,1.81,0.0,0.0,1.0,322,0.3217841259765625,False,REGULAR,USD
13,NEE260116P00060000,2024-10-07 17:43:58+00:00,60.0,2.4,1.8,2.17,0.0,0.0,3.0,1028,0.3142158422851562,False,REGULAR,USD
14,NEE260116P00062500,2024-10-07 18:30:20+00:00,62.5,2.95,2.29,2.54,0.0,0.0,6.0,306,0.3048165222167969,False,REGULAR,USD
15,NEE260116P00065000,2024-10-14 17:15:26+00:00,65.0,3.01,2.73,2.99,0.0,0.0,2.0,846,0.29682099670410156,False,REGULAR,USD
16,NEE260116P00067500,2024-10-17 15:24:43+00:00,67.5,3.53,3.3,3.5,0.0,0.0,1.0,2299,0.28900857482910147,False,REGULAR,USD
17,NEE260116P00070000,2024-10-16 14:08:53+00:00,70.0,4.05,3.85,4.1,0.0,0.0,1.0,669,0.2821727056884765,False,REGULAR,USD
18,NEE260116P00072500,2024-10-16 15:06:44+00:00,72.5,4.7,3.8,4.8,0.0,0.0,42.0,1456,0.27625235473632803,False,REGULAR,USD
19,NEE260116P00075000,2024-10-17 13:33:53+00:00,75.0,5.0,5.2,5.6,0.0,0.0,2.0,2830,0.2710033837890625,False,REGULAR,USD
20,NEE260116P00077500,2024-10-16 15:08:54+00:00,77.5,6.35,6.15,6.75,0.0,0.0,1.0,143,0.2733837310791015,False,REGULAR,USD
21,NEE260116P00080000,2024-10-16 14:48:16+00:00,80.0,7.4,6.25,8.4,0.0,0.0,1.0,482,0.2866892620849609,False,REGULAR,USD
22,NEE260116P00082500,2024-10-16 14:33:38+00:00,82.5,8.55,8.1,10.9,0.0,0.0,1.0,227,0.31976998596191397,False,REGULAR,USD
23,NEE260116P00085000,2024-10-16 14:46:50+00:00,85.0,9.7,7.05,9.85,0.0,0.0,17.0,333,0.25382215911865236,True,REGULAR,USD
24,NEE260116P00087500,2024-10-02 14:09:02+00:00,87.5,10.4,9.95,11.25,0.0,0.0,1.0,56,0.2520826745605469,True,REGULAR,USD
25,NEE260116P00090000,2024-10-16 15:07:26+00:00,90.0,12.25,11.3,12.2,0.0,0.0,1.0,57,0.23566438171386717,True,REGULAR,USD
26,NEE260116P00092500,2024-10-01 17:37:52+00:00,92.5,13.3,13.4,13.65,0.0,0.0,133.0,133,0.22980506530761718,True,REGULAR,USD
27,NEE260116P00095000,2024-10-01 16:01:24+00:00,95.0,14.75,13.8,15.2,0.0,0.0,11.0,13,0.2238847143554687,True,REGULAR,USD
28,NEE260116P00100000,2024-10-01 16:43:48+00:00,100.0,18.2,17.15,20.0,0.0,0.0,3.0,22,0.2543409527587891,True,REGULAR,USD
29,NEE260116P00105000,2024-10-11 16:27:20+00:00,105.0,24.55,21.0,22.55,0.0,0.0,,1,0.2048419360351562,True,REGULAR,USD
30,NEE260116P00110000,2024-10-11 16:17:15+00:00,110.0,28.95,24.05,26.7,0.0,0.0,1.0,53,0.19312330322265625,True,REGULAR,USD
31,NEE260116P00115000,2024-10-01 16:26:44+00:00,115.0,30.35,30.1,32.35,0.0,0.0,,2,0.2457961163330078,True,REGULAR,USD
