,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NFLX250815C00310000,2024-09-30 18:59:36+00:00,310.0,410.53,463.0,472.35,0.0,0.0,,1,0.7499719827270508,True,REGULAR,USD
1,NFLX250815C00330000,2024-09-19 19:54:40+00:00,330.0,390.33,444.0,453.4,0.0,0.0,,2,0.7183255706787108,True,REGULAR,USD
2,NFLX250815C00350000,2024-08-19 15:02:22+00:00,350.0,353.16,363.75,369.7,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
3,NFLX250815C00370000,2024-08-07 16:10:24+00:00,370.0,282.45,313.0,320.65,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
4,NFLX250815C00380000,2024-08-27 17:36:54+00:00,380.0,346.2,346.0,355.85,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
5,NFLX250815C00390000,2024-10-15 14:15:58+00:00,390.0,337.45,388.0,397.0,0.0,0.0,2.0,2,0.6367681587219238,True,REGULAR,USD
6,NFLX250815C00400000,2024-10-18 19:23:57+00:00,400.0,383.13,379.0,386.85,70.67999,22.621216,2.0,6,0.6214637463378907,True,REGULAR,USD
7,NFLX250815C00440000,2024-09-19 18:03:56+00:00,440.0,291.87,342.0,350.85,0.0,0.0,,1,0.5782207705688477,True,REGULAR,USD
8,NFLX250815C00450000,2024-10-14 19:12:02+00:00,450.0,289.2,333.0,341.3,0.0,0.0,4.0,2,0.5660138613891602,True,REGULAR,USD
9,NFLX250815C00470000,2024-08-07 18:08:35+00:00,470.0,193.98,231.65,234.15,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
10,NFLX250815C00490000,2024-09-30 15:17:59+00:00,490.0,250.55,298.45,305.55,0.0,0.0,1.0,2,0.5314988256835937,True,REGULAR,USD
11,NFLX250815C00495000,2024-09-26 15:45:07+00:00,495.0,244.4,293.25,300.1,0.0,0.0,1.0,1,0.5204363142395019,True,REGULAR,USD
12,NFLX250815C00500000,2024-10-18 19:23:57+00:00,500.0,293.06,289.4,296.4,65.16,28.59149,3.0,8,0.5202226933288574,True,REGULAR,USD
13,NFLX250815C00510000,2024-10-01 18:28:01+00:00,510.0,236.85,280.45,289.0,0.0,0.0,,1,0.5150500155639649,True,REGULAR,USD
14,NFLX250815C00515000,2024-10-01 18:27:14+00:00,515.0,233.3,278.0,282.0,0.0,0.0,2.0,2,0.5081531118774415,True,REGULAR,USD
15,NFLX250815C00530000,2024-08-29 17:15:48+00:00,530.0,216.09,217.55,219.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
16,NFLX250815C00535000,2024-09-27 15:23:42+00:00,535.0,210.65,261.0,264.95,0.0,0.0,1.0,2,0.5042316423034667,True,REGULAR,USD
17,NFLX250815C00540000,2024-09-11 18:04:59+00:00,540.0,189.2,223.1,226.3,0.0,0.0,2.0,3,0.22431195617675775,True,REGULAR,USD
18,NFLX250815C00550000,2024-10-18 13:30:09+00:00,550.0,228.45,248.95,252.3,39.649994,21.001057,2.0,27,0.49182637084960945,True,REGULAR,USD
19,NFLX250815C00555000,2024-10-17 18:29:04+00:00,555.0,183.73,244.75,247.85,0.0,0.0,2.0,3,0.48625696853637695,True,REGULAR,USD
20,NFLX250815C00575000,2024-10-14 15:14:15+00:00,575.0,191.84,228.3,231.9,0.0,0.0,1.0,2,0.47365333480834965,True,REGULAR,USD
21,NFLX250815C00585000,2024-10-01 14:28:15+00:00,585.0,175.5,220.45,224.0,0.0,0.0,,1,0.4672141902160644,True,REGULAR,USD
22,NFLX250815C00590000,2024-10-17 16:13:43+00:00,590.0,162.73,216.4,219.95,0.0,0.0,10.0,14,0.46336138450622555,True,REGULAR,USD
23,NFLX250815C00600000,2024-09-19 18:10:49+00:00,600.0,168.98,208.95,211.55,0.0,0.0,1.0,2,0.45396206443786613,True,REGULAR,USD
24,NFLX250815C00605000,2024-09-23 14:48:35+00:00,605.0,167.73,204.9,207.7,0.0,0.0,1.0,1,0.4508950785064698,True,REGULAR,USD
25,NFLX250815C00610000,2024-10-18 19:10:45+00:00,610.0,201.93,201.15,204.65,37.439987,22.761253,1.0,1,0.45158171714782713,True,REGULAR,USD
26,NFLX250815C00615000,2024-09-19 15:23:37+00:00,615.0,164.66,197.35,200.55,0.0,0.0,,1,0.4471033073425293,True,REGULAR,USD
27,NFLX250815C00625000,2024-09-03 19:41:23+00:00,625.0,133.07,151.35,153.15,0.0,0.0,,2,0.23824309127807614,True,REGULAR,USD
28,NFLX250815C00630000,2024-10-18 19:29:55+00:00,630.0,188.75,186.45,189.6,27.0,16.692427,6.0,3,0.4394739891052246,True,REGULAR,USD
29,NFLX250815C00635000,2024-10-17 17:01:41+00:00,635.0,134.95,182.8,185.95,0.0,0.0,2.0,2,0.4367198052215576,True,REGULAR,USD
30,NFLX250815C00640000,2024-10-17 13:31:02+00:00,640.0,129.62,179.3,182.35,0.0,0.0,1.0,5,0.43408769042968753,True,REGULAR,USD
31,NFLX250815C00645000,2024-10-02 15:47:09+00:00,645.0,142.8,175.8,178.85,0.0,0.0,3.0,8,0.4317912656402588,True,REGULAR,USD
32,NFLX250815C00650000,2024-10-18 19:29:41+00:00,650.0,174.55,172.05,175.3,38.850006,28.629335,10.0,9,0.429166780166626,True,REGULAR,USD
33,NFLX250815C00655000,2024-10-18 16:11:42+00:00,655.0,165.0,168.7,171.35,85.38,107.23436,4.0,1,0.42471888763427734,True,REGULAR,USD
34,NFLX250815C00660000,2024-10-18 19:28:56+00:00,660.0,167.85,165.3,168.3,47.800003,39.816742,48.0,3,0.42403224899291997,True,REGULAR,USD
35,NFLX250815C00670000,2024-10-18 16:11:06+00:00,670.0,155.15,158.5,161.05,45.499992,41.49566,3.0,2,0.417425259399414,True,REGULAR,USD
36,NFLX250815C00675000,2024-10-18 17:15:52+00:00,675.0,148.98,155.45,158.35,27.229996,22.3655,5.0,9,0.4178067253112792,True,REGULAR,USD
37,NFLX250815C00680000,2024-10-18 19:29:07+00:00,680.0,154.55,152.1,155.05,49.4,46.980507,10.0,10,0.41556370574951174,True,REGULAR,USD
38,NFLX250815C00685000,2024-10-18 19:28:05+00:00,685.0,150.95,148.75,151.9,46.829994,44.976944,16.0,9,0.4138165918731689,True,REGULAR,USD
39,NFLX250815C00690000,2024-10-18 19:27:48+00:00,690.0,147.8,145.5,148.3,47.800003,47.800003,20.0,5,0.41013926048278804,True,REGULAR,USD
40,NFLX250815C00695000,2024-10-18 19:29:22+00:00,695.0,145.05,142.55,145.5,45.200005,45.267906,37.0,5,0.40955943229675285,True,REGULAR,USD
41,NFLX250815C00700000,2024-10-18 19:26:57+00:00,700.0,141.1,139.4,142.3,46.050003,48.44819,29.0,30,0.40725537818908697,True,REGULAR,USD
42,NFLX250815C00705000,2024-10-18 19:26:39+00:00,705.0,137.85,136.4,139.25,41.750008,43.44434,15.0,10,0.4054319711303711,True,REGULAR,USD
43,NFLX250815C00710000,2024-10-18 16:54:36+00:00,710.0,127.9,133.35,136.1,17.21,15.547925,24.0,5,0.4030897704315186,True,REGULAR,USD
44,NFLX250815C00715000,2024-10-18 17:48:24+00:00,715.0,127.0,130.3,133.25,24.5,23.90244,35.0,24,0.40179278633117677,True,REGULAR,USD
45,NFLX250815C00720000,2024-10-18 19:08:19+00:00,720.0,128.44,127.45,130.35,35.29,37.88513,39.0,16,0.4001830001831055,True,REGULAR,USD
46,NFLX250815C00725000,2024-10-18 16:53:08+00:00,725.0,119.4,124.55,127.45,11.0,10.147601,14.0,9,0.398443515625,True,REGULAR,USD
47,NFLX250815C00730000,2024-10-18 17:23:23+00:00,730.0,115.65,121.7,124.55,32.65,39.337353,2.0,23,0.39658196197509765,True,REGULAR,USD
48,NFLX250815C00735000,2024-10-18 15:26:10+00:00,735.0,117.9,119.05,121.75,35.800003,43.605362,4.0,10,0.3949721758270264,True,REGULAR,USD
49,NFLX250815C00740000,2024-10-18 19:08:02+00:00,740.0,117.4,116.2,119.1,12.300003,11.703143,8.0,8,0.39380489013671877,True,REGULAR,USD
50,NFLX250815C00745000,2024-10-18 17:23:12+00:00,745.0,107.6,113.6,115.8,17.449997,19.356625,56.0,11,0.39008941215515136,True,REGULAR,USD
51,NFLX250815C00750000,2024-10-18 19:59:05+00:00,750.0,111.32,110.85,113.15,26.050003,30.55002,4.0,13,0.38867798828125,True,REGULAR,USD
52,NFLX250815C00755000,2024-10-14 13:44:07+00:00,755.0,91.35,108.2,110.4,0.0,0.0,8.0,13,0.3867706587219238,True,REGULAR,USD
53,NFLX250815C00760000,2024-10-18 15:52:01+00:00,760.0,104.63,105.6,108.5,36.549995,53.686832,4.0,6,0.3878692805480957,True,REGULAR,USD
54,NFLX250815C00765000,2024-10-18 16:14:17+00:00,765.0,99.65,103.25,105.95,31.82,46.911396,5.0,7,0.38644259803771974,False,REGULAR,USD
55,NFLX250815C00770000,2024-10-18 19:56:32+00:00,770.0,100.03,101.0,103.1,27.18,37.309544,50.0,117,0.383795224609375,False,REGULAR,USD
56,NFLX250815C00775000,2024-09-27 15:51:43+00:00,775.0,71.98,98.2,100.95,0.0,0.0,1.0,11,0.3835816036987304,False,REGULAR,USD
57,NFLX250815C00780000,2024-10-18 19:18:03+00:00,780.0,96.55,96.0,98.45,29.100006,43.143078,5.0,3,0.38196418823242184,False,REGULAR,USD
58,NFLX250815C00785000,2024-10-18 19:53:28+00:00,785.0,93.9,93.75,95.65,15.300003,19.465654,43.0,13,0.3791413404846191,False,REGULAR,USD
59,NFLX250815C00790000,2024-09-25 14:08:41+00:00,790.0,78.2,91.3,93.8,0.0,0.0,5.0,6,0.37962961685180663,False,REGULAR,USD
60,NFLX250815C00795000,2024-10-18 18:28:13+00:00,795.0,89.08,89.2,90.9,20.830002,30.52015,1.0,1,0.3761964236450196,False,REGULAR,USD
61,NFLX250815C00800000,2024-10-18 19:53:16+00:00,800.0,87.15,86.75,89.6,29.350002,50.77855,5.0,61,0.37842418457031246,False,REGULAR,USD
62,NFLX250815C00805000,2024-10-18 15:37:37+00:00,805.0,83.58,84.75,86.55,21.480003,34.58938,2.0,32,0.37420517158508304,False,REGULAR,USD
63,NFLX250815C00810000,2024-10-18 16:47:05+00:00,810.0,78.8,82.3,84.95,23.150002,41.59928,2.0,8,0.37509780181884766,False,REGULAR,USD
64,NFLX250815C00815000,2024-10-17 15:23:31+00:00,815.0,52.75,80.1,82.4,0.0,0.0,16.0,8,0.37243516975402835,False,REGULAR,USD
65,NFLX250815C00825000,2024-10-17 14:32:18+00:00,825.0,49.55,76.4,78.35,0.0,0.0,1.0,10,0.37053928417205806,False,REGULAR,USD
66,NFLX250815C00830000,2024-10-17 17:43:42+00:00,830.0,48.9,74.05,76.65,0.0,0.0,90.0,72,0.37058124542236326,False,REGULAR,USD
67,NFLX250815C00835000,2024-10-17 18:42:21+00:00,835.0,45.25,72.6,74.8,0.0,0.0,6.0,8,0.36996327064514156,False,REGULAR,USD
68,NFLX250815C00840000,2024-10-18 16:57:53+00:00,840.0,66.99,70.65,72.3,19.789997,41.92796,6.0,30,0.36685813812255863,False,REGULAR,USD
69,NFLX250815C00850000,2024-10-18 15:34:50+00:00,850.0,66.35,66.95,69.1,22.849998,52.528732,6.0,29,0.366842879486084,False,REGULAR,USD
70,NFLX250815C00860000,2024-10-17 18:56:29+00:00,860.0,39.25,63.55,64.55,0.0,0.0,25.0,24,0.36138791694641115,False,REGULAR,USD
71,NFLX250815C00865000,2024-10-17 14:55:02+00:00,865.0,38.65,61.7,63.55,0.0,0.0,3.0,6,0.3631731774139404,False,REGULAR,USD
72,NFLX250815C00870000,2024-10-17 18:56:31+00:00,870.0,37.05,60.0,61.75,0.0,0.0,60.0,62,0.36189908126831055,False,REGULAR,USD
73,NFLX250815C00880000,2024-10-18 14:31:07+00:00,880.0,56.8,56.75,58.6,6.799999,13.5999975,29.0,1,0.3606555023956298,False,REGULAR,USD
74,NFLX250815C00900000,2024-10-18 15:29:59+00:00,900.0,51.15,50.75,52.5,16.2,46.351933,4.0,18,0.3575427405548096,False,REGULAR,USD
75,NFLX250815C00910000,2024-10-18 14:57:12+00:00,910.0,48.7,47.95,49.7,11.100002,29.521284,5.0,28,0.3562610150909423,False,REGULAR,USD
76,NFLX250815C00915000,2024-08-06 15:28:32+00:00,915.0,18.8,33.0,36.9,0.0,0.0,,1,0.3099129067993164,False,REGULAR,USD
77,NFLX250815C00920000,2024-10-18 15:37:45+00:00,920.0,45.0,45.35,46.95,17.15,61.579887,1.0,3,0.35472752212524405,False,REGULAR,USD
