,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NFLX241101P00260000,2024-10-08 19:33:00+00:00,260.0,0.07,,0.23,0.0,0.0,,1,2.0839891650390623,False,REGULAR,USD
1,NFLX241101P00350000,2024-10-07 16:42:48+00:00,350.0,0.15,,0.1,0.0,0.0,,1,1.4121123144531251,False,REGULAR,USD
2,NFLX241101P00380000,2024-09-30 16:23:24+00:00,380.0,0.11,0.0,0.24,0.0,0.0,1.0,1,1.2949254003906248,False,REGULAR,USD
3,NFLX241101P00390000,2024-10-16 16:32:16+00:00,390.0,0.05,0.0,0.09,0.0,0.0,20.0,33,1.140629296875,False,REGULAR,USD
4,NFLX241101P00400000,2024-09-30 16:25:29+00:00,400.0,0.17,0.0,0.24,0.0,0.0,1.0,1,1.205082099609375,False,REGULAR,USD
5,NFLX241101P00410000,2024-09-30 16:26:02+00:00,410.0,0.18,0.0,0.24,0.0,0.0,1.0,1,1.162113564453125,False,REGULAR,USD
6,NFLX241101P00430000,2024-10-18 14:03:31+00:00,430.0,0.24,0.0,0.19,-0.14999999,-38.461536,1.0,1,1.0546922265625,False,REGULAR,USD
7,NFLX241101P00440000,2024-10-08 15:12:38+00:00,440.0,0.22,0.0,0.24,0.0,0.0,,2,1.0390673046875003,False,REGULAR,USD
8,NFLX241101P00460000,2024-10-07 16:32:34+00:00,460.0,0.01,0.0,0.24,0.0,0.0,,4,0.9609378906249999,False,REGULAR,USD
9,NFLX241101P00490000,2024-10-16 13:30:10+00:00,490.0,0.02,0.0,0.02,-0.19,-90.47619,3.0,133,0.6875031250000001,False,REGULAR,USD
10,NFLX241101P00495000,2024-10-15 15:03:11+00:00,495.0,0.26,0.0,0.26,0.0,0.0,20.0,21,0.8398453515625,False,REGULAR,USD
11,NFLX241101P00500000,2024-10-18 19:51:27+00:00,500.0,0.01,0.0,0.15,-0.22999999,-95.83333,9.0,62,0.7773459765625,False,REGULAR,USD
12,NFLX241101P00505000,2024-10-17 19:51:32+00:00,505.0,0.24,0.0,0.27,0.0,0.0,3.0,3,0.80664255859375,False,REGULAR,USD
13,NFLX241101P00510000,2024-10-15 15:22:18+00:00,510.0,0.37,0.0,0.28,0.0,0.0,1.0,2,0.7929708203125,False,REGULAR,USD
14,NFLX241101P00520000,2024-10-17 14:14:27+00:00,520.0,0.4,0.0,0.02,0.0,0.0,41.0,45,0.5937540625000001,False,REGULAR,USD
15,NFLX241101P00525000,2024-10-18 19:40:13+00:00,525.0,0.01,0.0,0.29,-0.47,-97.91667,1.0,27,0.743166630859375,False,REGULAR,USD
16,NFLX241101P00535000,2024-10-16 19:48:31+00:00,535.0,0.47,0.02,0.3,0.0,0.0,686.0,684,0.71679970703125,False,REGULAR,USD
17,NFLX241101P00540000,2024-10-17 19:53:19+00:00,540.0,0.18,0.0,0.31,-0.43,-70.491806,1.0,115,0.6972686523437501,False,REGULAR,USD
18,NFLX241101P00545000,2024-10-17 18:12:40+00:00,545.0,0.66,0.01,0.32,0.0,0.0,5.0,53,0.68555001953125,False,REGULAR,USD
19,NFLX241101P00550000,2024-10-18 19:45:23+00:00,550.0,0.06,0.01,0.15,-0.73,-92.40506,278.0,64,0.6191444335937502,False,REGULAR,USD
20,NFLX241101P00555000,2024-10-17 19:46:20+00:00,555.0,0.9,0.01,0.33,0.0,0.0,1.0,42,0.6543003320312502,False,REGULAR,USD
21,NFLX241101P00560000,2024-10-18 13:57:07+00:00,560.0,0.18,0.01,0.34,-0.63,-77.77778,5.0,23,0.639652041015625,False,REGULAR,USD
22,NFLX241101P00565000,2024-10-17 19:45:46+00:00,565.0,0.01,0.01,0.35,-1.11,-99.10715,2.0,67,0.6250037500000001,False,REGULAR,USD
23,NFLX241101P00570000,2024-10-18 16:37:39+00:00,570.0,0.1,0.01,0.2,-1.25,-92.59259,12.0,290,0.5732464550781251,False,REGULAR,USD
24,NFLX241101P00575000,2024-10-18 19:58:05+00:00,575.0,0.04,0.01,0.37,-1.6600001,-97.64706,116.0,119,0.59570716796875,False,REGULAR,USD
25,NFLX241101P00580000,2024-10-18 18:05:48+00:00,580.0,0.13,0.08,0.38,-1.83,-93.36735,38.0,61,0.5932657861328126,False,REGULAR,USD
26,NFLX241101P00585000,2024-10-18 15:31:06+00:00,585.0,0.16,0.01,0.39,-1.84,-92.0,22.0,42,0.5668988623046876,False,REGULAR,USD
27,NFLX241101P00590000,2024-10-18 18:34:13+00:00,590.0,0.17,0.1,0.4,-2.12,-92.576416,37.0,82,0.5664105859375,False,REGULAR,USD
28,NFLX241101P00595000,2024-10-18 18:34:13+00:00,595.0,0.2,0.05,0.41,-2.6399999,-92.95775,15.0,57,0.543949873046875,False,REGULAR,USD
29,NFLX241101P00600000,2024-10-18 19:53:57+00:00,600.0,0.13,0.09,0.13,-3.2800002,-96.18768,171.0,229,0.4931691308593751,False,REGULAR,USD
