,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NKE250417C00040000,2024-10-03 13:41:12+00:00,40.0,44.5,41.75,44.0,0.0,0.0,,3,0.7402369726562499,True,REGULAR,USD
1,NKE250417C00050000,2024-10-16 17:43:11+00:00,50.0,35.0,33.15,34.7,0.0,0.0,1.0,1,0.5361374511718751,True,REGULAR,USD
2,NKE250417C00055000,2024-10-15 16:19:28+00:00,55.0,28.35,28.35,29.2,0.0,0.0,1.0,12,0.48511257080078124,True,REGULAR,USD
3,NKE250417C00060000,2024-10-18 16:00:55+00:00,60.0,24.4,24.15,24.4,0.02999878,0.12309717,3.0,49,0.42358974853515624,True,REGULAR,USD
4,NKE250417C00065000,2024-10-18 19:33:55+00:00,65.0,19.85,18.7,20.7,-0.8999996,-4.3373475,2.0,12,0.43958079956054685,True,REGULAR,USD
5,NKE250417C00070000,2024-10-18 19:33:55+00:00,70.0,15.53,15.65,15.8,-0.97000027,-5.8787894,2.0,48,0.3587710607910156,True,REGULAR,USD
6,NKE250417C00072500,2024-10-07 16:05:14+00:00,72.5,12.05,13.75,13.9,0.0,0.0,1.0,46,0.34839518798828123,True,REGULAR,USD
7,NKE250417C00075000,2024-10-18 19:45:00+00:00,75.0,11.85,11.95,13.1,-0.8999996,-7.0588207,17.0,100,0.3874572973632812,True,REGULAR,USD
8,NKE250417C00077500,2024-10-17 19:52:09+00:00,77.5,11.02,10.3,10.45,0.0,0.0,6.0,81,0.3303899969482421,True,REGULAR,USD
9,NKE250417C00080000,2024-10-18 18:22:20+00:00,80.0,8.8,8.8,8.95,-0.75,-7.853403,4.0,859,0.32398136962890617,True,REGULAR,USD
10,NKE250417C00082500,2024-10-18 16:20:19+00:00,82.5,7.7,7.45,7.55,-0.4800005,-5.867976,3.0,208,0.31641308593749995,True,REGULAR,USD
11,NKE250417C00085000,2024-10-17 19:52:09+00:00,85.0,6.79,6.25,6.35,0.0,0.0,12.0,334,0.31189652954101554,False,REGULAR,USD
12,NKE250417C00087500,2024-10-17 18:53:05+00:00,87.5,5.75,4.95,5.3,0.0,0.0,87.0,388,0.30823445678710937,False,REGULAR,USD
13,NKE250417C00090000,2024-10-17 19:50:28+00:00,90.0,4.45,4.25,4.35,-0.3000002,-6.315794,1.0,365,0.3034737622070312,False,REGULAR,USD
14,NKE250417C00092500,2024-10-17 14:02:57+00:00,92.5,3.9,3.45,3.55,0.0,0.0,5.0,82,0.2999337585449219,False,REGULAR,USD
15,NKE250417C00095000,2024-10-18 18:50:09+00:00,95.0,2.84,2.75,2.9,-0.36000013,-11.250004,118.0,2066,0.29822479125976553,False,REGULAR,USD
16,NKE250417C00097500,2024-10-18 19:54:15+00:00,97.5,2.31,2.28,2.35,-0.34000015,-12.8301935,93.0,349,0.2966378930664062,False,REGULAR,USD
17,NKE250417C00100000,2024-10-18 18:06:23+00:00,100.0,1.83,1.65,1.9,-0.33000004,-15.277779,68.0,1899,0.29566134033203123,False,REGULAR,USD
18,NKE250417C00105000,2024-10-17 19:03:44+00:00,105.0,1.38,1.18,1.23,0.0,0.0,53.0,116,0.29480685668945306,False,REGULAR,USD
19,NKE250417C00110000,2024-10-18 13:32:47+00:00,110.0,0.85,0.76,0.81,-0.029999971,-3.4090877,3.0,571,0.29688203124999996,False,REGULAR,USD
20,NKE250417C00115000,2024-10-18 19:48:51+00:00,115.0,0.5,0.49,0.53,-0.16000003,-24.242428,27.0,52,0.29883513671874995,False,REGULAR,USD
21,NKE250417C00120000,2024-10-18 19:48:51+00:00,120.0,0.33,0.32,0.35,-0.03999999,-10.810808,10.0,93,0.301764794921875,False,REGULAR,USD
22,NKE250417C00125000,2024-10-18 14:24:58+00:00,125.0,0.25,0.21,0.25,-0.060000002,-19.35484,2.0,228,0.3086006640625,False,REGULAR,USD
23,NKE250417C00130000,2024-10-18 18:43:53+00:00,130.0,0.17,0.14,0.18,-0.049999997,-22.727272,6.0,82,0.31445998046874996,False,REGULAR,USD
