,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NKE250919P00040000,2024-10-18 16:16:09+00:00,40.0,0.21,0.06,0.22,-0.010000005,-4.545457,4,3,0.3940490283203125,False,REGULAR,USD
1,NKE250919P00042500,2024-10-18 16:17:58+00:00,42.5,0.25,0.19,0.26,-0.00999999,-3.8461502,4,47,0.37500625,False,REGULAR,USD
2,NKE250919P00045000,2024-10-18 16:18:44+00:00,45.0,0.29,0.24,0.3,0.06999999,31.818178,4,32,0.35547519531249994,False,REGULAR,USD
3,NKE250919P00047500,2024-10-18 14:05:44+00:00,47.5,0.38,0.32,0.39,-0.030000001,-7.317074,2,238,0.344733115234375,False,REGULAR,USD
4,NKE250919P00050000,2024-10-18 14:07:46+00:00,50.0,0.49,0.43,0.5,-0.00999999,-1.9999981,2,102,0.33399103515625,False,REGULAR,USD
5,NKE250919P00055000,2024-10-15 14:59:17+00:00,55.0,0.82,0.75,0.8,0.0,0.0,2,47,0.31372756591796874,False,REGULAR,USD
6,NKE250919P00060000,2024-10-18 14:56:53+00:00,60.0,1.27,1.23,1.31,-0.08000004,-5.925929,2,190,0.29944548217773437,False,REGULAR,USD
7,NKE250919P00065000,2024-10-18 19:20:27+00:00,65.0,2.05,2.01,2.06,0.07999992,4.0609097,1,203,0.28613995117187496,False,REGULAR,USD
8,NKE250919P00070000,2024-10-18 17:51:55+00:00,70.0,3.1,3.05,3.2,0.089999914,2.9900303,11,4731,0.27722890747070306,False,REGULAR,USD
9,NKE250919P00072500,2024-10-09 18:15:43+00:00,72.5,3.97,3.75,4.4,0.0,0.0,1,472,0.2915109912109374,False,REGULAR,USD
10,NKE250919P00075000,2024-10-18 17:20:38+00:00,75.0,4.63,4.35,5.25,-0.21999979,-4.536078,3,421,0.28705546936035153,False,REGULAR,USD
11,NKE250919P00077500,2024-10-18 14:50:26+00:00,77.5,5.48,5.45,5.6,-0.19000006,-3.350971,2,181,0.26215337463378907,False,REGULAR,USD
12,NKE250919P00080000,2024-10-11 17:09:25+00:00,80.0,7.15,4.55,6.6,0.0,0.0,150,4436,0.25653819641113285,False,REGULAR,USD
13,NKE250919P00082500,2024-10-18 15:16:39+00:00,82.5,7.75,7.6,7.75,0.5999999,8.391607,37,452,0.25214370910644535,False,REGULAR,USD
14,NKE250919P00085000,2024-10-08 19:22:10+00:00,85.0,10.15,8.8,9.0,0.0,0.0,10,281,0.247077841796875,True,REGULAR,USD
15,NKE250919P00087500,2024-10-18 15:10:44+00:00,87.5,10.3,9.2,12.25,0.0,0.0,6,372,0.30145962219238287,True,REGULAR,USD
16,NKE250919P00090000,2024-10-14 18:17:41+00:00,90.0,12.55,11.2,11.85,0.0,0.0,2,247,0.2366409344482422,True,REGULAR,USD
17,NKE250919P00092500,2024-10-02 15:20:25+00:00,92.5,12.78,11.9,13.45,0.0,0.0,20,38,0.2312698944091797,True,REGULAR,USD
18,NKE250919P00095000,2024-10-11 14:37:55+00:00,95.0,15.9,14.05,16.05,0.0,0.0,1,14,0.25708750732421876,True,REGULAR,USD
19,NKE250919P00097500,2024-10-10 14:36:52+00:00,97.5,17.3,15.65,16.95,0.0,0.0,70,91,0.21881884704589843,True,REGULAR,USD
20,NKE250919P00100000,2024-10-03 16:24:33+00:00,100.0,19.1,18.65,18.9,0.0,0.0,2,25,0.213875048828125,True,REGULAR,USD
21,NKE250919P00105000,2024-10-02 17:00:51+00:00,105.0,22.15,21.4,23.0,0.0,0.0,161,168,0.1992267578125,True,REGULAR,USD
22,NKE250919P00110000,2024-10-14 18:38:38+00:00,110.0,28.54,25.2,28.35,0.0,0.0,4,17,0.2467116345214844,True,REGULAR,USD
23,NKE250919P00120000,2024-10-02 14:19:40+00:00,120.0,37.0,35.45,39.5,0.0,0.0,1,0,0.35742830078125,True,REGULAR,USD
