,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA261218C00000500,2024-10-18 18:12:22+00:00,0.5,137.81,137.45,137.85,0.55999756,0.4080128,43.0,30892.0,2.1250046874999997,True,REGULAR,USD
1,NVDA261218C00001000,2024-10-15 17:22:59+00:00,1.0,130.47,135.65,137.55,0.0,0.0,40.0,997.0,2.425785185546875,True,REGULAR,USD
2,NVDA261218C00001500,2024-10-15 15:00:49+00:00,1.5,130.95,134.15,137.2,0.0,0.0,1.0,31.0,2.193363891601562,True,REGULAR,USD
3,NVDA261218C00002000,2024-10-18 19:58:50+00:00,2.0,134.85,134.8,137.6,4.9200134,3.7866647,937.0,160.0,1.4472683886718751,True,REGULAR,USD
4,NVDA261218C00002500,2024-10-01 15:08:26+00:00,2.5,115.8,134.35,137.55,0.0,0.0,5.0,268.0,1.5800802246093748,True,REGULAR,USD
5,NVDA261218C00003000,2024-09-24 15:35:34+00:00,3.0,115.15,132.8,139.25,0.0,0.0,1.0,62.0,1.8310555322265623,True,REGULAR,USD
6,NVDA261218C00003500,2024-09-30 15:30:55+00:00,3.5,119.18,132.9,138.3,0.0,0.0,1.0,165.0,1.75000125,True,REGULAR,USD
7,NVDA261218C00004000,2024-10-01 15:08:26+00:00,4.0,113.95,131.9,138.4,0.0,0.0,2.0,29.0,1.673829755859375,True,REGULAR,USD
8,NVDA261218C00004500,2024-09-06 14:11:41+00:00,4.5,100.9,117.1,124.95,0.0,0.0,2.0,6.0,1.0000000000000003e-05,True,REGULAR,USD
9,NVDA261218C00005000,2024-10-17 16:33:10+00:00,5.0,135.85,132.2,136.35,0.0,0.0,1.0,316.0,1.5649435815429684,True,REGULAR,USD
10,NVDA261218C00006000,2024-09-24 13:35:07+00:00,6.0,111.55,131.2,135.5,0.0,0.0,1.0,1247.0,1.4677760986328123,True,REGULAR,USD
11,NVDA261218C00007000,2024-10-16 18:52:09+00:00,7.0,130.79,130.3,134.6,0.0,0.0,9.0,439.0,1.3979522290039061,True,REGULAR,USD
12,NVDA261218C00008000,2024-10-08 16:35:12+00:00,8.0,126.87,129.4,133.7,0.0,0.0,70.0,657.0,1.3403353295898435,True,REGULAR,USD
13,NVDA261218C00009000,2024-10-18 15:19:11+00:00,9.0,131.61,128.5,132.9,-0.19000244,-0.14415966,4.0,63.0,1.3017613037109372,True,REGULAR,USD
14,NVDA261218C00010000,2024-10-18 15:36:39+00:00,10.0,129.83,127.7,131.2,-2.1799927,-1.6513845,21.0,1202.0,1.1884806201171876,True,REGULAR,USD
15,NVDA261218C00011000,2024-09-24 16:43:01+00:00,11.0,111.0,126.75,131.05,0.0,0.0,3.0,227.0,1.2199746032714844,True,REGULAR,USD
