,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA250516P00050000,2024-10-18 17:18:25+00:00,50.0,0.45,0.43,0.46,0.0,0.0,64.0,103,0.6962920996093751,False,REGULAR,USD
1,NVDA250516P00055000,2024-10-17 17:19:46+00:00,55.0,0.6,0.56,0.6,0.0,0.0,4.0,20,0.6657748266601564,False,REGULAR,USD
2,NVDA250516P00060000,2024-10-18 17:42:08+00:00,60.0,0.75,0.73,0.77,-0.050000012,-6.2500014,8.0,169,0.6384313500976562,False,REGULAR,USD
3,NVDA250516P00065000,2024-10-17 18:03:46+00:00,65.0,0.99,0.94,0.98,0.0,0.0,163.0,257,0.6132851171875001,False,REGULAR,USD
4,NVDA250516P00070000,2024-10-17 19:23:36+00:00,70.0,1.29,1.21,1.25,0.0,0.0,6.0,348,0.5913126806640626,False,REGULAR,USD
5,NVDA250516P00075000,2024-10-17 18:19:09+00:00,75.0,1.58,1.55,1.59,-0.06999993,-4.24242,1.0,133,0.5717816259765626,False,REGULAR,USD
6,NVDA250516P00080000,2024-10-18 16:56:23+00:00,80.0,2.02,2.0,2.06,-0.06999993,-3.3492792,18.0,167,0.5570112658691408,False,REGULAR,USD
7,NVDA250516P00085000,2024-10-18 18:21:53+00:00,85.0,2.57,2.57,2.62,-0.11000013,-4.104482,14.0,2530,0.5434615966796876,False,REGULAR,USD
8,NVDA250516P00090000,2024-10-18 14:20:48+00:00,90.0,3.35,3.25,3.35,0.049999952,1.5151501,2101.0,231,0.532109171142578,False,REGULAR,USD
9,NVDA250516P00095000,2024-10-17 18:32:08+00:00,95.0,4.35,4.15,4.25,0.0,0.0,341.0,1986,0.5241746801757812,False,REGULAR,USD
10,NVDA250516P00100000,2024-10-17 19:54:31+00:00,100.0,5.31,5.15,5.3,-0.19000006,-3.4545467,1.0,6449,0.5151415673828125,False,REGULAR,USD
11,NVDA250516P00105000,2024-10-18 15:26:37+00:00,105.0,6.45,6.4,6.5,-0.3000002,-4.444447,12.0,128,0.5078784564208985,False,REGULAR,USD
12,NVDA250516P00110000,2024-10-18 18:08:31+00:00,110.0,7.85,7.8,7.95,-0.05000019,-0.63291377,85.0,2133,0.5014698291015626,False,REGULAR,USD
13,NVDA250516P00115000,2024-10-18 13:32:31+00:00,115.0,9.65,9.45,9.55,-0.28999996,-2.9175048,1.0,134,0.49707534179687507,False,REGULAR,USD
14,NVDA250516P00120000,2024-10-18 19:20:07+00:00,120.0,11.3,11.25,11.4,-0.05000019,-0.4405303,21.0,441,0.49207050903320315,False,REGULAR,USD
15,NVDA250516P00125000,2024-10-18 18:30:28+00:00,125.0,13.27,13.25,13.4,-0.27999973,-2.0664186,23.0,385,0.4858449853515625,False,REGULAR,USD
16,NVDA250516P00130000,2024-10-18 18:51:10+00:00,130.0,15.54,15.5,15.65,0.119999886,0.7782094,532.0,574,0.48102325622558595,False,REGULAR,USD
17,NVDA250516P00135000,2024-10-18 19:24:21+00:00,135.0,17.9,17.9,18.1,-0.77000046,-4.1242657,613.0,241,0.47632359619140624,False,REGULAR,USD
18,NVDA250516P00140000,2024-10-18 18:45:29+00:00,140.0,20.65,20.55,20.75,0.049999237,0.24271475,43.0,2152,0.4718070397949219,True,REGULAR,USD
19,NVDA250516P00145000,2024-10-18 15:46:11+00:00,145.0,23.6,23.4,23.6,0.5100002,2.2087493,15.0,147,0.46753462158203124,True,REGULAR,USD
20,NVDA250516P00150000,2024-10-18 17:48:29+00:00,150.0,26.35,26.1,26.6,0.35000038,1.3461554,419.0,130,0.4624382369995118,True,REGULAR,USD
21,NVDA250516P00155000,2024-10-17 15:45:14+00:00,155.0,29.8,29.25,29.8,0.5999985,2.0547893,1.0,59,0.45795219787597663,True,REGULAR,USD
22,NVDA250516P00160000,2024-10-18 19:55:08+00:00,160.0,33.0,32.6,33.2,-0.8499985,-2.5110738,2.0,62,0.4542290905761719,True,REGULAR,USD
23,NVDA250516P00165000,2024-10-17 14:13:04+00:00,165.0,37.0,36.25,36.95,0.0,0.0,3.0,20,0.45538874694824216,True,REGULAR,USD
24,NVDA250516P00170000,2024-10-15 15:47:36+00:00,170.0,45.0,39.9,40.6,0.0,0.0,1.0,10,0.45038391418457036,True,REGULAR,USD
25,NVDA250516P00185000,2024-10-09 16:36:32+00:00,185.0,55.9,51.7,52.45,0.0,0.0,,4,0.43793286682128907,True,REGULAR,USD
26,NVDA250516P00190000,2024-10-17 19:34:05+00:00,190.0,56.4,55.85,56.65,0.0,0.0,1.0,8,0.4343318286132813,True,REGULAR,USD
27,NVDA250516P00195000,2024-10-18 16:22:07+00:00,195.0,60.85,60.1,60.9,-1.25,-2.0128825,1.0,61,0.42902182312011716,True,REGULAR,USD
28,NVDA250516P00200000,2024-10-15 13:35:07+00:00,200.0,64.5,64.45,65.2,0.0,0.0,1.0,155,0.42188078125,True,REGULAR,USD
29,NVDA250516P00210000,2024-10-16 19:54:40+00:00,210.0,75.7,73.5,74.1,0.0,0.0,4.0,95,0.4082700775146484,True,REGULAR,USD
30,NVDA250516P00220000,2024-10-18 19:40:44+00:00,220.0,82.9,82.85,83.35,-1.5999985,-1.8934892,32.0,35,0.3969786865234375,True,REGULAR,USD
