,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PEP250321C00100000,2024-07-15 19:59:44+00:00,100.0,64.95,72.45,76.3,0.0,0.0,1,1,0.5564009204101563,True,REGULAR,USD
1,PEP250321C00125000,2024-07-18 14:35:03+00:00,125.0,47.5,46.95,50.05,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
2,PEP250321C00130000,2024-08-01 13:33:57+00:00,130.0,45.05,43.55,44.5,0.0,0.0,3,1,1.0000000000000003e-05,True,REGULAR,USD
3,PEP250321C00135000,2024-08-30 14:50:53+00:00,135.0,38.89,36.6,37.3,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
4,PEP250321C00140000,2024-07-17 15:14:14+00:00,140.0,31.38,34.75,35.25,0.0,0.0,2,35,0.1782308740234375,True,REGULAR,USD
5,PEP250321C00145000,2024-10-08 16:43:08+00:00,145.0,26.12,31.8,33.2,0.0,0.0,1,22,0.31476515319824216,True,REGULAR,USD
6,PEP250321C00150000,2024-10-16 17:52:03+00:00,150.0,26.25,26.7,28.55,0.0,0.0,1,37,0.2884592639160155,True,REGULAR,USD
7,PEP250321C00155000,2024-10-18 15:33:51+00:00,155.0,23.11,22.7,24.0,4.4000015,23.516846,5,56,0.26319096191406255,True,REGULAR,USD
8,PEP250321C00160000,2024-10-17 14:10:03+00:00,160.0,18.8,17.7,19.85,0.0,0.0,10,312,0.24613180633544923,True,REGULAR,USD
9,PEP250321C00165000,2024-10-18 18:15:49+00:00,165.0,14.45,14.55,14.8,0.30999947,2.1923583,250,116,0.20160710510253904,True,REGULAR,USD
10,PEP250321C00170000,2024-10-18 18:21:16+00:00,170.0,10.95,11.0,12.2,-0.119999886,-1.0840099,54,1049,0.21158625335693354,True,REGULAR,USD
11,PEP250321C00175000,2024-10-18 19:57:55+00:00,175.0,8.0,7.95,8.15,0.4000001,5.2631593,20,614,0.1790548403930664,True,REGULAR,USD
12,PEP250321C00180000,2024-10-18 18:19:42+00:00,180.0,5.35,5.4,6.6,-0.01999998,-0.37243915,42,1512,0.19248244049072266,False,REGULAR,USD
13,PEP250321C00185000,2024-10-18 15:20:35+00:00,185.0,3.63,2.83,4.65,0.13000011,3.7142892,79,1631,0.1873250213623047,False,REGULAR,USD
14,PEP250321C00190000,2024-10-18 19:33:46+00:00,190.0,2.05,1.28,2.32,-0.09000015,-4.205614,17,2673,0.15979844116210937,False,REGULAR,USD
15,PEP250321C00195000,2024-10-18 15:30:28+00:00,195.0,1.3,1.1,2.2,-0.04000008,-2.9850805,2,238,0.18378501770019529,False,REGULAR,USD
16,PEP250321C00200000,2024-10-18 18:15:49+00:00,200.0,0.7,0.67,0.83,0.06999999,11.11111,250,739,0.15564809204101562,False,REGULAR,USD
17,PEP250321C00210000,2024-10-17 19:19:21+00:00,210.0,0.31,0.09,0.7,0.0,0.0,2,367,0.1878743322753906,False,REGULAR,USD
18,PEP250321C00220000,2024-10-18 17:21:44+00:00,220.0,0.14,0.03,0.36,-0.049999997,-26.315788,2,24,0.1958088232421875,False,REGULAR,USD
19,PEP250321C00230000,2024-10-17 19:24:33+00:00,230.0,0.15,0.01,0.42,0.0,0.0,2,2,0.23218541259765624,False,REGULAR,USD
20,PEP250321C00240000,2024-10-04 18:55:59+00:00,240.0,0.09,0.0,1.32,0.0,0.0,2,29,0.3272772351074219,False,REGULAR,USD
21,PEP250321C00250000,2024-10-03 14:08:54+00:00,250.0,0.2,0.0,1.31,0.0,0.0,30,41,0.3575503698730469,False,REGULAR,USD
22,PEP250321C00260000,2024-10-03 14:09:32+00:00,260.0,0.13,0.0,1.31,0.0,0.0,100,104,0.3864807446289062,False,REGULAR,USD
