,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PEP241101P00135000,2024-09-26 18:18:05+00:00,135.0,0.18,0.0,0.58,0.0,0.0,,2.0,0.725588681640625,False,REGULAR,USD
1,PEP241101P00140000,2024-10-07 14:34:59+00:00,140.0,0.27,0.0,0.05,0.0,0.0,10.0,16.0,0.48828636718750007,False,REGULAR,USD
2,PEP241101P00145000,2024-10-15 15:18:33+00:00,145.0,0.02,0.0,0.22,0.0,0.0,4.0,9.0,0.5273484765625001,False,REGULAR,USD
3,PEP241101P00150000,2024-10-18 13:34:52+00:00,150.0,0.03,0.0,0.27,0.01,50.0,98.0,53.0,0.4643608251953125,False,REGULAR,USD
4,PEP241101P00155000,2024-10-18 15:24:32+00:00,155.0,0.03,0.03,0.27,-0.04,-57.142853,1.0,135.0,0.38233039550781245,False,REGULAR,USD
5,PEP241101P00160000,2024-10-18 17:10:47+00:00,160.0,0.04,0.02,0.13,-0.030000001,-42.857143,14.0,131.0,0.25928475097656256,False,REGULAR,USD
6,PEP241101P00165000,2024-10-18 19:28:01+00:00,165.0,0.12,0.11,0.17,-0.080000006,-40.000004,54.0,573.0,0.195320546875,False,REGULAR,USD
7,PEP241101P00170000,2024-10-18 19:06:25+00:00,170.0,0.48,0.4,0.62,-0.13000003,-21.311478,80.0,552.0,0.1724936267089844,False,REGULAR,USD
8,PEP241101P00175000,2024-10-18 19:42:31+00:00,175.0,2.04,1.69,1.79,0.0,0.0,104.0,36.0,0.13306531005859373,False,REGULAR,USD
9,PEP241101P00180000,2024-10-11 13:54:19+00:00,180.0,7.15,5.0,5.2,0.0,0.0,1.0,7.0,0.12256736816406251,True,REGULAR,USD
10,PEP241101P00185000,2024-10-14 14:35:12+00:00,185.0,10.02,9.05,11.65,0.0,0.0,1.0,,0.3734193518066406,True,REGULAR,USD
11,PEP241101P00190000,2024-10-10 15:20:15+00:00,190.0,17.2,13.85,15.25,0.0,0.0,,,0.2827220166015625,True,REGULAR,USD
