,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PFE251121C00015000,2024-09-23 14:02:39+00:00,15.0,14.35,12.95,16.5,0.0,0.0,2,2,0.8457046679687499,True,REGULAR,USD
1,PFE251121C00018000,2024-08-16 16:16:04+00:00,18.0,10.45,10.0,11.55,0.0,0.0,2,2,0.34180345703125,True,REGULAR,USD
2,PFE251121C00020000,2024-10-07 19:22:46+00:00,20.0,9.5,8.6,9.85,0.0,0.0,3,33,0.340826904296875,True,REGULAR,USD
3,PFE251121C00023000,2024-10-11 14:55:41+00:00,23.0,6.69,6.15,7.1,0.0,0.0,20,40,0.28003649658203117,True,REGULAR,USD
4,PFE251121C00025000,2024-10-18 15:29:47+00:00,25.0,5.19,5.15,6.15,0.09000015,1.764709,4,120,0.32569033691406246,True,REGULAR,USD
5,PFE251121C00027000,2024-10-17 15:43:02+00:00,27.0,4.07,3.5,4.75,0.0,0.0,1,98,0.30225307128906254,True,REGULAR,USD
6,PFE251121C00030000,2024-10-17 19:56:28+00:00,30.0,2.54,2.35,3.0,0.0,0.0,11,1704,0.27417718017578124,False,REGULAR,USD
7,PFE251121C00032000,2024-10-18 16:55:12+00:00,32.0,1.75,1.28,2.0,-0.100000024,-5.4054065,1,746,0.2514723291015625,False,REGULAR,USD
8,PFE251121C00035000,2024-10-18 19:13:18+00:00,35.0,1.03,1.0,1.16,-0.120000005,-10.434783,10,608,0.24536887451171874,False,REGULAR,USD
9,PFE251121C00037000,2024-10-10 15:36:50+00:00,37.0,0.75,0.6,0.79,-0.13999999,-15.730336,1,129,0.24280542358398435,False,REGULAR,USD
10,PFE251121C00040000,2024-10-16 18:59:28+00:00,40.0,0.49,0.29,0.54,0.0,0.0,17,410,0.2561109545898438,False,REGULAR,USD
11,PFE251121C00045000,2024-10-17 14:41:38+00:00,45.0,0.16,0.17,0.24,0.0,0.0,3,198,0.2612378564453125,False,REGULAR,USD
