,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PFE250620P00015000,2024-10-15 16:35:25+00:00,15.0,0.08,0.07,0.18,0.0,0.0,6.0,3400.0,0.49805189453125004,False,REGULAR,USD
1,PFE250620P00018000,2024-10-18 17:16:19+00:00,18.0,0.13,0.11,0.21,0.009999998,8.333332,2.0,6813.0,0.3920959228515625,False,REGULAR,USD
2,PFE250620P00019000,2024-10-17 16:54:37+00:00,19.0,0.14,0.0,0.86,0.0,0.0,2.0,,0.5312546875,False,REGULAR,USD
3,PFE250620P00020000,2024-10-18 13:56:49+00:00,20.0,0.21,0.17,0.25,-0.02000001,-8.695657,1.0,10514.0,0.33447931152343746,False,REGULAR,USD
4,PFE250620P00021000,2024-10-14 13:58:12+00:00,21.0,0.3,0.06,0.41,0.0,0.0,10.0,129.0,0.3437565625,False,REGULAR,USD
5,PFE250620P00022000,2024-10-15 16:46:57+00:00,22.0,0.31,0.3,0.38,0.0,0.0,2.0,10.0,0.299811689453125,False,REGULAR,USD
6,PFE250620P00023000,2024-10-17 19:49:59+00:00,23.0,0.46,0.4,0.52,0.0,0.0,31.0,21384.0,0.29321995849609367,False,REGULAR,USD
7,PFE250620P00025000,2024-10-18 18:24:49+00:00,25.0,0.78,0.76,0.9,-0.02000004,-2.500005,42.0,45287.0,0.278327529296875,False,REGULAR,USD
8,PFE250620P00026000,2024-10-14 19:38:04+00:00,26.0,1.15,1.03,1.2,0.01999998,1.7699099,1.0,11.0,0.27637442382812494,False,REGULAR,USD
9,PFE250620P00027000,2024-10-18 15:05:14+00:00,27.0,1.45,1.35,1.57,0.21000004,16.935488,26.0,24.0,0.2758861474609374,False,REGULAR,USD
10,PFE250620P00028000,2024-10-18 19:23:13+00:00,28.0,1.79,1.6,1.98,0.00999999,0.56179726,7.0,26069.0,0.2727123510742187,False,REGULAR,USD
11,PFE250620P00029000,2024-10-18 14:38:37+00:00,29.0,2.26,2.02,2.38,0.03999996,1.8018,440.0,72.0,0.2622144091796875,False,REGULAR,USD
12,PFE250620P00030000,2024-10-18 13:31:53+00:00,30.0,2.8,1.96,2.94,0.00999999,0.3584226,65.0,12641.0,0.2622144091796875,True,REGULAR,USD
13,PFE250620P00031000,2024-10-18 18:54:45+00:00,31.0,3.37,2.41,4.0,0.01999998,0.59701437,8.0,314.0,0.3086006640625,True,REGULAR,USD
14,PFE250620P00032000,2024-10-17 17:48:02+00:00,32.0,4.0,3.05,4.15,0.0,0.0,6.0,7614.0,0.25269302001953126,True,REGULAR,USD
15,PFE250620P00033000,2024-10-14 13:51:04+00:00,33.0,5.0,4.75,4.9,0.0,0.0,118.0,218.0,0.25489026367187506,True,REGULAR,USD
16,PFE250620P00035000,2024-10-18 14:02:59+00:00,35.0,6.45,6.4,6.55,0.3499999,5.7377033,5.0,1141.0,0.2629468237304688,True,REGULAR,USD
17,PFE250620P00037000,2024-10-11 14:19:29+00:00,37.0,8.35,8.15,8.35,0.0,0.0,3.0,286.0,0.27686270019531245,True,REGULAR,USD
18,PFE250620P00040000,2024-10-18 19:36:21+00:00,40.0,11.17,10.1,11.9,-0.05000019,-0.44563448,3.0,80.0,0.41699801757812494,True,REGULAR,USD
19,PFE250620P00042000,2023-11-30 14:30:34+00:00,42.0,12.02,12.75,14.25,0.0,0.0,,1.0,0.5014698291015626,True,REGULAR,USD
20,PFE250620P00045000,2024-10-14 14:48:58+00:00,45.0,16.25,14.95,16.65,0.0,0.0,1.0,1.0,0.4643608251953125,True,REGULAR,USD
