,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PG260116C00075000,2024-09-17 19:05:59+00:00,75.0,101.06,95.0,100.0,0.0,0.0,3.0,20,0.5946085461425781,True,REGULAR,USD
1,PG260116C00080000,2024-10-11 19:38:43+00:00,80.0,91.48,90.0,95.0,0.0,0.0,5.0,5,0.5549360913085939,True,REGULAR,USD
2,PG260116C00085000,2024-01-16 16:11:31+00:00,85.0,66.43,71.6,75.85,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
3,PG260116C00090000,2024-02-21 15:09:33+00:00,90.0,71.55,71.05,75.95,0.0,0.0,4.0,6,1.0000000000000003e-05,True,REGULAR,USD
4,PG260116C00095000,2024-10-17 15:35:19+00:00,95.0,79.15,76.05,80.5,0.0,0.0,96.0,107,0.46735151794433594,True,REGULAR,USD
5,PG260116C00100000,2024-10-18 15:07:19+00:00,100.0,74.25,71.5,75.95,0.25,0.33783785,29.0,27,0.44940736145019533,True,REGULAR,USD
6,PG260116C00105000,2024-07-30 19:49:52+00:00,105.0,59.75,65.1,69.45,0.0,0.0,4.0,5,0.3698793481445312,True,REGULAR,USD
7,PG260116C00110000,2024-07-30 19:49:35+00:00,110.0,55.35,60.7,64.85,0.0,0.0,2.0,9,0.35492588439941397,True,REGULAR,USD
8,PG260116C00115000,2024-07-30 19:50:39+00:00,115.0,50.8,57.55,58.85,0.0,0.0,6.0,5,0.2962716857910156,True,REGULAR,USD
9,PG260116C00120000,2024-10-16 17:16:43+00:00,120.0,55.15,52.55,57.5,0.0,0.0,1.0,7,0.3678652081298829,True,REGULAR,USD
10,PG260116C00125000,2024-10-16 17:24:19+00:00,125.0,50.2,50.2,52.05,0.0,0.0,1.0,74,0.3286810296630859,True,REGULAR,USD
11,PG260116C00130000,2024-10-15 16:17:11+00:00,130.0,47.85,44.05,47.5,0.0,0.0,1.0,156,0.3104011831665039,True,REGULAR,USD
12,PG260116C00135000,2024-08-07 18:16:14+00:00,135.0,41.38,44.5,46.15,0.0,0.0,6.0,70,0.3515384671020507,True,REGULAR,USD
13,PG260116C00140000,2024-10-09 14:25:03+00:00,140.0,35.51,36.35,38.9,0.0,0.0,1.0,47,0.28134873931884763,True,REGULAR,USD
14,PG260116C00145000,2024-10-16 13:39:15+00:00,145.0,33.0,32.3,33.85,0.0,0.0,5.0,195,0.2523573300170898,True,REGULAR,USD
15,PG260116C00150000,2024-10-17 13:32:20+00:00,150.0,30.5,29.3,29.75,0.0,0.0,1.0,320,0.23899076446533202,True,REGULAR,USD
16,PG260116C00155000,2024-10-14 13:32:22+00:00,155.0,25.13,25.5,25.95,0.0,0.0,1.0,147,0.22840127075195313,True,REGULAR,USD
17,PG260116C00160000,2024-10-18 15:34:53+00:00,160.0,22.7,21.85,23.4,-0.8499985,-3.6093354,3.0,524,0.2333755862426758,True,REGULAR,USD
18,PG260116C00165000,2024-10-17 15:23:27+00:00,165.0,19.4,18.6,19.1,0.0,0.0,4.0,513,0.2108233215332031,True,REGULAR,USD
19,PG260116C00170000,2024-10-17 15:46:24+00:00,170.0,16.55,15.0,16.05,0.0,0.0,4.0,716,0.20294986511230467,True,REGULAR,USD
20,PG260116C00175000,2024-10-18 19:09:42+00:00,175.0,12.82,12.8,13.3,-1.0900002,-7.83609,10.0,2088,0.1959003750610352,False,REGULAR,USD
21,PG260116C00180000,2024-10-18 18:48:20+00:00,180.0,10.5,10.4,10.9,-0.5,-4.5454545,3.0,1354,0.19016312774658206,False,REGULAR,USD
22,PG260116C00185000,2024-10-18 19:09:42+00:00,185.0,8.27,7.95,9.3,-0.92999935,-10.108688,1.0,840,0.19171950866699222,False,REGULAR,USD
23,PG260116C00190000,2024-10-17 16:18:32+00:00,190.0,7.2,6.45,6.85,0.0,0.0,45.0,782,0.17813932220458983,False,REGULAR,USD
24,PG260116C00195000,2024-10-16 18:43:52+00:00,195.0,5.59,4.85,6.05,0.0,0.0,31.0,468,0.18468527725219724,False,REGULAR,USD
25,PG260116C00200000,2024-10-17 16:55:01+00:00,200.0,4.3,3.65,4.15,0.0,0.0,11.0,597,0.17096776306152345,False,REGULAR,USD
26,PG260116C00210000,2024-10-17 13:39:11+00:00,210.0,1.81,1.92,2.33,-0.78,-30.115831,3.0,102,0.16425396301269532,False,REGULAR,USD
27,PG260116C00220000,2024-10-15 16:52:47+00:00,220.0,1.48,0.95,1.25,0.0,0.0,1.0,215,0.15949326843261719,False,REGULAR,USD
28,PG260116C00230000,2024-10-02 17:42:36+00:00,230.0,0.81,0.0,0.73,0.0,0.0,1.0,51,0.1599815447998047,False,REGULAR,USD
29,PG260116C00240000,2024-09-06 15:40:27+00:00,240.0,0.76,0.09,1.65,0.0,0.0,20.0,48,0.21173883972167967,False,REGULAR,USD
30,PG260116C00250000,2024-09-19 13:31:47+00:00,250.0,0.35,0.02,1.4,0.0,0.0,3.0,6,0.22162643615722655,False,REGULAR,USD
