,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PG241115P00080000,2024-10-03 19:14:42+00:00,80.0,0.09,0.0,0.15,0.0,0.0,1.0,16,1.1054732226562503,False,REGULAR,USD
1,PG241115P00085000,2024-03-27 19:35:52+00:00,85.0,0.05,0.0,1.97,0.0,0.0,1.0,1,1.5166039794921873,False,REGULAR,USD
2,PG241115P00090000,2024-03-21 19:56:52+00:00,90.0,0.12,0.0,0.83,0.0,0.0,1.0,2,1.2021524267578125,False,REGULAR,USD
3,PG241115P00095000,2024-02-13 18:17:37+00:00,95.0,0.37,0.11,0.19,0.0,0.0,,180,0.954102021484375,False,REGULAR,USD
4,PG241115P00100000,2024-02-09 17:57:47+00:00,100.0,0.2,0.2,0.26,0.0,0.0,,5,0.9335944140625,False,REGULAR,USD
5,PG241115P00105000,2024-04-26 16:01:57+00:00,105.0,0.2,0.03,1.34,0.0,0.0,6.0,6,1.0346727954101564,False,REGULAR,USD
6,PG241115P00110000,2024-06-27 17:51:27+00:00,110.0,0.09,0.0,1.4,0.0,0.0,1.0,2,0.954102021484375,False,REGULAR,USD
7,PG241115P00115000,2024-05-29 16:58:48+00:00,115.0,0.2,0.01,2.27,0.0,0.0,1.0,77,0.9697268652343749,False,REGULAR,USD
8,PG241115P00120000,2024-08-07 13:37:36+00:00,120.0,0.36,0.0,0.0,0.0,0.0,2.0,19,0.2500075,False,REGULAR,USD
9,PG241115P00125000,2024-10-08 17:57:39+00:00,125.0,0.03,0.0,0.23,-0.13,-81.25,4.0,86,0.52539537109375,False,REGULAR,USD
10,PG241115P00130000,2024-10-16 19:49:37+00:00,130.0,0.06,0.0,0.38,0.0,0.0,1.0,14,0.5048877636718749,False,REGULAR,USD
11,PG241115P00135000,2024-10-18 18:52:05+00:00,135.0,0.04,0.0,0.11,-0.050000004,-55.555557,2.0,975,0.40820904296875,False,REGULAR,USD
12,PG241115P00140000,2024-10-16 16:05:06+00:00,140.0,0.09,0.01,0.26,0.0,0.0,19.0,462,0.40820904296875,False,REGULAR,USD
13,PG241115P00145000,2024-10-16 17:25:03+00:00,145.0,0.17,0.05,0.21,0.0,0.0,28.0,369,0.334967587890625,False,REGULAR,USD
14,PG241115P00150000,2024-10-18 19:49:15+00:00,150.0,0.1,0.06,0.23,-0.1,-50.0,26.0,1405,0.282233740234375,False,REGULAR,USD
15,PG241115P00155000,2024-10-18 18:50:55+00:00,155.0,0.19,0.08,0.27,-0.099999994,-34.482758,47.0,1743,0.23194127441406248,False,REGULAR,USD
16,PG241115P00160000,2024-10-18 19:40:58+00:00,160.0,0.28,0.24,0.34,-0.32000002,-53.333336,505.0,12554,0.18189294677734374,False,REGULAR,USD
17,PG241115P00165000,2024-10-18 19:50:51+00:00,165.0,0.75,0.66,0.77,-0.53999996,-41.860466,510.0,2727,0.1554039538574219,False,REGULAR,USD
18,PG241115P00170000,2024-10-18 19:58:54+00:00,170.0,1.99,1.77,2.02,-0.78,-28.158844,292.0,4358,0.13843635009765626,False,REGULAR,USD
19,PG241115P00175000,2024-10-18 19:51:31+00:00,175.0,4.6,3.8,4.7,-0.6700001,-12.713474,37.0,347,0.12525288818359376,True,REGULAR,USD
20,PG241115P00180000,2024-10-16 19:08:05+00:00,180.0,9.5,8.35,8.95,0.0,0.0,19.0,75,0.12842668457031248,True,REGULAR,USD
21,PG241115P00185000,2024-10-18 19:17:42+00:00,185.0,14.27,13.5,15.35,0.1600008,1.1339532,10.0,21,0.31677929321289056,True,REGULAR,USD
22,PG241115P00190000,2024-10-18 19:41:02+00:00,190.0,19.0,17.8,20.75,0.5,2.7027028,37.0,63,0.41199318481445313,True,REGULAR,USD
23,PG241115P00200000,2024-10-18 19:42:29+00:00,200.0,28.83,27.2,30.95,0.069999695,0.24339254,60.0,392,0.5471236694335939,True,REGULAR,USD
24,PG241115P00210000,2024-10-18 19:42:29+00:00,210.0,38.85,36.7,40.95,2.2999992,6.2927475,20.0,0,0.6535679174804689,True,REGULAR,USD
