,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,QCOM241108C00135000,2024-10-14 15:34:39+00:00,135.0,40.31,34.65,37.5,0.0,0.0,1,6,0.80664255859375,True,REGULAR,USD
1,QCOM241108C00140000,2024-10-14 15:34:39+00:00,140.0,35.59,31.55,32.4,0.0,0.0,1,10,0.6359899682617188,True,REGULAR,USD
2,QCOM241108C00155000,2024-10-18 19:44:39+00:00,155.0,17.88,17.8,19.0,-2.42,-11.921183,1,148,0.51758294921875,True,REGULAR,USD
3,QCOM241108C00160000,2024-10-18 17:08:42+00:00,160.0,14.46,14.65,15.1,0.0,0.0,1,7,0.5245408874511719,True,REGULAR,USD
4,QCOM241108C00165000,2024-10-18 17:52:25+00:00,165.0,10.91,11.3,12.55,-2.96,-21.341024,11,65,0.538212625732422,True,REGULAR,USD
5,QCOM241108C00170000,2024-10-18 19:58:55+00:00,170.0,8.9,8.45,8.9,-0.9000006,-9.183679,322,234,0.5034229345703125,True,REGULAR,USD
6,QCOM241108C00175000,2024-10-18 19:44:12+00:00,175.0,5.95,6.1,7.2,-1.1000004,-15.602842,165,314,0.5159960510253907,False,REGULAR,USD
7,QCOM241108C00180000,2024-10-18 19:54:28+00:00,180.0,4.3,4.25,4.45,-1.4499998,-25.217386,117,7260,0.4888967126464845,False,REGULAR,USD
8,QCOM241108C00185000,2024-10-18 19:43:27+00:00,185.0,2.95,2.7,3.05,-0.89999986,-23.37662,162,246,0.4848684326171875,False,REGULAR,USD
9,QCOM241108C00190000,2024-10-18 19:50:32+00:00,190.0,1.85,1.89,2.09,-0.62,-25.101215,178,7279,0.4870656762695313,False,REGULAR,USD
10,QCOM241108C00195000,2024-10-18 19:44:03+00:00,195.0,1.25,1.23,1.34,-1.05,-45.652172,37,550,0.48242705078125003,False,REGULAR,USD
11,QCOM241108C00200000,2024-10-18 18:17:19+00:00,200.0,0.8,0.77,0.9,-0.33999997,-29.82456,22,975,0.4880422290039063,False,REGULAR,USD
12,QCOM241108C00205000,2024-10-18 19:44:21+00:00,205.0,0.5,0.47,0.57,-0.3,-37.5,7,316,0.4885305053710938,False,REGULAR,USD
13,QCOM241108C00210000,2024-10-18 15:00:15+00:00,210.0,0.4,0.17,1.0,-0.33,-45.20548,5,100,0.540287800292969,False,REGULAR,USD
14,QCOM241108C00215000,2024-10-18 19:38:41+00:00,215.0,0.25,0.09,0.47,-0.22999999,-47.916664,129,539,0.5112353564453125,False,REGULAR,USD
15,QCOM241108C00220000,2024-10-18 19:40:31+00:00,220.0,0.16,0.01,0.68,-0.59000003,-78.66667,2,36,0.5727581787109376,False,REGULAR,USD
16,QCOM241108C00225000,2024-10-18 19:55:25+00:00,225.0,0.16,0.09,0.32,0.00999999,6.6666603,4,48,0.5634809277343751,False,REGULAR,USD
