,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,QCOM250117P00055000,2024-09-13 19:46:52+00:00,55.0,0.05,0.01,0.12,0.0,0.0,2,873,0.8789074609374999,False,REGULAR,USD
1,QCOM250117P00060000,2024-10-16 16:53:33+00:00,60.0,0.03,0.0,0.1,0.0,0.0,2,3111,0.7929708203125,False,REGULAR,USD
2,QCOM250117P00065000,2024-10-16 16:52:50+00:00,65.0,0.05,0.0,0.6,0.0,0.0,4,553,0.918946123046875,False,REGULAR,USD
3,QCOM250117P00070000,2024-10-17 16:48:57+00:00,70.0,0.04,0.03,0.15,0.0,0.0,10,751,0.72851833984375,False,REGULAR,USD
4,QCOM250117P00075000,2024-10-18 14:37:53+00:00,75.0,0.1,0.02,0.57,-0.009999998,-9.090907,1,1369,0.7905294384765625,False,REGULAR,USD
5,QCOM250117P00080000,2024-10-17 14:39:07+00:00,80.0,0.11,0.05,0.2,0.0,0.0,2,974,0.6513706738281251,False,REGULAR,USD
6,QCOM250117P00085000,2024-10-18 14:37:08+00:00,85.0,0.18,0.05,0.58,0.0,0.0,2,4918,0.6870148486328126,False,REGULAR,USD
7,QCOM250117P00090000,2024-10-18 14:35:58+00:00,90.0,0.15,0.1,1.42,-0.00999999,-6.2499943,2,4560,0.7404811108398437,False,REGULAR,USD
8,QCOM250117P00095000,2024-10-18 18:13:34+00:00,95.0,0.18,0.1,0.34,-0.13,-41.935482,4,5888,0.5566450585937501,False,REGULAR,USD
9,QCOM250117P00100000,2024-10-18 18:15:06+00:00,100.0,0.26,0.15,0.41,-0.04000002,-13.33334,6,6902,0.532231240234375,False,REGULAR,USD
10,QCOM250117P00105000,2024-10-18 14:40:06+00:00,105.0,0.37,0.23,0.51,-0.030000001,-7.5000005,3,23385,0.5117236328125,False,REGULAR,USD
11,QCOM250117P00110000,2024-10-18 14:38:27+00:00,110.0,0.57,0.35,0.63,0.01999998,3.6363602,2,7588,0.516606396484375,False,REGULAR,USD
12,QCOM250117P00115000,2024-10-14 19:52:31+00:00,115.0,0.58,0.51,0.8,0.0,0.0,12,11565,0.49561051269531253,False,REGULAR,USD
13,QCOM250117P00120000,2024-10-18 16:10:13+00:00,120.0,0.97,0.79,0.98,0.02000004,2.1052675,2,5333,0.471684970703125,False,REGULAR,USD
14,QCOM250117P00125000,2024-10-17 16:48:57+00:00,125.0,1.2,1.13,1.3,0.03000009,2.5641105,2,12626,0.4572808178710938,False,REGULAR,USD
15,QCOM250117P00130000,2024-10-18 18:33:26+00:00,130.0,1.67,1.52,1.59,-0.07000005,-4.0229917,5,7106,0.43445389770507814,False,REGULAR,USD
16,QCOM250117P00135000,2024-10-17 18:56:50+00:00,135.0,2.2,1.89,2.11,0.0,0.0,8,3480,0.42236905761718746,False,REGULAR,USD
17,QCOM250117P00140000,2024-10-18 17:55:29+00:00,140.0,2.99,2.71,2.92,-0.109999895,-3.5483837,5,3926,0.4184628466796875,False,REGULAR,USD
18,QCOM250117P00145000,2024-10-18 17:24:38+00:00,145.0,3.95,3.55,3.7,0.29999995,8.219176,19,2246,0.40381455566406255,False,REGULAR,USD
19,QCOM250117P00150000,2024-10-18 19:30:41+00:00,150.0,4.85,4.5,4.8,-0.07999992,-1.6227165,17,6863,0.39514765014648445,False,REGULAR,USD
20,QCOM250117P00155000,2024-10-18 19:18:45+00:00,155.0,6.4,6.05,6.2,-0.21999979,-3.3232596,41,6437,0.38886109191894536,False,REGULAR,USD
21,QCOM250117P00160000,2024-10-18 18:12:33+00:00,160.0,8.2,7.7,8.95,0.3499999,4.4585977,63,4208,0.41736422485351554,False,REGULAR,USD
22,QCOM250117P00165000,2024-10-18 19:54:00+00:00,165.0,9.9,9.7,9.85,-0.5,-4.8076925,38,3912,0.3768983209228516,False,REGULAR,USD
23,QCOM250117P00170000,2024-10-18 17:45:36+00:00,170.0,12.72,11.95,12.15,0.82000065,6.890762,12,6832,0.37183245361328127,False,REGULAR,USD
24,QCOM250117P00175000,2024-10-18 18:39:35+00:00,175.0,15.27,14.55,14.8,1.6700001,12.279412,19,4433,0.3679262426757813,True,REGULAR,USD
25,QCOM250117P00180000,2024-10-18 16:10:08+00:00,180.0,18.5,17.5,17.7,1.1000004,6.3218412,4,3666,0.3624331335449219,True,REGULAR,USD
26,QCOM250117P00185000,2024-10-17 16:46:44+00:00,185.0,19.3,19.7,21.0,0.0,0.0,3,2004,0.3601748553466796,True,REGULAR,USD
27,QCOM250117P00190000,2024-10-16 15:56:15+00:00,190.0,23.6,23.4,24.6,0.0,0.0,2,925,0.3590151989746094,True,REGULAR,USD
28,QCOM250117P00195000,2024-10-17 16:06:08+00:00,195.0,25.8,26.15,29.05,0.0,0.0,1,702,0.37970591003417964,True,REGULAR,USD
29,QCOM250117P00200000,2024-10-16 19:15:47+00:00,200.0,31.84,31.15,32.3,0.0,0.0,7,1122,0.34924967163085935,True,REGULAR,USD
30,QCOM250117P00210000,2024-10-16 14:59:52+00:00,210.0,39.45,40.35,41.7,0.0,0.0,1,526,0.38440557006835935,True,REGULAR,USD
31,QCOM250117P00220000,2024-10-02 16:37:41+00:00,220.0,51.5,48.55,50.1,0.0,0.0,1,611,0.34265794067382804,True,REGULAR,USD
32,QCOM250117P00230000,2024-10-17 13:31:09+00:00,230.0,56.0,58.0,61.05,0.0,0.0,1,81,0.4527642614746094,True,REGULAR,USD
33,QCOM250117P00240000,2024-08-02 17:25:32+00:00,240.0,81.71,64.1,67.4,0.0,0.0,4,196,1.0000000000000003e-05,True,REGULAR,USD
34,QCOM250117P00250000,2024-08-05 18:37:26+00:00,250.0,91.55,84.7,86.0,0.0,0.0,1,14,0.7534204345703125,True,REGULAR,USD
35,QCOM250117P00260000,2024-08-27 18:15:30+00:00,260.0,86.35,86.4,88.5,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
36,QCOM250117P00270000,2024-07-24 14:00:42+00:00,270.0,84.8,96.3,98.25,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
37,QCOM250117P00280000,2024-08-02 17:38:03+00:00,280.0,122.33,103.7,106.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
38,QCOM250117P00300000,2024-09-05 19:44:32+00:00,300.0,137.27,129.7,133.05,0.0,0.0,1,0,0.740114903564453,True,REGULAR,USD
39,QCOM250117P00310000,2024-09-05 19:44:32+00:00,310.0,147.29,139.7,143.15,0.0,0.0,1,0,0.7746604565429689,True,REGULAR,USD
