,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TMO241115C00440000,2024-09-25 15:37:14+00:00,440.0,165.99,160.5,166.1,0.0,0.0,,0,0.6540561938476563,True,REGULAR,USD
1,TMO241115C00450000,2024-09-25 15:38:07+00:00,450.0,155.12,149.2,157.5,0.0,0.0,,0,0.6181678808593751,True,REGULAR,USD
2,TMO241115C00500000,2024-10-09 18:34:08+00:00,500.0,102.57,101.2,106.9,0.0,0.0,,11,0.5720867987060547,True,REGULAR,USD
3,TMO241115C00540000,2024-09-26 16:07:20+00:00,540.0,81.66,63.2,67.9,0.0,0.0,,1,0.417425259399414,True,REGULAR,USD
4,TMO241115C00550000,2024-10-08 19:18:36+00:00,550.0,55.3,56.0,60.0,0.0,0.0,,1,0.41687594848632803,True,REGULAR,USD
5,TMO241115C00560000,2024-10-04 17:37:49+00:00,560.0,49.1,47.3,49.4,0.0,0.0,3.0,3,0.3540103662109374,True,REGULAR,USD
6,TMO241115C00570000,2024-10-08 17:13:47+00:00,570.0,39.02,39.2,41.3,0.0,0.0,1.0,2,0.3382634533691406,True,REGULAR,USD
7,TMO241115C00580000,2024-09-25 16:20:28+00:00,580.0,36.57,31.7,34.0,0.0,0.0,,3,0.32816223602294914,True,REGULAR,USD
8,TMO241115C00590000,2024-10-18 17:17:14+00:00,590.0,26.35,25.7,26.9,2.08,8.5702505,5.0,44,0.31165239135742184,True,REGULAR,USD
9,TMO241115C00600000,2024-10-18 19:44:45+00:00,600.0,19.9,19.0,20.9,1.4899998,8.093427,41.0,257,0.30179531219482425,True,REGULAR,USD
10,TMO241115C00610000,2024-10-18 19:27:23+00:00,610.0,15.1,14.9,15.8,-0.22999954,-1.5003232,26.0,78,0.29386082122802726,False,REGULAR,USD
11,TMO241115C00620000,2024-10-18 18:50:52+00:00,620.0,11.15,10.5,11.6,-1.25,-10.080646,17.0,87,0.28729960754394523,False,REGULAR,USD
12,TMO241115C00630000,2024-10-18 18:30:58+00:00,630.0,8.2,6.1,7.9,2.4499998,42.608692,12.0,64,0.27558097473144527,False,REGULAR,USD
13,TMO241115C00640000,2024-10-18 19:19:32+00:00,640.0,5.1,4.7,8.4,0.5,10.869566,8.0,76,0.32910827148437494,False,REGULAR,USD
14,TMO241115C00650000,2024-10-18 14:50:43+00:00,650.0,3.12,3.0,3.5,0.14999986,5.0505,2.0,252,0.2659985510253906,False,REGULAR,USD
15,TMO241115C00660000,2024-10-17 17:04:57+00:00,660.0,1.98,1.85,2.25,-0.119999886,-5.7142806,1.0,363,0.26367923828125,False,REGULAR,USD
16,TMO241115C00670000,2024-10-18 13:41:56+00:00,670.0,1.1,1.1,1.4,0.05000007,4.761912,2.0,215,0.26166509826660156,False,REGULAR,USD
17,TMO241115C00680000,2024-10-02 17:11:02+00:00,680.0,3.1,0.6,0.95,0.0,0.0,9.0,165,0.2661206201171875,False,REGULAR,USD
18,TMO241115C00690000,2024-10-14 19:55:31+00:00,690.0,0.75,0.1,2.95,0.0,0.0,2.0,8,0.37573866455078125,False,REGULAR,USD
19,TMO241115C00700000,2024-09-27 14:00:09+00:00,700.0,1.9,0.0,2.85,0.0,0.0,10.0,10,0.40039662109375,False,REGULAR,USD
20,TMO241115C00710000,2024-09-26 19:51:01+00:00,710.0,1.0,0.0,1.5,0.0,0.0,,176,0.3698793481445312,False,REGULAR,USD
21,TMO241115C00740000,2024-10-02 15:12:52+00:00,740.0,0.43,0.0,1.5,0.0,0.0,1.0,1,0.44031321411132807,False,REGULAR,USD
22,TMO241115C00750000,2024-10-02 15:13:04+00:00,750.0,0.4,0.0,1.7,0.0,0.0,6.0,7,0.4740653179931641,False,REGULAR,USD
