,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TMO250321P00270000,2024-09-11 18:38:39+00:00,270.0,2.67,0.0,4.2,0.0,0.0,1.0,6,0.6638217211914064,False,REGULAR,USD
1,TMO250321P00300000,2024-09-23 16:56:50+00:00,300.0,0.2,0.0,4.6,0.0,0.0,,1,0.594730615234375,False,REGULAR,USD
2,TMO250321P00330000,2024-05-09 19:17:59+00:00,330.0,1.64,0.0,5.3,0.0,0.0,4.0,2,0.5365646929931642,False,REGULAR,USD
3,TMO250321P00340000,2024-05-16 18:57:04+00:00,340.0,2.0,0.0,6.4,0.0,0.0,1.0,2,0.5328415856933593,False,REGULAR,USD
4,TMO250321P00350000,2024-10-15 19:53:48+00:00,350.0,0.57,0.05,4.9,0.0,0.0,3.0,6,0.5587202331542969,False,REGULAR,USD
5,TMO250321P00360000,2024-10-15 19:53:40+00:00,360.0,0.9,0.05,4.9,0.0,0.0,1.0,7,0.5343674493408204,False,REGULAR,USD
6,TMO250321P00370000,2024-10-09 14:03:09+00:00,370.0,0.9,0.2,1.7,0.0,0.0,22.0,14,0.41138283935546877,False,REGULAR,USD
7,TMO250321P00380000,2024-10-16 19:59:02+00:00,380.0,0.45,0.25,5.1,0.0,0.0,2.0,29,0.4919789572143555,False,REGULAR,USD
8,TMO250321P00390000,2024-10-16 19:59:32+00:00,390.0,1.45,0.3,4.8,0.0,0.0,2.0,10,0.46237720245361336,False,REGULAR,USD
9,TMO250321P00400000,2024-10-16 14:26:11+00:00,400.0,1.55,0.4,4.8,0.0,0.0,10.0,19,0.4402521795654296,False,REGULAR,USD
10,TMO250321P00410000,2024-10-18 17:44:03+00:00,410.0,1.2,0.5,4.8,-0.49,-28.994083,7.0,19,0.4185849157714844,False,REGULAR,USD
11,TMO250321P00420000,2024-10-10 17:31:04+00:00,420.0,2.2,0.7,2.75,0.0,0.0,1.0,18,0.3497379479980468,False,REGULAR,USD
12,TMO250321P00430000,2024-10-10 19:38:33+00:00,430.0,2.71,0.75,6.2,0.0,0.0,3.0,19,0.4023192092895508,False,REGULAR,USD
13,TMO250321P00440000,2024-10-01 19:21:02+00:00,440.0,2.17,0.95,6.5,0.0,0.0,2.0,40,0.3858093646240234,False,REGULAR,USD
14,TMO250321P00450000,2024-10-11 19:27:13+00:00,450.0,3.12,1.15,5.7,0.0,0.0,1.0,47,0.3514163980102538,False,REGULAR,USD
15,TMO250321P00460000,2024-10-11 19:27:06+00:00,460.0,3.4,1.4,7.4,0.0,0.0,1.0,19,0.3567569207763671,False,REGULAR,USD
16,TMO250321P00470000,2024-10-15 19:04:57+00:00,470.0,4.15,1.75,8.0,0.0,0.0,5.0,21,0.34363449340820307,False,REGULAR,USD
17,TMO250321P00480000,2024-10-17 18:06:08+00:00,480.0,6.0,4.0,5.4,0.0,0.0,5.0,25,0.2860483993530273,False,REGULAR,USD
18,TMO250321P00490000,2024-10-14 16:52:11+00:00,490.0,6.1,2.7,9.3,0.0,0.0,1.0,28,0.3166877413940429,False,REGULAR,USD
19,TMO250321P00500000,2024-10-16 17:13:01+00:00,500.0,8.65,3.0,9.9,0.0,0.0,1.0,17,0.30167324310302734,False,REGULAR,USD
20,TMO250321P00510000,2024-10-15 16:08:36+00:00,510.0,7.8,4.3,11.7,0.0,0.0,2.0,150,0.29837737762451166,False,REGULAR,USD
21,TMO250321P00520000,2024-10-14 17:42:57+00:00,520.0,10.0,5.3,11.7,0.0,0.0,3.0,78,0.2757640783691406,False,REGULAR,USD
22,TMO250321P00530000,2024-10-17 17:23:39+00:00,530.0,11.7,9.5,11.7,0.0,0.0,15.0,35,0.2531507791137696,False,REGULAR,USD
23,TMO250321P00540000,2024-10-17 14:45:46+00:00,540.0,12.2,11.4,13.4,0.0,0.0,2.0,175,0.24520102951049805,False,REGULAR,USD
24,TMO250321P00550000,2024-10-18 18:55:16+00:00,550.0,14.8,13.6,15.5,-3.6999998,-19.999998,2.0,83,0.23854826400756834,False,REGULAR,USD
25,TMO250321P00560000,2024-10-17 18:22:13+00:00,560.0,18.8,15.9,21.4,0.0,0.0,5.0,183,0.257819921875,False,REGULAR,USD
26,TMO250321P00570000,2024-10-14 17:41:35+00:00,570.0,21.4,19.1,20.5,0.0,0.0,3.0,72,0.2244798011779785,False,REGULAR,USD
27,TMO250321P00580000,2024-10-18 17:36:13+00:00,580.0,22.9,22.5,23.9,-0.6000004,-2.553193,1.0,65,0.22003953796386716,False,REGULAR,USD
28,TMO250321P00590000,2024-10-18 17:37:59+00:00,590.0,26.5,25.8,30.9,-6.5,-19.69697,2.0,36,0.23642731353759766,False,REGULAR,USD
29,TMO250321P00600000,2024-10-18 16:30:54+00:00,600.0,31.5,30.1,31.6,0.10000038,0.31847256,1.0,201,0.2086413365173339,False,REGULAR,USD
