,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA261218C00005000,2024-10-18 19:00:54+00:00,5.0,218.5,214.2,219.8,2.5099945,1.1620883,2.0,3503,1.6806656591796876,True,REGULAR,USD
1,TSLA261218C00010000,2024-09-24 14:58:01+00:00,10.0,245.57,208.0,216.55,0.0,0.0,60.0,201,1.3286166381835933,True,REGULAR,USD
2,TSLA261218C00020000,2024-09-26 17:01:46+00:00,20.0,237.1,199.2,207.85,0.0,0.0,1.0,220,1.123905747680664,True,REGULAR,USD
3,TSLA261218C00025000,2024-09-24 16:14:04+00:00,25.0,232.7,195.35,203.3,0.0,0.0,2.0,14,1.0726364727783204,True,REGULAR,USD
4,TSLA261218C00030000,2024-10-07 14:01:52+00:00,30.0,220.15,191.95,198.0,0.0,0.0,4.0,7,1.0178271765136717,True,REGULAR,USD
5,TSLA261218C00035000,2024-09-24 13:53:43+00:00,35.0,226.5,187.6,193.75,0.0,0.0,,14,0.973633076171875,True,REGULAR,USD
6,TSLA261218C00040000,2024-09-17 14:04:03+00:00,40.0,200.32,183.4,187.65,0.0,0.0,2.0,1,0.8909923010253906,True,REGULAR,USD
7,TSLA261218C00045000,2024-10-14 14:44:33+00:00,45.0,179.75,179.05,185.2,0.0,0.0,2.0,1,0.9010630010986327,True,REGULAR,USD
8,TSLA261218C00050000,2024-10-14 14:31:16+00:00,50.0,172.8,174.9,180.9,0.0,0.0,1.0,121,0.8712781427001952,True,REGULAR,USD
9,TSLA261218C00075000,2024-10-18 15:13:15+00:00,75.0,156.95,155.25,159.2,-1.1500092,-0.7273935,1.0,756,0.7571435418701173,True,REGULAR,USD
10,TSLA261218C00080000,2024-10-18 19:51:46+00:00,80.0,153.5,151.4,153.8,-0.25,-0.16260162,25.0,1060,0.725466612548828,True,REGULAR,USD
11,TSLA261218C00085000,2024-09-25 17:36:09+00:00,85.0,185.2,147.6,151.6,0.0,0.0,10.0,341,0.730898687133789,True,REGULAR,USD
12,TSLA261218C00090000,2024-10-15 13:31:03+00:00,90.0,152.0,143.9,147.5,0.0,0.0,1.0,536,0.7156095333862305,True,REGULAR,USD
13,TSLA261218C00095000,2024-10-07 15:16:29+00:00,95.0,165.21,141.7,142.35,0.0,0.0,1.0,248,0.7046538323974609,True,REGULAR,USD
14,TSLA261218C00100000,2024-10-16 14:15:37+00:00,100.0,139.87,137.95,138.7,0.0,0.0,1.0,1301,0.6928436477661133,True,REGULAR,USD
15,TSLA261218C00105000,2024-10-14 13:42:34+00:00,105.0,133.87,134.4,135.15,0.0,0.0,2.0,36071,0.6833222586059572,True,REGULAR,USD
16,TSLA261218C00110000,2024-10-15 14:03:33+00:00,110.0,133.12,130.85,131.65,0.0,0.0,6.0,10231,0.6737703521728517,True,REGULAR,USD
17,TSLA261218C00115000,2024-10-07 15:52:28+00:00,115.0,152.25,127.45,128.25,0.0,0.0,2.0,55,0.665713792114258,True,REGULAR,USD
18,TSLA261218C00120000,2024-10-17 17:46:30+00:00,120.0,125.8,124.15,124.9,0.0,0.0,1.0,496,0.6582675775146485,True,REGULAR,USD
19,TSLA261218C00125000,2024-10-14 19:15:03+00:00,125.0,120.75,120.9,121.65,0.0,0.0,1.0,522,0.6513401565551759,True,REGULAR,USD
20,TSLA261218C00130000,2024-10-14 14:17:04+00:00,130.0,113.45,117.7,118.5,0.0,0.0,2.0,281,0.6449010119628906,True,REGULAR,USD
21,TSLA261218C00135000,2024-10-11 13:38:49+00:00,135.0,116.25,114.65,115.4,0.0,0.0,1.0,168,0.6392095405578613,True,REGULAR,USD
22,TSLA261218C00140000,2024-10-14 14:43:43+00:00,140.0,111.45,111.65,112.5,0.0,0.0,5.0,665,0.6345251391601563,True,REGULAR,USD
23,TSLA261218C00145000,2024-10-10 13:47:42+00:00,145.0,125.45,108.7,109.5,0.0,0.0,1.0,241,0.6289709954833984,True,REGULAR,USD
24,TSLA261218C00150000,2024-10-18 18:53:12+00:00,150.0,107.5,105.9,106.65,-0.40000153,-0.37071502,120.0,2585,0.6246375427246094,True,REGULAR,USD
25,TSLA261218C00155000,2024-10-18 16:12:01+00:00,155.0,104.0,103.1,103.9,0.5699997,0.55109704,1.0,507,0.6203498658752442,True,REGULAR,USD
26,TSLA261218C00160000,2024-10-17 19:17:28+00:00,160.0,101.0,100.6,101.25,0.0,0.0,4.0,886,0.6176796044921876,True,REGULAR,USD
27,TSLA261218C00165000,2024-10-18 15:25:35+00:00,165.0,99.3,97.85,98.65,-0.1499939,-0.15082343,1.0,579,0.6134224449157715,True,REGULAR,USD
28,TSLA261218C00170000,2024-10-17 18:39:30+00:00,170.0,95.9,95.5,96.1,0.0,0.0,1.0,1298,0.610981063079834,True,REGULAR,USD
29,TSLA261218C00175000,2024-10-18 19:48:54+00:00,175.0,93.54,92.85,93.65,-0.51000214,-0.54226696,15.0,1005,0.6070290762329101,True,REGULAR,USD
30,TSLA261218C00180000,2024-10-17 18:38:16+00:00,180.0,91.1,90.45,91.25,0.0,0.0,3.0,1491,0.6040994180297853,True,REGULAR,USD
31,TSLA261218C00185000,2024-10-15 14:05:32+00:00,185.0,90.03,88.15,88.95,0.0,0.0,2.0,658,0.6016732948303225,True,REGULAR,USD
32,TSLA261218C00190000,2024-10-17 16:03:17+00:00,190.0,86.59,85.9,86.7,0.0,0.0,3.0,785,0.5992471716308594,True,REGULAR,USD
33,TSLA261218C00195000,2024-10-17 17:41:20+00:00,195.0,84.94,83.75,84.6,-0.6100006,-0.71303403,1.0,718,0.5975382043457032,True,REGULAR,USD
34,TSLA261218C00200000,2024-10-18 19:43:16+00:00,200.0,82.4,81.65,82.45,0.15000153,0.18237267,353.0,4771,0.5953714779663085,True,REGULAR,USD
35,TSLA261218C00205000,2024-10-18 13:30:00+00:00,205.0,80.75,79.6,80.4,-2.3700027,-2.8513026,1.0,416,0.5934794070434571,True,REGULAR,USD
36,TSLA261218C00210000,2024-10-18 16:58:24+00:00,210.0,78.5,77.65,78.4,0.13999939,0.17866181,1.0,763,0.5918314743041994,True,REGULAR,USD
37,TSLA261218C00215000,2024-10-18 15:18:51+00:00,215.0,76.8,75.65,76.45,0.030006409,0.039086115,2.0,928,0.5897868170166016,True,REGULAR,USD
38,TSLA261218C00220000,2024-10-18 18:41:40+00:00,220.0,74.18,73.8,74.6,-0.22000122,-0.29570055,21.0,2714,0.5884440570068359,True,REGULAR,USD
39,TSLA261218C00225000,2024-10-18 18:58:52+00:00,225.0,73.3,72.0,72.75,0.7000046,0.9641937,4.0,863,0.5869334519958496,False,REGULAR,USD
40,TSLA261218C00230000,2024-10-18 18:41:40+00:00,230.0,71.34,70.4,71.0,0.8199997,1.1627903,16.0,1321,0.5863078479003907,False,REGULAR,USD
41,TSLA261218C00235000,2024-10-18 16:05:49+00:00,235.0,69.25,68.45,69.3,-0.34999847,-0.5028714,2.0,2167,0.5841106042480468,False,REGULAR,USD
42,TSLA261218C00240000,2024-10-18 19:03:22+00:00,240.0,67.95,67.05,67.65,0.049995422,0.07363096,6.0,4209,0.5840343110656738,False,REGULAR,USD
43,TSLA261218C00245000,2024-10-18 19:12:41+00:00,245.0,66.45,65.3,66.0,0.7199936,1.0953804,4.0,479,0.5822185333251952,False,REGULAR,USD
44,TSLA261218C00250000,2024-10-18 19:04:10+00:00,250.0,64.65,63.75,64.45,-0.049995422,-0.07727268,28.0,3719,0.5812877565002441,False,REGULAR,USD
45,TSLA261218C00260000,2024-10-18 17:12:20+00:00,260.0,61.5,60.75,61.4,-0.16999817,-0.2756578,356.0,2631,0.5791362887573243,False,REGULAR,USD
46,TSLA261218C00270000,2024-10-18 19:37:45+00:00,270.0,58.5,58.0,58.7,-0.13000107,-0.2217313,1.0,1149,0.5782360292053224,False,REGULAR,USD
47,TSLA261218C00280000,2024-10-17 17:51:02+00:00,280.0,56.69,55.15,55.85,0.0,0.0,10.0,1160,0.5752758537292479,False,REGULAR,USD
48,TSLA261218C00290000,2024-10-18 16:45:35+00:00,290.0,53.25,52.65,53.35,-0.63000107,-1.169267,2.0,2826,0.5740399041748048,False,REGULAR,USD
49,TSLA261218C00300000,2024-10-18 19:59:45+00:00,300.0,50.65,50.3,50.9,-0.6499977,-1.267052,66.0,7436,0.5726513682556154,False,REGULAR,USD
50,TSLA261218C00310000,2024-10-17 18:47:38+00:00,310.0,49.1,48.0,48.65,0.0,0.0,2.0,855,0.5713238668823243,False,REGULAR,USD
51,TSLA261218C00320000,2024-10-18 14:55:09+00:00,320.0,46.91,46.0,46.55,0.4300003,0.9251298,1.0,1190,0.5708966250610351,False,REGULAR,USD
52,TSLA261218C00330000,2024-10-18 19:47:07+00:00,330.0,44.38,44.15,44.4,-1.1199989,-2.461536,55.0,7910,0.5700726586914062,False,REGULAR,USD
53,TSLA261218C00340000,2024-10-18 14:42:24+00:00,340.0,42.85,42.15,42.65,-0.6500015,-1.4942564,1.0,1568,0.5694623132324219,False,REGULAR,USD
54,TSLA261218C00350000,2024-10-18 19:54:34+00:00,350.0,40.49,40.2,40.85,-0.30999756,-0.759798,310.0,2957,0.5681500704956054,False,REGULAR,USD
55,TSLA261218C00360000,2024-10-18 17:51:48+00:00,360.0,39.2,38.45,39.05,-0.54999924,-1.3836459,1.0,646,0.5669446382141115,False,REGULAR,USD
56,TSLA261218C00370000,2024-10-18 18:24:12+00:00,370.0,37.44,36.9,37.45,-0.63000107,-1.6548492,1.0,1387,0.5666547241210937,False,REGULAR,USD
57,TSLA261218C00380000,2024-10-18 18:29:02+00:00,380.0,35.85,35.3,35.95,-0.010002136,-0.02789218,5.0,3782,0.5659680854797364,False,REGULAR,USD
58,TSLA261218C00390000,2024-10-18 15:57:01+00:00,390.0,34.48,33.9,34.45,-0.7200012,-2.045458,1.0,564,0.5654950677490236,False,REGULAR,USD
59,TSLA261218C00400000,2024-10-18 19:04:40+00:00,400.0,32.8,32.6,33.1,-0.20000076,-0.6060629,8.0,4840,0.565479809112549,False,REGULAR,USD
60,TSLA261218C00410000,2024-10-18 16:02:31+00:00,410.0,31.68,31.35,31.8,-0.84000015,-2.5830264,4.0,719,0.5653729986572267,False,REGULAR,USD
61,TSLA261218C00420000,2024-10-18 19:18:13+00:00,420.0,30.55,30.1,30.6,-1.0,-3.1695724,6.0,829,0.5651593777465821,False,REGULAR,USD
62,TSLA261218C00430000,2024-10-17 17:15:06+00:00,430.0,29.38,28.85,29.6,-0.22000122,-0.74324733,2.0,469,0.5653272227478028,False,REGULAR,USD
63,TSLA261218C00440000,2024-10-18 16:02:31+00:00,440.0,28.22,27.85,28.5,-0.48000145,-1.6724789,6.0,345,0.5656781713867188,False,REGULAR,USD
64,TSLA261218C00450000,2024-10-18 16:11:32+00:00,450.0,27.13,26.8,27.45,-0.26000023,-0.94925237,430.0,3957,0.5656018782043459,False,REGULAR,USD
65,TSLA261218C00460000,2024-10-18 19:32:48+00:00,460.0,26.2,25.6,26.25,-0.69999886,-2.6022263,4.0,2475,0.5638166177368166,False,REGULAR,USD
66,TSLA261218C00470000,2024-10-18 16:05:27+00:00,470.0,25.15,24.85,25.3,-0.35000038,-1.3725505,3.0,1300,0.5646711013793947,False,REGULAR,USD
67,TSLA261218C00480000,2024-10-18 19:44:03+00:00,480.0,24.2,23.85,24.4,-1.0,-3.9682536,5.0,442,0.5642743768310547,False,REGULAR,USD
68,TSLA261218C00490000,2024-10-18 19:41:19+00:00,490.0,23.35,23.1,23.55,-0.049999237,-0.21367197,3.0,602,0.56485420501709,False,REGULAR,USD
69,TSLA261218C00500000,2024-10-18 19:55:32+00:00,500.0,22.35,22.15,22.7,-0.39999962,-1.7582402,89.0,2520,0.5641828250122071,False,REGULAR,USD
70,TSLA261218C00510000,2024-10-14 19:40:44+00:00,510.0,22.58,21.35,22.0,0.0,0.0,8.0,347,0.5645490322875978,False,REGULAR,USD
71,TSLA261218C00520000,2024-10-14 19:40:44+00:00,520.0,21.82,20.55,21.2,0.0,0.0,2.0,707,0.5641523077392578,False,REGULAR,USD
72,TSLA261218C00530000,2024-10-18 17:39:17+00:00,530.0,20.43,19.95,20.5,-0.17000008,-0.82524306,16.0,746,0.56485420501709,False,REGULAR,USD
73,TSLA261218C00540000,2024-10-18 18:33:54+00:00,540.0,19.75,19.35,19.85,-0.17000008,-0.853414,1525.0,4937,0.5655103263854981,False,REGULAR,USD
