,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA241220P00050000,2024-10-17 19:31:32+00:00,50.0,0.03,0.01,0.04,0.0,0.0,38.0,7572,1.21875390625,False,REGULAR,USD
1,TSLA241220P00055000,2024-10-11 19:56:44+00:00,55.0,0.04,0.02,0.05,0.0,0.0,12.0,436,1.1796916015624999,False,REGULAR,USD
2,TSLA241220P00060000,2024-10-18 15:40:58+00:00,60.0,0.04,0.03,0.06,0.0,0.0,50.0,2305,1.1328168359375002,False,REGULAR,USD
3,TSLA241220P00065000,2024-10-16 14:31:00+00:00,65.0,0.04,0.04,0.07,0.0,0.0,1.0,161,1.0859420703125,False,REGULAR,USD
4,TSLA241220P00070000,2024-10-17 13:39:00+00:00,70.0,0.06,0.05,0.06,0.0,0.0,5.0,1333,1.0234423828125,False,REGULAR,USD
5,TSLA241220P00075000,2024-10-18 14:01:07+00:00,75.0,0.07,0.06,0.09,-0.030000001,-30.000002,11.0,752,0.9960937890625,False,REGULAR,USD
6,TSLA241220P00080000,2024-10-18 18:41:43+00:00,80.0,0.08,0.08,0.09,-0.010000005,-11.111116,2.0,2901,0.9531254687499999,False,REGULAR,USD
7,TSLA241220P00085000,2024-10-15 17:42:35+00:00,85.0,0.11,0.09,0.12,0.0,0.0,1.0,301,0.91992267578125,False,REGULAR,USD
8,TSLA241220P00090000,2024-10-18 19:30:22+00:00,90.0,0.12,0.1,0.13,0.0,0.0,1.0,2408,0.87695435546875,False,REGULAR,USD
9,TSLA241220P00095000,2024-10-14 16:13:21+00:00,95.0,0.16,0.12,0.15,0.0,0.0,5.0,4457,0.8437515624999999,False,REGULAR,USD
10,TSLA241220P00100000,2024-10-18 15:06:19+00:00,100.0,0.15,0.15,0.18,-0.019999996,-11.764703,2.0,8488,0.8164080859374999,False,REGULAR,USD
11,TSLA241220P00105000,2024-10-18 15:06:19+00:00,105.0,0.19,0.18,0.2,0.00999999,5.55555,2.0,4354,0.7841818457031251,False,REGULAR,USD
12,TSLA241220P00110000,2024-10-18 19:43:04+00:00,110.0,0.21,0.21,0.23,-0.010000005,-4.545457,27.0,4894,0.7534204345703125,False,REGULAR,USD
13,TSLA241220P00115000,2024-10-18 19:30:22+00:00,115.0,0.25,0.24,0.26,-0.00999999,-3.8461502,1.0,2267,0.7221707470703125,False,REGULAR,USD
14,TSLA241220P00120000,2024-10-18 19:43:04+00:00,120.0,0.28,0.28,0.3,-0.030000001,-9.67742,9.0,5582,0.6938507177734375,False,REGULAR,USD
15,TSLA241220P00125000,2024-10-18 19:53:47+00:00,125.0,0.34,0.34,0.35,-0.030000001,-8.1081085,2.0,1120,0.6694368994140626,False,REGULAR,USD
16,TSLA241220P00130000,2024-10-18 19:36:14+00:00,130.0,0.42,0.41,0.44,-0.04000002,-8.695657,113.0,3635,0.6489292919921875,False,REGULAR,USD
17,TSLA241220P00135000,2024-10-18 19:51:46+00:00,135.0,0.5,0.49,0.51,-0.060000002,-10.714286,25.0,3323,0.6247596118164063,False,REGULAR,USD
18,TSLA241220P00140000,2024-10-18 18:37:57+00:00,140.0,0.61,0.61,0.64,-0.06999999,-10.294116,14.0,4337,0.6076699389648439,False,REGULAR,USD
19,TSLA241220P00145000,2024-10-18 18:24:02+00:00,145.0,0.76,0.75,0.78,-0.060000002,-7.317074,23.0,4259,0.5891154370117189,False,REGULAR,USD
20,TSLA241220P00150000,2024-10-18 19:52:45+00:00,150.0,0.96,0.93,0.97,-0.06999999,-6.796116,1054.0,21882,0.5730023168945313,False,REGULAR,USD
21,TSLA241220P00155000,2024-10-18 17:51:54+00:00,155.0,1.15,1.19,1.21,-0.14999998,-11.53846,41.0,3958,0.5598188549804688,False,REGULAR,USD
22,TSLA241220P00160000,2024-10-18 19:52:45+00:00,160.0,1.49,1.47,1.5,-0.14999998,-9.14634,246.0,8071,0.5451705639648439,False,REGULAR,USD
23,TSLA241220P00165000,2024-10-18 19:55:06+00:00,165.0,1.89,1.86,1.91,-0.13999999,-6.896551,109.0,2228,0.5347946911621093,False,REGULAR,USD
24,TSLA241220P00170000,2024-10-18 19:38:55+00:00,170.0,2.33,2.35,2.41,-0.26999998,-10.384615,94.0,8683,0.5252733020019531,False,REGULAR,USD
25,TSLA241220P00175000,2024-10-18 19:55:06+00:00,175.0,2.99,2.96,3.05,-0.16000009,-5.0793676,191.0,7438,0.5172777764892578,False,REGULAR,USD
26,TSLA241220P00180000,2024-10-18 19:55:13+00:00,180.0,3.76,3.7,3.8,-0.16000009,-4.081635,341.0,12959,0.5092212164306642,False,REGULAR,USD
27,TSLA241220P00185000,2024-10-18 19:24:14+00:00,185.0,4.65,4.6,4.7,-0.25999975,-5.295311,118.0,5708,0.5019581054687501,False,REGULAR,USD
28,TSLA241220P00190000,2024-10-18 19:58:04+00:00,190.0,5.7,5.7,5.8,-0.2800002,-4.6822777,222.0,7084,0.4982960327148438,False,REGULAR,USD
29,TSLA241220P00195000,2024-10-18 19:32:20+00:00,195.0,7.05,7.0,7.1,-0.3499999,-4.729728,179.0,5560,0.49323016540527354,False,REGULAR,USD
30,TSLA241220P00200000,2024-10-18 19:58:48+00:00,200.0,8.55,8.5,8.6,-0.25,-2.840909,507.0,10491,0.4883474017333985,False,REGULAR,USD
31,TSLA241220P00205000,2024-10-18 19:59:40+00:00,205.0,10.25,10.2,10.35,-0.31000042,-2.93561,189.0,6763,0.48474636352539063,False,REGULAR,USD
32,TSLA241220P00210000,2024-10-18 19:55:42+00:00,210.0,12.3,12.2,12.35,-0.3699999,-2.920283,246.0,7709,0.4820608435058594,False,REGULAR,USD
33,TSLA241220P00215000,2024-10-18 19:56:48+00:00,215.0,14.47,14.4,14.55,-0.27999973,-1.8983033,258.0,3508,0.47864290893554684,False,REGULAR,USD
34,TSLA241220P00220000,2024-10-18 19:57:37+00:00,220.0,16.85,16.85,17.0,-0.30999947,-1.8065237,1079.0,7942,0.4758353198242187,False,REGULAR,USD
35,TSLA241220P00225000,2024-10-18 19:49:33+00:00,225.0,19.6,19.5,19.65,-0.19999886,-1.0100952,264.0,3249,0.47235635070800785,True,REGULAR,USD
36,TSLA241220P00230000,2024-10-18 19:57:53+00:00,230.0,22.37,22.4,22.55,-0.5,-2.18627,366.0,4045,0.46964031341552737,True,REGULAR,USD
37,TSLA241220P00235000,2024-10-18 19:43:33+00:00,235.0,25.41,25.5,25.65,-0.460001,-1.7781252,21.0,2997,0.46655806884765627,True,REGULAR,USD
38,TSLA241220P00240000,2024-10-18 19:47:43+00:00,240.0,28.78,28.85,29.05,-0.8199997,-2.7702694,42.0,2815,0.46619186157226566,True,REGULAR,USD
39,TSLA241220P00245000,2024-10-18 18:51:53+00:00,245.0,31.61,32.35,32.5,-1.5599976,-4.7030377,204.0,3117,0.4616142706298829,True,REGULAR,USD
40,TSLA241220P00250000,2024-10-18 19:52:36+00:00,250.0,36.25,36.05,36.2,-0.6899986,-1.8678901,79.0,5810,0.4591118542480469,True,REGULAR,USD
41,TSLA241220P00255000,2024-10-18 18:54:08+00:00,255.0,39.07,39.85,40.2,-0.58000183,-1.4628041,29.0,1428,0.4611259942626954,True,REGULAR,USD
42,TSLA241220P00260000,2024-10-18 18:58:07+00:00,260.0,43.0,43.85,44.15,-1.5,-3.3707864,21.0,1492,0.4563652996826172,True,REGULAR,USD
43,TSLA241220P00265000,2024-10-16 14:43:56+00:00,265.0,49.45,48.05,48.4,0.0,0.0,4.0,250,0.4576470251464845,True,REGULAR,USD
44,TSLA241220P00270000,2024-10-18 15:30:09+00:00,270.0,51.55,52.35,52.7,-2.4000015,-4.4485664,12.0,4398,0.45642633422851564,True,REGULAR,USD
45,TSLA241220P00275000,2024-10-11 19:42:46+00:00,275.0,56.2,56.75,57.1,-4.6499977,-7.641739,2.0,257,0.4549615051269531,True,REGULAR,USD
46,TSLA241220P00280000,2024-10-17 17:44:24+00:00,280.0,61.1,61.2,61.6,0.51999664,0.8583635,1.0,1215,0.45386288330078123,True,REGULAR,USD
47,TSLA241220P00285000,2024-10-11 15:17:22+00:00,285.0,68.33,65.75,66.15,0.0,0.0,3.0,51,0.45093322509765627,True,REGULAR,USD
48,TSLA241220P00290000,2024-10-18 19:22:50+00:00,290.0,70.17,70.4,70.8,-0.87000275,-1.224666,47.0,297,0.4495904650878906,True,REGULAR,USD
49,TSLA241220P00295000,2024-10-11 18:23:28+00:00,295.0,77.7,75.1,75.5,0.0,0.0,2.0,47,0.44751529052734373,True,REGULAR,USD
50,TSLA241220P00300000,2024-10-18 13:59:24+00:00,300.0,79.73,79.85,80.25,0.55000305,0.6946237,2.0,850,0.44507390869140623,True,REGULAR,USD
51,TSLA241220P00305000,2024-10-18 16:30:39+00:00,305.0,84.26,84.65,85.05,-2.1899948,-2.5332503,1.0,58,0.4429987341308594,True,REGULAR,USD
52,TSLA241220P00310000,2024-10-15 19:43:19+00:00,310.0,91.25,88.35,91.15,0.0,0.0,13.0,94,0.5540816076660158,True,REGULAR,USD
53,TSLA241220P00315000,2024-10-11 19:37:55+00:00,315.0,97.65,92.7,96.35,0.0,0.0,2.0,3,0.5867961242675781,True,REGULAR,USD
54,TSLA241220P00320000,2024-10-16 19:29:47+00:00,320.0,98.8,98.1,100.9,0.0,0.0,20.0,155,0.5731243859863282,True,REGULAR,USD
55,TSLA241220P00325000,2024-10-10 13:48:52+00:00,325.0,92.45,102.35,106.35,0.0,0.0,1.0,2,0.624027197265625,True,REGULAR,USD
56,TSLA241220P00330000,2024-10-17 13:44:59+00:00,330.0,110.86,107.95,110.75,0.0,0.0,20.0,459,0.5959513061523438,True,REGULAR,USD
57,TSLA241220P00335000,2024-10-15 15:15:05+00:00,335.0,115.0,112.85,116.1,0.0,0.0,1.0,1,0.6408727319335938,True,REGULAR,USD
58,TSLA241220P00340000,2024-10-18 13:51:36+00:00,340.0,119.1,117.3,121.15,-1.2300034,-1.0221918,3.0,0,0.6616244775390626,True,REGULAR,USD
59,TSLA241220P00345000,2024-10-11 19:10:57+00:00,345.0,126.3,122.15,126.3,0.0,0.0,4.0,1,0.6895782995605471,True,REGULAR,USD
60,TSLA241220P00350000,2024-10-11 13:53:04+00:00,350.0,130.94,127.3,131.1,0.0,0.0,8.0,0,0.6904327832031252,True,REGULAR,USD
61,TSLA241220P00355000,2024-10-11 14:55:28+00:00,355.0,134.55,132.15,136.3,0.0,0.0,3.0,0,0.7219266088867188,True,REGULAR,USD
62,TSLA241220P00360000,2024-10-11 13:34:20+00:00,360.0,145.35,137.3,141.1,0.0,0.0,1.0,0,0.7216824707031251,True,REGULAR,USD
63,TSLA241220P00365000,2024-10-14 19:27:45+00:00,365.0,146.4,142.15,146.05,0.0,0.0,30.0,0,0.7326686889648437,True,REGULAR,USD
64,TSLA241220P00370000,2024-10-15 19:22:41+00:00,370.0,150.35,147.3,151.05,0.0,0.0,5.0,0,0.7475611181640626,True,REGULAR,USD
65,TSLA241220P00375000,2024-10-04 13:40:30+00:00,375.0,128.05,152.15,156.05,0.0,0.0,1.0,0,0.7620873400878907,True,REGULAR,USD
66,TSLA241220P00380000,2024-10-11 13:53:04+00:00,380.0,160.79,157.3,161.05,0.0,0.0,8.0,0,0.7763694238281251,True,REGULAR,USD
67,TSLA241220P00385000,2024-10-14 19:25:38+00:00,385.0,166.4,162.15,166.05,0.0,0.0,30.0,0,0.7904073693847657,True,REGULAR,USD
68,TSLA241220P00390000,2024-10-14 19:27:45+00:00,390.0,171.4,167.3,171.05,0.0,0.0,60.0,0,0.8042011767578124,True,REGULAR,USD
69,TSLA241220P00400000,2024-10-14 19:27:40+00:00,400.0,181.25,177.3,181.05,0.0,0.0,210.0,0,0.831056376953125,True,REGULAR,USD
70,TSLA241220P00410000,2024-09-27 16:08:22+00:00,410.0,151.7,187.3,191.05,0.0,0.0,19.0,0,0.8570570935058592,True,REGULAR,USD
71,TSLA241220P00420000,2024-09-27 19:00:05+00:00,420.0,161.45,197.3,201.05,0.0,0.0,5.0,0,0.8820812573242187,True,REGULAR,USD
72,TSLA241220P00430000,2024-09-05 16:10:01+00:00,430.0,201.98,178.7,181.4,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
73,TSLA241220P00440000,2024-07-25 19:24:31+00:00,440.0,216.14,218.8,220.6,0.0,0.0,17.0,0,0.7397486962890624,True,REGULAR,USD
74,TSLA241220P00450000,2024-07-24 17:30:10+00:00,450.0,229.15,228.8,230.6,0.0,0.0,20.0,0,0.7597680273437502,True,REGULAR,USD
75,TSLA241220P00460000,2024-07-09 19:10:21+00:00,460.0,199.25,260.15,262.2,0.0,0.0,,0,1.8721319869995119,True,REGULAR,USD
76,TSLA241220P00480000,2024-07-10 15:20:45+00:00,480.0,219.7,281.15,282.45,0.0,0.0,,0,1.948608655395508,True,REGULAR,USD
77,TSLA241220P00490000,2024-07-10 16:17:20+00:00,490.0,227.55,289.25,290.95,0.0,0.0,,0,1.92071572845459,True,REGULAR,USD
78,TSLA241220P00500000,2024-07-12 13:42:43+00:00,500.0,257.99,299.25,300.85,0.0,0.0,,0,1.9451907037353517,True,REGULAR,USD
79,TSLA241220P00510000,2024-07-12 13:51:42+00:00,510.0,264.33,309.25,310.95,0.0,0.0,,0,1.9722901776123047,True,REGULAR,USD
80,TSLA241220P00520000,2024-07-24 14:55:26+00:00,520.0,301.85,298.85,300.6,0.0,0.0,9.0,0,0.8911143701171874,True,REGULAR,USD
