,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TXN260116C00075000,2024-03-12 17:57:04+00:00,75.0,99.8,94.3,98.9,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
1,TXN260116C00080000,2024-05-14 13:58:21+00:00,80.0,109.77,115.6,119.05,0.0,0.0,1,40,0.418951123046875,True,REGULAR,USD
2,TXN260116C00085000,2023-12-18 16:45:34+00:00,85.0,82.9,77.15,81.25,0.0,0.0,2,1,1.0000000000000003e-05,True,REGULAR,USD
3,TXN260116C00090000,2024-03-20 13:37:08+00:00,90.0,78.55,0.0,0.0,0.0,0.0,3,5,1.0000000000000003e-05,True,REGULAR,USD
4,TXN260116C00100000,2024-07-16 14:55:28+00:00,100.0,106.27,101.5,106.5,0.0,0.0,2,25,0.5483443603515626,True,REGULAR,USD
5,TXN260116C00110000,2024-05-06 14:05:27+00:00,110.0,73.15,86.5,91.5,0.0,0.0,1,5,0.407232490234375,True,REGULAR,USD
6,TXN260116C00115000,2024-05-28 13:30:03+00:00,115.0,91.05,79.0,82.45,0.0,0.0,2,4,1.0000000000000003e-05,True,REGULAR,USD
7,TXN260116C00120000,2024-10-17 18:00:30+00:00,120.0,83.0,78.8,82.25,0.0,0.0,1,7,0.38129280822753897,True,REGULAR,USD
8,TXN260116C00125000,2024-05-07 14:00:44+00:00,125.0,64.03,73.45,76.65,0.0,0.0,1,10,0.3391789715576171,True,REGULAR,USD
9,TXN260116C00130000,2024-06-17 15:42:28+00:00,130.0,69.17,80.8,83.4,0.0,0.0,5,16,0.5432174584960938,True,REGULAR,USD
10,TXN260116C00135000,2024-06-25 13:45:42+00:00,135.0,65.82,66.1,69.3,0.0,0.0,2,10,0.3592288198852539,True,REGULAR,USD
11,TXN260116C00140000,2024-09-17 16:05:53+00:00,140.0,68.2,64.15,65.6,0.0,0.0,2,10,0.3614870980834961,True,REGULAR,USD
12,TXN260116C00145000,2024-07-29 14:06:33+00:00,145.0,65.81,69.3,72.35,0.0,0.0,1,16,0.5114794946289063,True,REGULAR,USD
13,TXN260116C00150000,2024-09-24 16:41:27+00:00,150.0,63.22,56.35,57.85,0.0,0.0,1,57,0.3517215707397461,True,REGULAR,USD
14,TXN260116C00155000,2024-09-16 19:41:43+00:00,155.0,53.5,54.85,55.9,0.0,0.0,1,294,0.37476211181640623,True,REGULAR,USD
15,TXN260116C00160000,2024-09-11 19:48:32+00:00,160.0,52.9,55.05,56.2,0.0,0.0,2,83,0.42517664672851563,True,REGULAR,USD
16,TXN260116C00165000,2024-10-01 19:32:07+00:00,165.0,49.2,45.65,47.2,0.0,0.0,1,502,0.33954517883300783,True,REGULAR,USD
17,TXN260116C00170000,2024-09-27 15:39:19+00:00,170.0,52.65,42.5,43.8,0.0,0.0,15,99,0.33423517333984376,True,REGULAR,USD
18,TXN260116C00175000,2024-09-11 14:51:04+00:00,175.0,38.74,44.75,45.95,0.0,0.0,1,130,0.3990996369934083,True,REGULAR,USD
19,TXN260116C00180000,2024-09-30 18:25:14+00:00,180.0,40.88,36.25,37.8,0.0,0.0,2,265,0.32924559921264646,True,REGULAR,USD
20,TXN260116C00185000,2024-08-06 18:33:54+00:00,185.0,30.25,36.45,38.45,0.0,0.0,6,211,0.36856710540771487,True,REGULAR,USD
21,TXN260116C00190000,2024-10-18 19:05:04+00:00,190.0,31.25,30.95,31.85,-4.299999,-12.095638,2,73,0.31836619140624994,True,REGULAR,USD
22,TXN260116C00195000,2024-10-16 14:39:23+00:00,195.0,30.2,28.3,29.25,0.0,0.0,2,176,0.31510084320068354,True,REGULAR,USD
23,TXN260116C00200000,2024-10-04 18:02:21+00:00,200.0,29.0,25.85,27.05,0.0,0.0,1,447,0.31485670501708973,False,REGULAR,USD
24,TXN260116C00210000,2024-10-18 18:39:03+00:00,210.0,21.54,21.45,22.5,-3.459999,-13.839996,14,222,0.3080208358764648,False,REGULAR,USD
25,TXN260116C00220000,2024-10-02 13:56:10+00:00,220.0,17.76,17.95,18.55,-3.539999,-16.619713,2,720,0.302115743560791,False,REGULAR,USD
26,TXN260116C00230000,2024-10-18 19:17:25+00:00,230.0,14.75,14.65,15.1,-1.3299999,-8.271144,130,376,0.29621065124511714,False,REGULAR,USD
27,TXN260116C00240000,2024-09-25 16:54:05+00:00,240.0,13.9,11.9,12.5,0.0,0.0,10,169,0.2949594430541992,False,REGULAR,USD
28,TXN260116C00250000,2024-10-17 13:39:09+00:00,250.0,10.52,9.55,10.1,0.0,0.0,4,218,0.29114478393554677,False,REGULAR,USD
29,TXN260116C00260000,2024-10-03 18:04:05+00:00,260.0,8.9,7.45,8.3,0.0,0.0,1,280,0.29050392120361324,False,REGULAR,USD
30,TXN260116C00270000,2024-10-16 16:07:04+00:00,270.0,6.75,5.85,6.65,0.0,0.0,7,48,0.2876352975463866,False,REGULAR,USD
31,TXN260116C00280000,2024-09-30 17:19:27+00:00,280.0,6.3,4.5,5.4,0.0,0.0,7,29,0.2867502966308593,False,REGULAR,USD
32,TXN260116C00290000,2024-10-14 14:04:58+00:00,290.0,5.25,1.97,4.45,0.0,0.0,10,284,0.28745219390869137,False,REGULAR,USD
33,TXN260116C00300000,2024-10-16 13:32:11+00:00,300.0,3.31,1.57,3.5,0.0,0.0,3,35,0.28458357025146475,False,REGULAR,USD
34,TXN260116C00310000,2024-09-26 16:28:29+00:00,310.0,3.2,1.31,2.91,0.0,0.0,1,13,0.2861704684448242,False,REGULAR,USD
