,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TXN260116P00075000,2024-10-16 13:44:21+00:00,75.0,0.66,0.08,1.86,0.0,0.0,101.0,908,0.5578657495117189,False,REGULAR,USD
1,TXN260116P00080000,2024-10-16 13:43:37+00:00,80.0,0.76,0.13,1.98,0.0,0.0,219.0,21,0.5317429638671876,False,REGULAR,USD
2,TXN260116P00085000,2024-10-16 13:46:14+00:00,85.0,0.53,0.2,2.1,0.0,0.0,140.0,112,0.5069629382324219,False,REGULAR,USD
3,TXN260116P00090000,2024-05-20 19:30:11+00:00,90.0,0.8,0.6,1.2,0.0,0.0,2.0,25,0.422857333984375,False,REGULAR,USD
4,TXN260116P00095000,2024-10-16 13:40:24+00:00,95.0,1.14,0.4,2.45,0.0,0.0,2.0,11102,0.46521530883789064,False,REGULAR,USD
5,TXN260116P00100000,2024-08-23 14:09:54+00:00,100.0,1.34,1.01,1.92,0.0,0.0,2.0,59,0.4127866339111328,False,REGULAR,USD
6,TXN260116P00105000,2024-05-10 17:25:30+00:00,105.0,1.78,1.0,2.88,0.0,0.0,5.0,114,0.4283504431152344,False,REGULAR,USD
7,TXN260116P00110000,2024-07-16 19:04:53+00:00,110.0,1.35,1.1,2.93,0.0,0.0,1.0,129,0.4041197283935547,False,REGULAR,USD
8,TXN260116P00115000,2024-10-03 17:45:29+00:00,115.0,2.45,1.71,2.92,0.0,0.0,1.0,788,0.3787293572998046,False,REGULAR,USD
9,TXN260116P00120000,2024-10-08 14:26:21+00:00,120.0,2.79,1.59,3.1,0.0,0.0,8.0,96,0.3606020971679687,False,REGULAR,USD
10,TXN260116P00125000,2024-10-02 16:47:46+00:00,125.0,3.1,1.67,3.65,0.0,0.0,21.0,19,0.35358312438964834,False,REGULAR,USD
11,TXN260116P00130000,2024-10-14 19:01:26+00:00,130.0,3.1,2.32,4.2,0.0,0.0,141.0,155,0.3448551843261719,False,REGULAR,USD
12,TXN260116P00135000,2024-06-28 19:54:33+00:00,135.0,3.55,2.21,3.65,0.0,0.0,2.0,32,0.30750204223632804,False,REGULAR,USD
13,TXN260116P00140000,2024-10-02 17:27:06+00:00,140.0,5.1,4.8,5.75,0.0,0.0,1.0,76,0.3334417242431641,False,REGULAR,USD
14,TXN260116P00145000,2024-10-07 17:52:14+00:00,145.0,6.03,5.0,6.8,0.0,0.0,1.0,207,0.3304815487670898,False,REGULAR,USD
15,TXN260116P00150000,2024-09-23 14:57:07+00:00,150.0,5.95,6.75,7.75,0.0,0.0,1.0,175,0.3235846450805663,False,REGULAR,USD
16,TXN260116P00155000,2024-10-08 19:26:44+00:00,155.0,7.65,7.9,8.9,0.0,0.0,29.0,44,0.318518777770996,False,REGULAR,USD
17,TXN260116P00160000,2024-10-15 16:43:52+00:00,160.0,8.6,9.1,10.1,0.0,0.0,2.0,80,0.31247635772705074,False,REGULAR,USD
18,TXN260116P00165000,2024-08-12 15:44:39+00:00,165.0,12.35,9.5,10.35,0.0,0.0,8.0,420,0.29090064575195307,False,REGULAR,USD
19,TXN260116P00170000,2024-09-24 14:45:32+00:00,170.0,10.4,11.9,13.1,0.0,0.0,1.0,142,0.30408410766601557,False,REGULAR,USD
20,TXN260116P00175000,2024-09-12 15:07:26+00:00,175.0,13.95,11.95,13.5,0.0,0.0,7.0,380,0.28281356842041017,False,REGULAR,USD
21,TXN260116P00180000,2024-06-06 19:36:50+00:00,180.0,14.85,13.25,15.05,0.0,0.0,1.0,35,0.2757335610961914,False,REGULAR,USD
22,TXN260116P00185000,2024-10-16 15:01:28+00:00,185.0,17.47,17.4,18.15,0.0,0.0,10.0,43,0.2859110716247558,False,REGULAR,USD
23,TXN260116P00190000,2024-10-16 15:01:28+00:00,190.0,19.36,19.4,20.25,0.0,0.0,10.0,43,0.28162339477539056,False,REGULAR,USD
24,TXN260116P00195000,2024-10-18 19:36:42+00:00,195.0,22.05,21.7,22.15,2.6999989,13.953482,144.0,3,0.27332269653320307,False,REGULAR,USD
25,TXN260116P00200000,2024-10-18 18:57:35+00:00,200.0,24.75,23.95,25.0,1.3500004,5.7692327,14.0,46,0.27423821472167964,True,REGULAR,USD
26,TXN260116P00210000,2024-10-09 16:09:08+00:00,210.0,26.7,29.3,30.15,0.0,0.0,20.0,71,0.26442691146850583,True,REGULAR,USD
27,TXN260116P00220000,2024-10-15 19:01:12+00:00,220.0,34.7,34.3,37.25,0.0,0.0,32.0,51,0.2699963137817383,True,REGULAR,USD
28,TXN260116P00230000,2024-09-27 14:29:52+00:00,230.0,35.05,41.75,42.9,0.0,0.0,2.0,2,0.2519911227416992,True,REGULAR,USD
29,TXN260116P00240000,2024-10-07 18:30:02+00:00,240.0,47.85,47.35,49.95,0.0,0.0,,3,0.24341576904296874,True,REGULAR,USD
30,TXN260116P00250000,2024-10-02 19:40:33+00:00,250.0,53.45,56.05,58.45,0.0,0.0,,2,0.24802387725830077,True,REGULAR,USD
31,TXN260116P00260000,2024-09-27 14:29:53+00:00,260.0,55.8,64.5,66.25,0.0,0.0,2.0,3,0.23633576171874998,True,REGULAR,USD
32,TXN260116P00270000,2024-10-02 19:18:06+00:00,270.0,69.25,73.25,74.95,0.0,0.0,,3,0.23246006805419922,True,REGULAR,USD
33,TXN260116P00280000,2024-10-02 19:50:20+00:00,280.0,78.45,81.05,85.8,0.0,0.0,,2,0.267158207397461,True,REGULAR,USD
