,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNH251219C00230000,2024-09-12 16:32:20+00:00,230.0,360.97,369.0,378.0,0.0,0.0,1.0,5,0.9313056185913086,True,REGULAR,USD
1,UNH251219C00240000,2024-09-04 13:54:36+00:00,240.0,368.04,356.0,363.75,0.0,0.0,2.0,2,0.8559737303161621,True,REGULAR,USD
2,UNH251219C00250000,2023-12-14 20:27:41+00:00,250.0,294.0,277.0,285.65,0.0,0.0,1.0,25,1.0000000000000003e-05,True,REGULAR,USD
3,UNH251219C00270000,2023-09-27 15:32:46+00:00,270.0,251.24,267.75,275.45,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
4,UNH251219C00280000,2024-07-01 19:30:57+00:00,280.0,227.5,301.0,311.0,0.0,0.0,,1,0.588596643371582,True,REGULAR,USD
5,UNH251219C00290000,2024-08-02 19:58:08+00:00,290.0,309.0,304.0,313.0,0.0,0.0,2.0,3,0.6892426095581056,True,REGULAR,USD
6,UNH251219C00300000,2024-01-29 18:36:11+00:00,300.0,220.55,211.05,220.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
7,UNH251219C00310000,2024-07-01 19:32:44+00:00,310.0,201.3,275.0,284.0,0.0,0.0,,1,0.5546004013061524,True,REGULAR,USD
8,UNH251219C00320000,2023-09-05 16:38:52+00:00,320.0,194.2,222.75,229.45,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
9,UNH251219C00330000,2023-10-13 16:53:49+00:00,330.0,238.0,235.75,242.5,0.0,0.0,2.0,2,0.3042672113037109,True,REGULAR,USD
10,UNH251219C00350000,2024-10-14 15:27:45+00:00,350.0,270.0,228.0,238.0,0.0,0.0,2.0,35,0.4553429710388184,True,REGULAR,USD
11,UNH251219C00360000,2024-06-26 17:34:57+00:00,360.0,153.8,224.0,233.0,0.0,0.0,2.0,3,0.47633885482788085,True,REGULAR,USD
12,UNH251219C00370000,2024-07-12 19:50:20+00:00,370.0,166.0,204.0,214.0,0.0,0.0,1.0,4,0.38233039550781245,True,REGULAR,USD
13,UNH251219C00380000,2024-06-26 17:31:48+00:00,380.0,137.8,206.0,215.0,0.0,0.0,2.0,2,0.4505365005493164,True,REGULAR,USD
14,UNH251219C00390000,2024-07-11 19:30:02+00:00,390.0,145.0,187.0,196.75,0.0,0.0,1.0,1,0.3695283995056152,True,REGULAR,USD
15,UNH251219C00400000,2024-10-15 14:04:09+00:00,400.0,165.99,185.7,192.0,0.0,0.0,1.0,37,0.3902191105651856,True,REGULAR,USD
16,UNH251219C00410000,2024-07-10 14:35:49+00:00,410.0,119.2,175.3,184.0,0.0,0.0,2.0,3,0.38519901916503896,True,REGULAR,USD
17,UNH251219C00420000,2024-09-23 19:14:17+00:00,420.0,177.18,167.2,175.35,0.0,0.0,1.0,8,0.3752885347747802,True,REGULAR,USD
18,UNH251219C00430000,2024-10-17 18:02:02+00:00,430.0,162.1,160.45,166.65,0.0,0.0,2.0,7,0.3647677049255372,True,REGULAR,USD
19,UNH251219C00440000,2024-10-15 14:13:36+00:00,440.0,140.0,152.2,158.8,0.0,0.0,2.0,28,0.3589923110198975,True,REGULAR,USD
20,UNH251219C00450000,2024-10-16 19:25:28+00:00,450.0,151.4,145.0,150.4,0.0,0.0,2.0,61,0.34944803390502926,True,REGULAR,USD
21,UNH251219C00460000,2024-09-23 17:56:09+00:00,460.0,145.0,136.5,141.3,0.0,0.0,1.0,19,0.3357076317596436,True,REGULAR,USD
22,UNH251219C00470000,2024-09-17 19:57:28+00:00,470.0,142.69,126.05,134.0,0.0,0.0,1.0,28,0.3313512910461425,True,REGULAR,USD
23,UNH251219C00480000,2024-07-23 15:50:04+00:00,480.0,121.02,134.95,138.9,0.0,0.0,2.0,76,0.38706057281494133,True,REGULAR,USD
24,UNH251219C00490000,2024-10-18 14:15:05+00:00,490.0,115.0,112.35,119.2,2.0,1.7699115,1.0,102,0.31937326141357414,True,REGULAR,USD
25,UNH251219C00500000,2024-10-18 19:48:36+00:00,500.0,109.45,107.15,112.15,2.2999954,2.1465194,7.0,137,0.31404799728393556,True,REGULAR,USD
26,UNH251219C00510000,2024-10-14 14:58:08+00:00,510.0,133.0,100.3,106.0,0.0,0.0,1.0,38,0.31212540908813474,True,REGULAR,USD
27,UNH251219C00520000,2024-08-05 19:54:32+00:00,520.0,104.73,124.55,129.6,0.0,0.0,2.0,17,0.4420603279876709,True,REGULAR,USD
28,UNH251219C00530000,2024-10-18 16:49:04+00:00,530.0,88.58,88.35,91.65,6.380005,7.7615633,1.0,27,0.29661500511169425,True,REGULAR,USD
29,UNH251219C00540000,2024-10-15 14:15:28+00:00,540.0,73.55,81.25,85.4,0.0,0.0,36.0,67,0.29185431053161603,True,REGULAR,USD
30,UNH251219C00550000,2024-10-17 18:02:27+00:00,550.0,77.3,75.55,79.2,0.0,0.0,2.0,540,0.28649089981079096,True,REGULAR,USD
31,UNH251219C00560000,2024-10-18 17:43:04+00:00,560.0,71.85,69.55,73.5,5.3600006,8.061363,1.0,108,0.28240921455383305,True,REGULAR,USD
32,UNH251219C00570000,2024-10-16 16:02:54+00:00,570.0,70.85,63.95,67.85,0.0,0.0,2.0,59,0.27767140792846673,False,REGULAR,USD
33,UNH251219C00580000,2024-10-18 14:04:56+00:00,580.0,61.45,58.25,62.45,-23.499996,-27.66333,1.0,106,0.2731014463043213,False,REGULAR,USD
34,UNH251219C00590000,2024-10-16 14:48:42+00:00,590.0,61.37,54.3,57.55,0.0,0.0,2.0,79,0.2696911410522461,False,REGULAR,USD
35,UNH251219C00600000,2024-10-16 14:20:24+00:00,600.0,55.0,48.6,53.0,0.0,0.0,1.0,69,0.26679962944030766,False,REGULAR,USD
36,UNH251219C00610000,2024-10-16 19:02:50+00:00,610.0,50.64,45.0,48.75,0.0,0.0,1.0,58,0.2642285491943359,False,REGULAR,USD
37,UNH251219C00620000,2024-10-15 16:15:48+00:00,620.0,43.55,41.5,44.8,0.0,0.0,5.0,95,0.2619855296325684,False,REGULAR,USD
38,UNH251219C00630000,2024-10-17 16:55:18+00:00,630.0,37.32,37.2,41.05,0.0,0.0,8.0,139,0.2596814755249024,False,REGULAR,USD
39,UNH251219C00640000,2024-10-16 16:03:24+00:00,640.0,39.5,34.35,37.0,0.0,0.0,2.0,53,0.2552030657196045,False,REGULAR,USD
40,UNH251219C00650000,2024-10-01 19:13:07+00:00,650.0,43.3,29.1,33.7,0.0,0.0,2.0,44,0.2529753047943115,False,REGULAR,USD
41,UNH251219C00660000,2024-10-15 14:54:34+00:00,660.0,29.28,26.6,30.65,0.0,0.0,1.0,43,0.2509382768249511,False,REGULAR,USD
42,UNH251219C00670000,2024-10-15 19:46:18+00:00,670.0,24.52,24.1,28.15,0.0,0.0,3.0,15,0.25049577636718745,False,REGULAR,USD
43,UNH251219C00680000,2024-10-16 16:59:38+00:00,680.0,27.45,23.1,25.5,0.0,0.0,2.0,42,0.2485426708984375,False,REGULAR,USD
44,UNH251219C00700000,2024-10-16 14:58:47+00:00,700.0,22.17,18.05,22.3,0.0,0.0,30.0,84,0.2523573300170898,False,REGULAR,USD
45,UNH251219C00720000,2024-10-09 15:47:06+00:00,720.0,25.92,15.25,16.8,0.0,0.0,1.0,21,0.2414016290283203,False,REGULAR,USD
46,UNH251219C00740000,2024-10-07 18:00:05+00:00,740.0,22.75,10.9,13.75,0.0,0.0,2.0,29,0.23992917060852045,False,REGULAR,USD
47,UNH251219C00760000,2024-10-15 18:43:08+00:00,760.0,10.5,7.9,11.3,0.0,0.0,2.0,368,0.23923490264892577,False,REGULAR,USD
48,UNH251219C00780000,2024-08-26 13:53:24+00:00,780.0,16.15,10.2,12.35,0.0,0.0,2.0,5,0.2600324241638184,False,REGULAR,USD
49,UNH251219C00800000,2024-10-15 16:16:33+00:00,800.0,8.0,6.35,7.8,0.0,0.0,2.0,47,0.24002835174560544,False,REGULAR,USD
50,UNH251219C00820000,2024-08-29 14:16:06+00:00,820.0,10.42,7.65,9.25,0.0,0.0,1.0,45,0.2636944969177246,False,REGULAR,USD
51,UNH251219C00860000,2024-10-14 15:01:20+00:00,860.0,9.0,2.57,4.55,0.0,0.0,2.0,5,0.242546026763916,False,REGULAR,USD
52,UNH251219C00880000,2024-08-30 18:11:54+00:00,880.0,6.6,3.1,5.75,0.0,0.0,1.0,1,0.2657696714782715,False,REGULAR,USD
