,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNH241115P00300000,2024-10-14 19:16:54+00:00,300.0,0.08,0.0,0.05,0.0,0.0,5.0,74,0.7539087109375,False,REGULAR,USD
1,UNH241115P00330000,2024-08-08 19:04:51+00:00,330.0,0.6,0.0,1.56,0.0,0.0,,1,0.9489751196289062,False,REGULAR,USD
2,UNH241115P00350000,2024-10-17 17:24:34+00:00,350.0,0.04,0.0,0.11,0.0,0.0,3.0,58,0.62305064453125,False,REGULAR,USD
3,UNH241115P00390000,2024-10-02 16:58:08+00:00,390.0,0.23,0.0,0.22,0.0,0.0,,1,0.5312546875,False,REGULAR,USD
4,UNH241115P00400000,2024-10-17 17:25:18+00:00,400.0,0.11,0.02,0.27,0.0,0.0,3.0,15,0.514653291015625,False,REGULAR,USD
5,UNH241115P00410000,2024-10-16 13:56:44+00:00,410.0,0.16,0.03,0.16,0.0,0.0,1.0,55,0.48779809082031256,False,REGULAR,USD
6,UNH241115P00420000,2024-09-26 18:14:41+00:00,420.0,1.12,0.0,1.5,0.0,0.0,,2,0.5654340332031251,False,REGULAR,USD
7,UNH241115P00430000,2024-10-17 17:25:18+00:00,430.0,0.22,0.08,0.26,0.0,0.0,1.0,95,0.4506890869140625,False,REGULAR,USD
8,UNH241115P00440000,2024-10-18 16:41:06+00:00,440.0,0.21,0.14,0.43,0.03999999,23.529406,10.0,49,0.44922425781249997,False,REGULAR,USD
9,UNH241115P00450000,2024-10-17 18:43:09+00:00,450.0,0.3,0.12,0.56,0.0,0.0,13.0,74,0.43237872314453124,False,REGULAR,USD
10,UNH241115P00460000,2024-10-18 19:26:23+00:00,460.0,0.37,0.3,0.44,-0.00999999,-2.6315765,6.0,981,0.3825745336914062,False,REGULAR,USD
11,UNH241115P00470000,2024-10-18 19:48:54+00:00,470.0,0.53,0.4,0.66,-0.01000005,-1.851861,3.0,330,0.37366348999023435,False,REGULAR,USD
12,UNH241115P00480000,2024-10-18 19:46:45+00:00,480.0,0.68,0.55,0.8,0.07999998,13.333329,23.0,749,0.35108070800781244,False,REGULAR,USD
13,UNH241115P00490000,2024-10-18 17:47:49+00:00,490.0,0.9,0.7,0.93,-0.100000024,-10.000002,10.0,263,0.32507999145507804,False,REGULAR,USD
14,UNH241115P00500000,2024-10-18 19:58:19+00:00,500.0,1.13,1.06,1.16,-0.21000004,-15.671643,24.0,597,0.30298548583984375,False,REGULAR,USD
15,UNH241115P00510000,2024-10-18 18:50:20+00:00,510.0,1.59,1.46,1.62,-0.26,-14.054054,24.0,1401,0.28778788391113275,False,REGULAR,USD
16,UNH241115P00520000,2024-10-18 18:50:20+00:00,520.0,2.28,2.14,2.33,-0.36000013,-13.636369,38.0,722,0.27460442199707036,False,REGULAR,USD
17,UNH241115P00530000,2024-10-18 19:56:18+00:00,530.0,3.32,3.2,3.4,-0.78,-19.02439,90.0,1011,0.2630078582763672,False,REGULAR,USD
18,UNH241115P00540000,2024-10-18 19:58:47+00:00,540.0,4.86,4.7,5.0,-1.1299996,-18.864769,73.0,1749,0.25318129638671877,False,REGULAR,USD
19,UNH241115P00550000,2024-10-18 19:58:47+00:00,550.0,7.16,7.0,7.3,-0.9499998,-11.713932,82.0,1558,0.24463645996093752,False,REGULAR,USD
20,UNH241115P00560000,2024-10-18 19:48:22+00:00,560.0,10.65,10.2,10.5,-0.9100008,-7.8719788,346.0,560,0.23740386627197263,False,REGULAR,USD
21,UNH241115P00570000,2024-10-18 19:57:35+00:00,570.0,14.25,14.35,14.65,-1.46,-9.293444,49.0,548,0.2296524789428711,True,REGULAR,USD
22,UNH241115P00580000,2024-10-18 19:57:35+00:00,580.0,19.37,19.6,19.9,-2.58,-11.753985,19.0,767,0.22208419525146478,True,REGULAR,USD
23,UNH241115P00590000,2024-10-18 17:12:29+00:00,590.0,28.09,25.95,26.45,0.29000092,1.0431688,3.0,903,0.2178422943115234,True,REGULAR,USD
