,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNP260116C00105000,2024-09-05 13:53:02+00:00,105.0,150.6,133.0,137.2,0.0,0.0,1.0,13,1.0000000000000003e-05,True,REGULAR,USD
1,UNP260116C00110000,2024-10-03 18:39:41+00:00,110.0,131.5,133.0,138.0,0.0,0.0,2.0,2,0.5306443420410156,True,REGULAR,USD
2,UNP260116C00115000,2024-06-17 19:44:17+00:00,115.0,110.75,129.0,133.5,0.0,0.0,3.0,34,0.5217332983398437,True,REGULAR,USD
3,UNP260116C00120000,2024-06-17 19:44:20+00:00,120.0,106.25,124.5,129.0,0.0,0.0,5.0,66,0.5118457019042968,True,REGULAR,USD
4,UNP260116C00125000,2024-06-17 19:45:04+00:00,125.0,102.2,120.0,124.5,0.0,0.0,2.0,9,0.5012256909179689,True,REGULAR,USD
5,UNP260116C00130000,2023-12-06 16:14:10+00:00,130.0,107.81,112.8,116.9,0.0,0.0,,1,0.39954213745117195,True,REGULAR,USD
6,UNP260116C00140000,2024-04-01 18:12:55+00:00,140.0,110.01,101.6,105.7,0.0,0.0,,2,0.31592480957031244,True,REGULAR,USD
7,UNP260116C00150000,2024-06-17 17:39:38+00:00,150.0,80.4,99.0,102.5,0.0,0.0,1.0,33,0.45117736328125,True,REGULAR,USD
8,UNP260116C00155000,2023-12-20 18:54:16+00:00,155.0,95.85,91.5,96.5,0.0,0.0,,3,0.4095823202514648,True,REGULAR,USD
9,UNP260116C00165000,2024-05-30 18:40:02+00:00,165.0,73.0,69.5,74.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
10,UNP260116C00170000,2024-06-03 14:27:34+00:00,170.0,72.35,67.1,70.4,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,UNP260116C00175000,2024-07-12 15:07:18+00:00,175.0,68.0,70.2,74.0,0.0,0.0,1.0,3,0.28321029296874994,True,REGULAR,USD
12,UNP260116C00180000,2023-12-01 15:29:30+00:00,180.0,65.15,78.6,81.5,0.0,0.0,3.0,3,0.45132994964599615,True,REGULAR,USD
13,UNP260116C00185000,2023-12-04 14:48:35+00:00,185.0,64.5,71.9,75.3,0.0,0.0,3.0,3,0.41199318481445313,True,REGULAR,USD
14,UNP260116C00190000,2024-10-03 18:23:48+00:00,190.0,61.05,62.8,64.5,0.0,0.0,1.0,39,0.3133613586425781,True,REGULAR,USD
15,UNP260116C00195000,2024-05-06 19:59:45+00:00,195.0,61.2,50.2,52.2,0.0,0.0,3.0,34,0.1834798449707031,True,REGULAR,USD
16,UNP260116C00200000,2024-09-17 16:59:08+00:00,200.0,64.95,51.6,56.0,0.0,0.0,1.0,33,0.2924722853088378,True,REGULAR,USD
17,UNP260116C00210000,2024-10-07 19:42:51+00:00,210.0,42.65,47.6,48.7,0.0,0.0,1.0,65,0.28292037887573235,True,REGULAR,USD
18,UNP260116C00220000,2024-10-01 18:03:45+00:00,220.0,43.5,38.5,43.5,0.0,0.0,2.0,54,0.2908396112060546,True,REGULAR,USD
19,UNP260116C00230000,2024-09-19 14:57:31+00:00,230.0,37.35,33.8,35.2,0.0,0.0,1.0,51,0.2620618228149414,True,REGULAR,USD
20,UNP260116C00240000,2024-10-15 14:23:46+00:00,240.0,30.75,27.9,31.0,0.0,0.0,1.0,61,0.2689739851379394,True,REGULAR,USD
21,UNP260116C00250000,2024-10-08 16:43:05+00:00,250.0,21.1,22.7,23.6,0.0,0.0,28.0,143,0.240943869934082,False,REGULAR,USD
22,UNP260116C00260000,2024-10-18 15:51:42+00:00,260.0,18.36,17.9,18.8,0.8600006,4.9142895,1.0,53,0.23203282623291016,False,REGULAR,USD
23,UNP260116C00270000,2024-10-15 15:26:51+00:00,270.0,16.2,13.9,14.6,0.0,0.0,2.0,157,0.22324385162353516,False,REGULAR,USD
24,UNP260116C00280000,2024-10-18 15:50:00+00:00,280.0,10.78,10.6,11.3,-0.82000065,-7.0689707,1.0,74,0.21755238021850587,False,REGULAR,USD
25,UNP260116C00290000,2024-10-14 16:21:02+00:00,290.0,9.1,7.9,8.6,0.0,0.0,76.0,157,0.21253228881835937,False,REGULAR,USD
26,UNP260116C00300000,2024-09-30 14:57:23+00:00,300.0,7.33,5.8,8.5,0.0,0.0,2.0,121,0.23258213714599607,False,REGULAR,USD
27,UNP260116C00310000,2024-10-04 14:47:57+00:00,310.0,4.25,4.2,6.0,0.0,0.0,1.0,7,0.22129074615478517,False,REGULAR,USD
28,UNP260116C00320000,2024-10-11 17:32:09+00:00,320.0,2.95,2.95,4.1,0.0,0.0,3.0,12,0.21131159790039059,False,REGULAR,USD
29,UNP260116C00330000,2024-04-18 16:46:19+00:00,330.0,5.45,4.9,7.3,0.0,0.0,1.0,3,0.272895454711914,False,REGULAR,USD
30,UNP260116C00340000,2024-09-23 16:39:55+00:00,340.0,2.82,1.45,3.8,0.0,0.0,2.0,9,0.23667145172119142,False,REGULAR,USD
31,UNP260116C00350000,2024-09-23 16:39:55+00:00,350.0,1.66,0.9,3.6,0.0,0.0,6.0,13,0.2470473245239258,False,REGULAR,USD
32,UNP260116C00360000,2024-06-11 19:55:09+00:00,360.0,1.6,1.05,2.8,0.0,0.0,2.0,10,0.24445335632324222,False,REGULAR,USD
33,UNP260116C00370000,2024-10-14 17:26:57+00:00,370.0,0.68,0.2,0.9,0.0,0.0,1.0,4,0.20356021057128904,False,REGULAR,USD
34,UNP260116C00380000,2024-07-16 19:53:50+00:00,380.0,1.5,0.35,2.25,0.0,0.0,1.0,10,0.2555616436767578,False,REGULAR,USD
