,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UNP270115P00125000,2024-10-11 13:30:07+00:00,125.0,2.55,2.0,5.0,0.0,0.0,1.0,5,0.36569848175048825,False,REGULAR,USD
1,UNP270115P00130000,2024-10-07 17:26:11+00:00,130.0,3.13,1.85,3.3,0.0,0.0,1.0,4,0.3107979077148437,False,REGULAR,USD
2,UNP270115P00165000,2024-10-11 18:17:23+00:00,165.0,6.2,5.4,6.8,0.0,0.0,1.0,3,0.26615113739013674,False,REGULAR,USD
3,UNP270115P00180000,2024-09-25 19:35:33+00:00,180.0,8.76,7.6,9.1,0.0,0.0,2.0,3,0.2499006895446777,False,REGULAR,USD
4,UNP270115P00195000,2024-09-26 17:16:14+00:00,195.0,11.9,8.6,11.7,0.0,0.0,,2,0.2315903257751465,False,REGULAR,USD
5,UNP270115P00200000,2024-10-11 19:57:44+00:00,200.0,12.15,11.5,12.6,0.0,0.0,2.0,4,0.22472393936157226,False,REGULAR,USD
6,UNP270115P00210000,2024-10-18 15:58:15+00:00,210.0,14.85,14.3,15.1,0.57000065,3.9916012,2.0,1,0.21535513656616212,False,REGULAR,USD
7,UNP270115P00220000,2024-10-15 18:16:53+00:00,220.0,16.54,15.0,18.0,0.0,0.0,6.0,21,0.20624573059082027,False,REGULAR,USD
8,UNP270115P00250000,2024-10-14 16:03:22+00:00,250.0,28.39,28.4,29.7,0.0,0.0,1.0,2,0.18127497200012205,True,REGULAR,USD
9,UNP270115P00280000,2024-10-08 19:25:58+00:00,280.0,49.65,43.2,46.8,0.0,0.0,,20,0.15953904434204103,True,REGULAR,USD
