,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VZ260116C00018000,2024-10-11 16:14:46+00:00,18.0,25.05,23.5,28.5,0.0,0.0,26,27,0.8764660791015625,True,REGULAR,USD
1,VZ260116C00020000,2024-10-09 19:13:07+00:00,20.0,24.14,22.0,26.5,0.0,0.0,13,0,0.7902853002929688,True,REGULAR,USD
2,VZ260116C00023000,2024-10-09 19:51:35+00:00,23.0,21.17,18.85,22.15,0.0,0.0,93,7,0.5151415673828125,True,REGULAR,USD
3,VZ260116C00025000,2024-10-11 14:17:00+00:00,25.0,18.4,17.1,19.85,0.0,0.0,7,38,0.42139250488281255,True,REGULAR,USD
4,VZ260116C00028000,2024-10-14 19:35:02+00:00,28.0,15.6,15.95,16.85,0.0,0.0,2,633,0.3532779516601562,True,REGULAR,USD
5,VZ260116C00030000,2024-10-18 14:43:38+00:00,30.0,14.39,13.1,14.65,1.0900002,8.19549,23,453,0.2873606420898437,True,REGULAR,USD
6,VZ260116C00032000,2024-10-15 18:58:51+00:00,32.0,12.3,12.35,13.1,0.0,0.0,45,380,0.29688203124999996,True,REGULAR,USD
7,VZ260116C00035000,2024-10-17 15:36:23+00:00,35.0,9.6,9.4,9.9,0.0,0.0,27,6722,0.21973436523437498,True,REGULAR,USD
8,VZ260116C00037000,2024-10-17 13:34:16+00:00,37.0,8.1,8.0,8.95,0.0,0.0,2,2403,0.25867440551757814,True,REGULAR,USD
9,VZ260116C00040000,2024-10-17 18:09:29+00:00,40.0,5.75,5.9,6.1,0.0,0.0,15,5827,0.20215641601562498,True,REGULAR,USD
10,VZ260116C00042000,2024-10-18 19:16:49+00:00,42.0,4.75,4.05,4.85,0.17000008,3.711792,4,2633,0.19727365234375,True,REGULAR,USD
11,VZ260116C00045000,2024-10-18 19:21:06+00:00,45.0,3.2,2.73,3.3,0.03999996,1.2658215,13,2825,0.19117019775390626,False,REGULAR,USD
12,VZ260116C00047000,2024-10-18 18:54:40+00:00,47.0,2.48,2.39,2.57,0.6700001,37.01658,9,2432,0.192390888671875,False,REGULAR,USD
13,VZ260116C00050000,2024-10-17 13:39:26+00:00,50.0,1.55,1.5,1.6,-0.04000008,-2.5157285,1,6919,0.18628743408203124,False,REGULAR,USD
14,VZ260116C00052500,2024-10-16 14:07:18+00:00,52.5,1.1,1.01,1.11,0.0,0.0,20,57,0.18726398681640627,False,REGULAR,USD
15,VZ260116C00055000,2024-10-16 19:31:56+00:00,55.0,0.71,0.67,0.76,0.0,0.0,7,3228,0.18811847045898436,False,REGULAR,USD
16,VZ260116C00060000,2024-10-17 17:07:57+00:00,60.0,0.33,0.05,0.45,0.0,0.0,4,3385,0.2024005541992187,False,REGULAR,USD
17,VZ260116C00065000,2024-10-18 15:15:32+00:00,65.0,0.2,0.13,0.2,0.010000005,5.2631607,2,309,0.20117986328124998,False,REGULAR,USD
