,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VZ260116P00018000,2024-10-17 14:47:35+00:00,18.0,0.09,0.06,0.15,0.0,0.0,2,400,0.424810439453125,False,REGULAR,USD
1,VZ260116P00020000,2024-10-18 14:42:53+00:00,20.0,0.21,0.01,4.15,0.06999999,49.999992,2,51035,0.7360866235351562,False,REGULAR,USD
2,VZ260116P00023000,2024-10-18 14:43:40+00:00,23.0,0.26,0.1,0.7,0.049999997,23.809523,4,737,0.4458063232421875,False,REGULAR,USD
3,VZ260116P00025000,2024-10-18 15:18:51+00:00,25.0,0.29,0.2,0.5,0.00999999,3.571425,16,398,0.3645083081054688,False,REGULAR,USD
4,VZ260116P00028000,2024-10-16 19:19:09+00:00,28.0,0.45,0.19,0.48,0.0,0.0,2,1654,0.30054410400390624,False,REGULAR,USD
5,VZ260116P00030000,2024-10-15 16:44:13+00:00,30.0,0.6,0.39,0.71,0.0,0.0,2,2851,0.29395237304687494,False,REGULAR,USD
6,VZ260116P00032000,2024-10-16 16:40:38+00:00,32.0,0.81,0.75,0.86,0.0,0.0,1,4640,0.2722240747070312,False,REGULAR,USD
7,VZ260116P00035000,2024-10-18 18:24:49+00:00,35.0,1.35,1.07,1.31,0.05000007,3.8461595,14,8979,0.2536695727539063,False,REGULAR,USD
8,VZ260116P00037000,2024-10-15 18:57:42+00:00,37.0,1.7,1.59,1.74,-0.07999992,-4.494378,8,3349,0.24402611450195313,False,REGULAR,USD
9,VZ260116P00040000,2024-10-17 14:51:12+00:00,40.0,2.68,2.55,2.74,0.0,0.0,3,13241,0.2391433508300781,False,REGULAR,USD
10,VZ260116P00042000,2024-10-18 15:11:26+00:00,42.0,3.4,3.3,3.45,0.0,0.0,10,4332,0.2291336853027344,False,REGULAR,USD
11,VZ260116P00045000,2024-10-16 14:13:18+00:00,45.0,4.8,2.73,5.7,0.0,0.0,5,1382,0.2624585473632813,True,REGULAR,USD
12,VZ260116P00047000,2024-10-15 15:04:23+00:00,47.0,6.09,5.95,6.8,0.0,0.0,100,111,0.2556226782226563,True,REGULAR,USD
13,VZ260116P00050000,2024-10-15 15:05:25+00:00,50.0,8.15,7.95,8.55,0.0,0.0,20,293,0.2391433508300781,True,REGULAR,USD
14,VZ260116P00052500,2024-10-15 15:04:39+00:00,52.5,9.98,7.5,12.5,0.0,0.0,40,31,0.3518741571044921,True,REGULAR,USD
15,VZ260116P00055000,2024-10-02 13:48:49+00:00,55.0,11.8,10.55,12.25,0.0,0.0,13,58,0.22400678344726557,True,REGULAR,USD
16,VZ260116P00060000,2024-09-20 18:10:45+00:00,60.0,17.1,16.1,17.35,0.0,0.0,20,17,0.28003649658203117,True,REGULAR,USD
17,VZ260116P00065000,2024-04-19 13:56:12+00:00,65.0,24.76,22.65,27.3,0.0,0.0,2,0,0.6140175317382813,True,REGULAR,USD
