,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,V250221C00195000,2024-08-29 16:52:21+00:00,195.0,84.45,82.95,85.95,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
1,V250221C00205000,2024-08-01 17:45:53+00:00,205.0,65.8,74.8,77.9,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
2,V250221C00210000,2024-10-14 19:25:53+00:00,210.0,74.0,83.05,85.6,0.0,0.0,1.0,4,0.5028125891113282,True,REGULAR,USD
3,V250221C00215000,2024-09-25 17:54:14+00:00,215.0,59.75,77.95,80.5,0.0,0.0,4.0,5,0.4726615234375,True,REGULAR,USD
4,V250221C00220000,2024-09-24 13:55:03+00:00,220.0,61.65,73.55,75.9,0.0,0.0,2.0,14,0.45795219787597663,True,REGULAR,USD
5,V250221C00225000,2024-08-29 18:28:10+00:00,225.0,57.15,55.15,56.0,0.0,0.0,2.0,11,1.0000000000000003e-05,True,REGULAR,USD
6,V250221C00230000,2024-09-20 18:11:02+00:00,230.0,59.55,63.95,65.6,0.0,0.0,2.0,48,0.3969786865234375,True,REGULAR,USD
7,V250221C00235000,2024-10-15 15:56:10+00:00,235.0,52.0,59.65,60.6,0.0,0.0,1.0,29,0.37128314270019536,True,REGULAR,USD
8,V250221C00240000,2024-09-03 16:04:27+00:00,240.0,49.5,42.6,43.95,0.0,0.0,6.0,47,1.0000000000000003e-05,True,REGULAR,USD
9,V250221C00245000,2024-10-17 16:43:25+00:00,245.0,50.03,50.35,52.15,0.0,0.0,2.0,36,0.3566043344116211,True,REGULAR,USD
10,V250221C00250000,2024-10-16 16:57:06+00:00,250.0,42.55,44.8,46.55,0.0,0.0,1.0,28,0.316840327758789,True,REGULAR,USD
11,V250221C00255000,2024-10-04 14:28:03+00:00,255.0,30.2,41.15,42.2,0.0,0.0,2.0,27,0.3042061767578125,True,REGULAR,USD
12,V250221C00260000,2024-10-17 14:41:16+00:00,260.0,37.0,36.8,37.9,0.0,0.0,1.0,74,0.2910227148437499,True,REGULAR,USD
13,V250221C00265000,2024-10-16 17:04:03+00:00,265.0,30.25,32.05,34.4,0.0,0.0,3.0,82,0.29053443847656246,True,REGULAR,USD
14,V250221C00270000,2024-10-17 14:41:16+00:00,270.0,28.84,29.05,29.7,0.0,0.0,3.0,60,0.2664868273925781,True,REGULAR,USD
15,V250221C00275000,2024-10-18 14:18:29+00:00,275.0,24.96,25.5,26.0,-0.94000053,-3.629346,1.0,194,0.25763681823730467,True,REGULAR,USD
16,V250221C00280000,2024-10-18 17:45:11+00:00,280.0,22.48,21.4,22.45,0.07999992,0.35714254,1.0,431,0.24842060180664063,True,REGULAR,USD
17,V250221C00285000,2024-10-18 17:36:58+00:00,285.0,18.93,16.9,19.05,0.010000229,0.05285533,3.0,595,0.23853300537109373,True,REGULAR,USD
18,V250221C00290000,2024-10-18 19:44:28+00:00,290.0,15.77,15.7,15.95,0.040000916,0.254297,11.0,260,0.22992713439941403,True,REGULAR,USD
19,V250221C00295000,2024-10-18 18:00:09+00:00,295.0,13.23,13.0,13.25,0.07999992,0.60836446,12.0,431,0.22361005889892577,False,REGULAR,USD
20,V250221C00300000,2024-10-18 19:40:41+00:00,300.0,10.72,10.65,10.85,0.07000065,0.65728307,2.0,449,0.2179338461303711,False,REGULAR,USD
21,V250221C00305000,2024-10-18 17:51:52+00:00,305.0,8.9,8.6,8.8,-0.28999996,-3.1556036,3.0,193,0.21356987609863282,False,REGULAR,USD
22,V250221C00310000,2024-10-17 18:02:59+00:00,310.0,7.18,6.85,7.05,0.0,0.0,69.0,102,0.2098467687988281,False,REGULAR,USD
23,V250221C00315000,2024-10-16 18:01:13+00:00,315.0,4.8,5.4,5.55,0.0,0.0,2.0,270,0.20615417877197262,False,REGULAR,USD
24,V250221C00320000,2024-10-18 17:51:46+00:00,320.0,4.39,4.2,4.35,-0.11000013,-2.4444473,3.0,84,0.20371279693603517,False,REGULAR,USD
25,V250221C00325000,2024-10-17 14:02:08+00:00,325.0,3.35,3.25,3.35,0.0,0.0,3.0,23,0.20117986328124998,False,REGULAR,USD
26,V250221C00330000,2024-10-18 19:22:46+00:00,330.0,2.5,2.48,2.56,-0.1500001,-5.660381,1.0,70,0.19928779235839844,False,REGULAR,USD
27,V250221C00335000,2024-10-17 19:01:46+00:00,335.0,2.04,1.89,1.95,0.0,0.0,1.0,26,0.1980671014404297,False,REGULAR,USD
28,V250221C00340000,2024-10-18 13:35:44+00:00,340.0,1.37,1.43,1.49,0.21000004,18.103453,2.0,5,0.19770089416503905,False,REGULAR,USD
29,V250221C00345000,2024-10-18 16:56:11+00:00,345.0,1.12,1.09,1.13,0.00999999,0.9009,1.0,1,0.1974567559814453,False,REGULAR,USD
30,V250221C00350000,2024-09-19 13:42:55+00:00,350.0,1.3,0.82,0.87,0.0,0.0,,2,0.198250205078125,False,REGULAR,USD
31,V250221C00360000,2024-10-01 16:01:48+00:00,360.0,0.34,0.47,0.51,0.0,0.0,22.0,16,0.1997150341796875,False,REGULAR,USD
32,V250221C00380000,2024-10-09 15:47:13+00:00,380.0,0.11,0.17,0.21,0.0,0.0,1.0,0,0.2092364233398437,False,REGULAR,USD
33,V250221C00385000,2024-10-11 13:30:04+00:00,385.0,0.11,0.13,0.18,0.0,0.0,,1,0.2133867724609375,False,REGULAR,USD
