,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,V260116P00115000,2024-10-18 15:40:31+00:00,115.0,0.31,0.2,0.38,-0.03999999,-11.428569,10.0,332,0.3789124609375,False,REGULAR,USD
1,V260116P00120000,2024-10-18 15:39:54+00:00,120.0,0.39,0.25,0.39,-0.04000002,-9.302331,6.0,80,0.3640200317382813,False,REGULAR,USD
2,V260116P00125000,2024-08-12 14:26:08+00:00,125.0,0.8,0.35,0.81,0.0,0.0,5.0,54,0.3895324719238281,False,REGULAR,USD
3,V260116P00130000,2024-10-18 15:39:10+00:00,130.0,0.47,0.42,0.59,-0.32000002,-40.50633,8.0,25,0.3546207116699218,False,REGULAR,USD
4,V260116P00135000,2024-10-18 15:38:45+00:00,135.0,0.54,0.39,0.66,-0.31,-36.470585,6.0,72,0.3454655297851562,False,REGULAR,USD
5,V260116P00140000,2024-10-18 15:38:19+00:00,140.0,0.61,0.46,0.73,-0.16999996,-21.794868,5.0,43,0.3360662097167969,False,REGULAR,USD
6,V260116P00145000,2024-10-18 15:37:21+00:00,145.0,0.69,0.54,0.82,-0.17000002,-19.767445,3.0,23,0.3278875805664062,False,REGULAR,USD
7,V260116P00150000,2024-10-18 15:37:01+00:00,150.0,0.86,0.62,0.92,-0.029999971,-3.3707836,2.0,55,0.3198310205078124,False,REGULAR,USD
8,V260116P00155000,2024-10-18 15:36:28+00:00,155.0,0.97,0.76,0.97,-0.100000024,-9.345796,2.0,16,0.3086006640625,False,REGULAR,USD
9,V260116P00160000,2024-10-18 15:35:50+00:00,160.0,1.02,0.86,1.15,-0.37,-26.618704,2.0,36,0.3042061767578125,False,REGULAR,USD
10,V260116P00165000,2024-09-30 19:49:35+00:00,165.0,1.6,0.98,1.28,0.0,0.0,2.0,9,0.29651582397460935,False,REGULAR,USD
11,V260116P00170000,2024-09-27 16:03:39+00:00,170.0,1.74,1.13,1.43,0.0,0.0,1.0,133,0.2892527130126953,False,REGULAR,USD
12,V260116P00175000,2024-10-18 15:01:26+00:00,175.0,1.45,1.3,1.61,-0.5999999,-29.268288,10.0,140,0.28266098205566403,False,REGULAR,USD
13,V260116P00180000,2024-09-25 13:38:36+00:00,180.0,2.43,1.48,1.8,0.0,0.0,1.0,25,0.2758861474609374,False,REGULAR,USD
14,V260116P00185000,2024-09-24 19:25:46+00:00,185.0,2.65,1.7,2.02,0.0,0.0,6.0,36,0.26947752014160153,False,REGULAR,USD
15,V260116P00190000,2024-10-17 17:40:19+00:00,190.0,2.15,1.94,2.26,0.05000019,2.3809617,5.0,38,0.26306889282226564,False,REGULAR,USD
16,V260116P00195000,2024-10-14 19:35:54+00:00,195.0,2.87,2.2,2.41,0.0,0.0,1.0,16,0.25379164184570313,False,REGULAR,USD
17,V260116P00200000,2024-10-17 18:33:04+00:00,200.0,2.8,2.51,2.77,0.0,0.0,1.0,173,0.2493666372680664,False,REGULAR,USD
18,V260116P00210000,2024-10-16 15:57:33+00:00,210.0,3.85,3.25,3.55,0.0,0.0,1.0,172,0.2391433508300781,False,REGULAR,USD
19,V260116P00220000,2024-10-16 17:18:30+00:00,220.0,4.87,4.2,4.5,0.0,0.0,3.0,366,0.22888954711914064,False,REGULAR,USD
20,V260116P00230000,2024-10-15 16:08:01+00:00,230.0,6.6,5.4,5.75,0.0,0.0,20.0,951,0.21991746887207028,False,REGULAR,USD
