,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WFC270115C00030000,2024-10-15 17:45:55+00:00,30.0,33.7,32.5,37.5,0.0,0.0,1,35,0.540287800292969,True,REGULAR,USD
1,WFC270115C00032500,2024-10-11 13:44:05+00:00,32.5,28.48,30.0,34.95,0.0,0.0,1,1,0.49182637084960945,True,REGULAR,USD
2,WFC270115C00037500,2024-10-18 18:31:53+00:00,37.5,28.65,26.1,29.7,-0.1400013,-0.48628443,1,41,0.39819937744140627,True,REGULAR,USD
3,WFC270115C00040000,2024-10-18 18:03:06+00:00,40.0,26.6,24.0,27.65,7.84,41.791046,10,1,0.38495488098144526,True,REGULAR,USD
4,WFC270115C00042500,2024-10-16 16:51:49+00:00,42.5,23.98,22.05,25.0,0.0,0.0,1,2,0.34339035522460937,True,REGULAR,USD
5,WFC270115C00045000,2024-10-16 18:47:02+00:00,45.0,22.14,21.1,25.0,0.0,0.0,2,14,0.4116269775390625,True,REGULAR,USD
6,WFC270115C00047500,2024-10-16 17:21:44+00:00,47.5,20.1,20.15,21.4,0.0,0.0,3,5,0.3339300006103516,True,REGULAR,USD
7,WFC270115C00050000,2024-10-15 17:35:24+00:00,50.0,17.95,18.8,19.65,0.0,0.0,24,64,0.3270330969238281,True,REGULAR,USD
8,WFC270115C00052500,2024-10-11 16:31:58+00:00,52.5,14.77,16.55,18.65,0.0,0.0,3,3,0.3421086297607422,True,REGULAR,USD
9,WFC270115C00055000,2024-10-14 16:52:55+00:00,55.0,14.65,14.9,16.4,0.0,0.0,3,84,0.31452101501464835,True,REGULAR,USD
10,WFC270115C00057500,2024-10-18 15:49:39+00:00,57.5,14.76,12.65,14.95,2.7600002,23.000002,2,52,0.31012652770996096,True,REGULAR,USD
11,WFC270115C00060000,2024-10-18 19:24:46+00:00,60.0,13.4,12.6,15.5,0.65999985,5.1805325,1,159,0.3596865789794922,True,REGULAR,USD
12,WFC270115C00062500,2024-10-18 16:48:08+00:00,62.5,12.24,11.55,13.75,-0.06000042,-0.4878083,10,60,0.3411931115722656,True,REGULAR,USD
13,WFC270115C00065000,2024-10-18 16:59:53+00:00,65.0,11.03,8.85,11.1,0.029999733,0.27272484,23,174,0.29767548034667957,False,REGULAR,USD
14,WFC270115C00070000,2024-10-18 14:33:58+00:00,70.0,8.7,6.55,9.0,-0.35000038,-3.8674076,1,1018,0.29132788757324213,False,REGULAR,USD
15,WFC270115C00075000,2024-10-18 19:41:09+00:00,75.0,6.7,5.05,7.2,-0.35000038,-4.9645443,20,714,0.28504132934570303,False,REGULAR,USD
16,WFC270115C00080000,2024-10-17 17:28:02+00:00,80.0,5.35,3.95,5.8,0.0,0.0,2,72,0.2821727056884765,False,REGULAR,USD
