,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WFC250221P00027500,2024-10-18 19:15:18+00:00,27.5,0.06,0.0,0.65,0.009999998,19.999996,3.0,5,0.8281267187499999,False,REGULAR,USD
1,WFC250221P00030000,2024-09-23 15:42:54+00:00,30.0,0.12,0.0,0.41,0.0,0.0,275.0,247,0.6914093359375001,False,REGULAR,USD
2,WFC250221P00032500,2024-10-14 18:35:58+00:00,32.5,0.07,0.07,0.08,0.0,0.0,1.0,51,0.5351608984375,False,REGULAR,USD
3,WFC250221P00035000,2024-10-14 18:36:32+00:00,35.0,0.09,0.09,0.11,0.0,0.0,1.0,231,0.5029346582031251,False,REGULAR,USD
4,WFC250221P00037500,2024-10-15 18:40:36+00:00,37.5,0.13,0.12,0.14,0.0,0.0,30.0,83,0.476567734375,False,REGULAR,USD
5,WFC250221P00040000,2024-10-17 14:13:24+00:00,40.0,0.17,0.16,0.18,0.0,0.0,20.0,248,0.445318046875,False,REGULAR,USD
6,WFC250221P00042500,2024-10-17 19:09:38+00:00,42.5,0.23,0.21,0.23,0.0,0.0,7.0,236,0.415044912109375,False,REGULAR,USD
7,WFC250221P00045000,2024-10-17 14:43:00+00:00,45.0,0.29,0.27,0.29,0.0,0.0,10.0,2885,0.383795224609375,False,REGULAR,USD
8,WFC250221P00047500,2024-10-16 19:06:00+00:00,47.5,0.38,0.36,0.38,0.0,0.0,20.0,888,0.3569400244140625,False,REGULAR,USD
9,WFC250221P00050000,2024-10-17 19:13:26+00:00,50.0,0.53,0.49,0.52,0.0,0.0,11.0,2625,0.33399103515625,False,REGULAR,USD
10,WFC250221P00052500,2024-10-18 18:52:11+00:00,52.5,0.69,0.69,0.72,-0.06999999,-9.2105255,4.0,1951,0.3129951513671875,False,REGULAR,USD
11,WFC250221P00055000,2024-10-18 17:23:06+00:00,55.0,0.99,0.99,1.03,-0.03999996,-3.8834915,6.0,1268,0.29614961669921874,False,REGULAR,USD
12,WFC250221P00057500,2024-10-18 19:54:57+00:00,57.5,1.47,1.45,1.48,-0.00999999,-0.67567503,79.0,2105,0.2815013256835937,False,REGULAR,USD
13,WFC250221P00060000,2024-10-18 18:52:58+00:00,60.0,2.07,2.09,2.13,-0.01999998,-0.95693696,19.0,2745,0.2701489001464844,False,REGULAR,USD
14,WFC250221P00062500,2024-10-17 13:52:53+00:00,62.5,3.15,2.96,3.0,0.0,0.0,5.0,351,0.25989509643554687,False,REGULAR,USD
15,WFC250221P00065000,2024-10-18 14:00:20+00:00,65.0,4.1,4.05,4.15,0.0,0.0,13.0,453,0.2523268127441406,True,REGULAR,USD
16,WFC250221P00067500,2024-10-17 13:32:09+00:00,67.5,6.4,5.45,5.55,0.0,0.0,14.0,78,0.24463645996093752,True,REGULAR,USD
17,WFC250221P00070000,2024-10-18 13:55:00+00:00,70.0,7.3,6.3,7.25,0.10000038,1.3888942,4.0,702,0.24048611083984373,True,REGULAR,USD
18,WFC250221P00090000,2024-10-11 17:30:11+00:00,90.0,28.7,23.7,27.8,0.0,0.0,,1,0.5759319750976561,True,REGULAR,USD
