,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WMT260116C00026670,2024-10-17 14:00:31+00:00,26.67,55.0,54.05,56.35,0.0,0.0,1,114,0.5918009570312501,True,REGULAR,USD
1,WMT260116C00028330,2024-08-22 15:09:52+00:00,28.33,48.43,49.0,54.0,0.0,0.0,1,4,0.6403844555664062,True,REGULAR,USD
2,WMT260116C00030000,2024-10-11 16:28:10+00:00,30.0,50.64,49.55,54.45,0.0,0.0,1,37,0.5576216113281252,True,REGULAR,USD
3,WMT260116C00031670,2024-03-12 16:43:24+00:00,31.67,30.63,28.25,32.5,0.0,0.0,6,12,1.0000000000000003e-05,True,REGULAR,USD
4,WMT260116C00033330,2024-09-13 19:59:53+00:00,33.33,50.85,47.3,50.0,0.0,0.0,5,315,0.5009815527343751,True,REGULAR,USD
5,WMT260116C00035000,2024-08-30 15:22:16+00:00,35.0,42.8,45.35,46.35,0.0,0.0,10,1406,0.30274134765625,True,REGULAR,USD
6,WMT260116C00036670,2024-09-05 16:56:00+00:00,36.67,41.4,43.0,48.0,0.0,0.0,2,1639,0.7066679724121094,True,REGULAR,USD
7,WMT260116C00038330,2024-09-03 19:06:10+00:00,38.33,40.06,43.0,45.65,0.0,0.0,1,733,0.5095263891601562,True,REGULAR,USD
8,WMT260116C00040000,2024-09-30 18:35:51+00:00,40.0,41.9,40.7,44.55,0.0,0.0,5,2698,0.6351354846191408,True,REGULAR,USD
9,WMT260116C00041670,2024-10-10 17:39:22+00:00,41.67,39.75,39.05,43.5,0.0,0.0,3,689,0.6461217028808592,True,REGULAR,USD
10,WMT260116C00043330,2024-10-11 19:17:24+00:00,43.33,38.5,38.8,40.4,0.0,0.0,30,865,0.5229539892578124,True,REGULAR,USD
11,WMT260116C00045000,2024-10-10 19:25:01+00:00,45.0,36.5,36.9,38.45,0.0,0.0,1,209,0.47852083984375,True,REGULAR,USD
12,WMT260116C00046670,2024-09-26 18:32:59+00:00,46.67,35.04,36.35,36.9,0.0,0.0,2,1031,0.46326220336914065,True,REGULAR,USD
13,WMT260116C00048330,2024-10-14 18:58:33+00:00,48.33,34.21,34.8,36.4,0.0,0.0,1,213,0.5102588037109376,True,REGULAR,USD
14,WMT260116C00050000,2024-10-18 18:07:12+00:00,50.0,33.5,33.4,34.15,-0.5999985,-1.7595264,3,1023,0.45313046875,True,REGULAR,USD
15,WMT260116C00051670,2024-10-15 14:02:48+00:00,51.67,31.8,32.0,32.25,0.0,0.0,1,934,0.41748629394531245,True,REGULAR,USD
16,WMT260116C00053330,2024-10-18 18:23:22+00:00,53.33,30.5,30.55,30.75,0.65999985,2.2117958,4,811,0.4046690393066406,True,REGULAR,USD
17,WMT260116C00055000,2024-10-16 18:05:34+00:00,55.0,29.21,29.05,29.3,0.0,0.0,6,1443,0.39465937377929694,True,REGULAR,USD
18,WMT260116C00056670,2024-10-18 18:50:09+00:00,56.67,27.61,27.6,27.85,0.31000137,1.1355362,5,2454,0.3841614318847656,True,REGULAR,USD
19,WMT260116C00058330,2024-10-08 15:17:03+00:00,58.33,24.58,25.25,26.4,0.0,0.0,2,1345,0.37280900634765624,True,REGULAR,USD
20,WMT260116C00060000,2024-10-17 19:37:11+00:00,60.0,24.48,24.75,24.95,-0.020000458,-0.08163452,50,1876,0.3614565808105469,True,REGULAR,USD
21,WMT260116C00061670,2024-10-15 19:50:35+00:00,61.67,23.1,22.85,23.55,-1.2999992,-5.327866,1,933,0.3518131225585937,True,REGULAR,USD
22,WMT260116C00063330,2024-10-18 19:08:44+00:00,63.33,22.02,22.0,22.2,0.94000053,4.4592056,7,1152,0.34326828613281246,True,REGULAR,USD
23,WMT260116C00065000,2024-10-18 18:00:53+00:00,65.0,20.61,20.7,20.85,0.2800007,1.3772783,1,4045,0.33423517333984376,True,REGULAR,USD
24,WMT260116C00066670,2024-10-18 19:56:58+00:00,66.67,19.45,19.35,19.55,0.45000076,2.3684251,3,1608,0.32642275146484373,True,REGULAR,USD
25,WMT260116C00070000,2024-10-18 19:20:11+00:00,70.0,16.95,16.85,17.0,0.44000053,2.6650546,31,1944,0.3099434240722656,True,REGULAR,USD
26,WMT260116C00073330,2024-10-17 17:03:00+00:00,73.33,14.3,14.5,14.65,0.0,0.0,7,678,0.2966378930664062,True,REGULAR,USD
