,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,WMT260116P00026670,2024-10-03 19:25:05+00:00,26.67,0.04,0.06,0.24,0.0,0.0,2.0,2595,0.508793974609375,False,REGULAR,USD
1,WMT260116P00028330,2024-10-02 15:15:10+00:00,28.33,0.13,0.08,0.3,0.0,0.0,4.0,432,0.5009815527343751,False,REGULAR,USD
2,WMT260116P00030000,2024-10-02 15:15:56+00:00,30.0,0.15,0.12,0.31,0.0,0.0,11.0,103,0.47852083984375,False,REGULAR,USD
3,WMT260116P00031670,2024-10-02 15:15:52+00:00,31.67,0.14,0.15,0.54,0.0,0.0,5.0,52,0.5043994873046875,False,REGULAR,USD
4,WMT260116P00033330,2024-10-11 14:30:31+00:00,33.33,0.21,0.1,0.57,0.0,0.0,5.0,514,0.4848684326171875,False,REGULAR,USD
5,WMT260116P00035000,2024-10-10 14:36:13+00:00,35.0,0.25,0.1,0.41,0.0,0.0,5.0,640,0.4321345849609375,False,REGULAR,USD
6,WMT260116P00036670,2024-10-10 14:36:41+00:00,36.67,0.25,0.21,0.64,0.0,0.0,5.0,551,0.44922425781249997,False,REGULAR,USD
7,WMT260116P00038330,2024-09-20 16:16:57+00:00,38.33,0.3,0.25,0.48,0.0,0.0,2.0,38,0.40259386474609377,False,REGULAR,USD
8,WMT260116P00040000,2024-08-19 15:38:57+00:00,40.0,0.35,0.13,1.2,0.0,0.0,10.0,477,0.4710746252441406,False,REGULAR,USD
9,WMT260116P00041670,2024-08-26 15:12:06+00:00,41.67,0.5,0.23,0.63,0.0,0.0,5.0,84,0.3842835009765625,False,REGULAR,USD
10,WMT260116P00043330,2024-08-07 17:14:35+00:00,43.33,0.76,0.02,1.3,0.0,0.0,9.0,208,0.43530838134765626,False,REGULAR,USD
11,WMT260116P00045000,2024-10-18 19:21:43+00:00,45.0,0.45,0.3,0.49,0.00999999,2.272725,1.0,342,0.32813171874999997,False,REGULAR,USD
12,WMT260116P00046670,2024-09-25 15:34:18+00:00,46.67,0.49,0.27,0.73,0.0,0.0,4.0,933,0.3393620751953125,False,REGULAR,USD
13,WMT260116P00048330,2024-09-11 19:52:21+00:00,48.33,0.55,0.47,0.84,0.0,0.0,2.0,362,0.3325262060546875,False,REGULAR,USD
14,WMT260116P00050000,2024-10-18 15:05:17+00:00,50.0,0.62,0.57,0.69,-0.00999999,-1.5873001,234.0,1698,0.2999337585449219,False,REGULAR,USD
15,WMT260116P00051670,2024-10-11 15:29:19+00:00,51.67,0.72,0.67,0.73,0.0,0.0,15.0,1577,0.28711650390624993,False,REGULAR,USD
16,WMT260116P00053330,2024-10-10 18:55:04+00:00,53.33,0.87,0.77,0.82,0.0,0.0,1.0,1215,0.2786937365722656,False,REGULAR,USD
17,WMT260116P00055000,2024-10-15 13:50:03+00:00,55.0,0.91,0.89,0.94,0.0,0.0,20.0,2338,0.2718578674316406,False,REGULAR,USD
18,WMT260116P00056670,2024-10-09 16:13:50+00:00,56.67,1.11,1.02,1.07,0.0,0.0,5.0,1686,0.26489992919921873,False,REGULAR,USD
