,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,XOM250321C00060000,2024-06-17 14:07:22+00:00,60.0,49.63,56.25,59.2,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
1,XOM250321C00065000,2024-08-19 14:42:27+00:00,65.0,55.05,49.15,49.9,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD
2,XOM250321C00070000,2024-09-30 15:03:11+00:00,70.0,47.16,48.2,51.25,0.0,0.0,4.0,11,0.5881388842773438,True,REGULAR,USD
3,XOM250321C00075000,2024-09-20 14:10:11+00:00,75.0,40.16,43.65,47.05,0.0,0.0,4.0,3,0.6013223461914063,True,REGULAR,USD
4,XOM250321C00080000,2024-10-08 14:43:14+00:00,80.0,43.0,38.7,40.95,0.0,0.0,2.0,35,0.43555251953125,True,REGULAR,USD
5,XOM250321C00085000,2024-08-28 19:33:09+00:00,85.0,33.14,29.65,33.9,0.0,0.0,2.0,90,1.0000000000000003e-05,True,REGULAR,USD
6,XOM250321C00090000,2024-10-08 17:07:25+00:00,90.0,33.1,28.65,32.85,0.0,0.0,5.0,165,0.46484910156250003,True,REGULAR,USD
7,XOM250321C00095000,2024-10-11 18:38:31+00:00,95.0,30.12,26.0,26.45,0.0,0.0,37.0,182,0.3193427441406249,True,REGULAR,USD
8,XOM250321C00100000,2024-10-14 19:18:39+00:00,100.0,24.95,21.55,21.75,0.0,0.0,12.0,735,0.2852244329833984,True,REGULAR,USD
9,XOM250321C00105000,2024-10-16 14:52:43+00:00,105.0,18.26,16.25,17.45,0.0,0.0,1.0,663,0.26593751647949215,True,REGULAR,USD
10,XOM250321C00110000,2024-10-17 19:50:37+00:00,110.0,13.6,12.4,13.5,0.0,0.0,28.0,1999,0.25025163818359375,True,REGULAR,USD
11,XOM250321C00115000,2024-10-17 19:59:14+00:00,115.0,10.02,9.85,10.05,-0.32999992,-3.1884048,1.0,4842,0.23902128173828124,True,REGULAR,USD
12,XOM250321C00120000,2024-10-18 18:45:00+00:00,120.0,6.95,6.95,7.1,-0.4500003,-6.0810847,53.0,3487,0.22827920166015625,True,REGULAR,USD
13,XOM250321C00125000,2024-10-18 19:40:24+00:00,125.0,4.74,4.65,4.8,-0.21000004,-4.242425,63.0,3272,0.22113815979003904,False,REGULAR,USD
14,XOM250321C00130000,2024-10-18 16:40:34+00:00,130.0,3.04,3.0,3.15,-0.06999993,-2.2508018,11.0,8096,0.21778125976562498,False,REGULAR,USD
15,XOM250321C00135000,2024-10-18 19:41:59+00:00,135.0,1.91,1.9,1.98,-0.20999992,-9.905657,6.0,2799,0.21509573974609375,False,REGULAR,USD
16,XOM250321C00140000,2024-10-18 16:43:16+00:00,140.0,1.17,1.16,1.22,-0.120000005,-9.302326,21.0,7587,0.2142412561035156,False,REGULAR,USD
17,XOM250321C00145000,2024-10-17 14:20:30+00:00,145.0,0.9,0.68,0.75,0.0,0.0,40.0,887,0.2153398779296875,False,REGULAR,USD
18,XOM250321C00150000,2024-10-18 19:35:05+00:00,150.0,0.44,0.43,0.47,-0.06999999,-13.72549,51.0,972,0.21826953613281247,False,REGULAR,USD
19,XOM250321C00155000,2024-10-15 15:51:11+00:00,155.0,0.37,0.18,0.39,0.0,0.0,15.0,632,0.233406103515625,False,REGULAR,USD
20,XOM250321C00160000,2024-10-18 14:31:12+00:00,160.0,0.16,0.09,0.29,-0.19,-54.285717,2.0,44,0.242195078125,False,REGULAR,USD
21,XOM250321C00165000,2024-10-17 14:09:09+00:00,165.0,0.15,0.05,0.22,0.0,0.0,2.0,64,0.25098405273437496,False,REGULAR,USD
22,XOM250321C00170000,2024-10-18 14:30:03+00:00,170.0,0.1,0.03,0.18,-0.029999994,-23.07692,2.0,11,0.2617261328125,False,REGULAR,USD
23,XOM250321C00175000,2024-10-10 14:24:14+00:00,175.0,0.15,0.02,0.26,0.0,0.0,2.0,43,0.295905478515625,False,REGULAR,USD
24,XOM250321C00180000,2024-10-11 18:58:47+00:00,180.0,0.08,0.01,0.23,0.0,0.0,4.0,66,0.30762411132812495,False,REGULAR,USD
