,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,XOM250321P00060000,2024-10-08 18:46:41+00:00,60.0,0.06,0.0,0.16,0.0,0.0,1.0,4,0.500005,False,REGULAR,USD
1,XOM250321P00065000,2024-09-11 13:34:06+00:00,65.0,0.19,0.0,0.0,0.0,0.0,70.0,66,0.2500075,False,REGULAR,USD
2,XOM250321P00070000,2024-10-03 19:18:40+00:00,70.0,0.18,0.01,0.21,0.0,0.0,2.0,498,0.4155331884765625,False,REGULAR,USD
3,XOM250321P00075000,2024-10-04 19:53:13+00:00,75.0,0.09,0.05,0.2,0.0,0.0,3.0,131,0.36524072265625,False,REGULAR,USD
4,XOM250321P00080000,2024-10-07 16:14:03+00:00,80.0,0.23,0.07,0.29,0.0,0.0,1.0,4197,0.34204759521484374,False,REGULAR,USD
5,XOM250321P00085000,2024-10-14 15:22:37+00:00,85.0,0.24,0.17,0.42,0.0,0.0,2.0,343,0.3198310205078124,False,REGULAR,USD
6,XOM250321P00090000,2024-10-18 17:24:23+00:00,90.0,0.47,0.46,0.55,0.03999999,9.302323,4.0,969,0.2915109912109374,False,REGULAR,USD
7,XOM250321P00095000,2024-10-18 18:55:35+00:00,95.0,0.8,0.76,0.82,0.120000005,17.647058,1.0,1725,0.27246821289062495,False,REGULAR,USD
8,XOM250321P00100000,2024-10-18 19:23:05+00:00,100.0,1.26,1.22,1.28,-0.01999998,-1.5624986,5.0,3646,0.2576978527832031,False,REGULAR,USD
9,XOM250321P00105000,2024-10-17 17:49:38+00:00,105.0,2.03,1.93,2.03,0.0,0.0,53.0,5543,0.24658956542968752,False,REGULAR,USD
10,XOM250321P00110000,2024-10-18 18:06:46+00:00,110.0,3.07,3.0,3.1,0.029999971,0.98684114,4.0,3373,0.23511507080078126,False,REGULAR,USD
11,XOM250321P00115000,2024-10-18 16:42:32+00:00,115.0,4.61,4.5,4.6,0.05000019,1.0964954,427.0,2988,0.224067817993164,False,REGULAR,USD
12,XOM250321P00120000,2024-10-18 14:12:07+00:00,120.0,6.94,6.55,6.7,0.34000015,5.151518,13.0,3763,0.21588918884277342,False,REGULAR,USD
13,XOM250321P00125000,2024-10-17 17:24:05+00:00,125.0,9.35,9.25,11.5,0.0,0.0,32.0,644,0.2771068383789062,True,REGULAR,USD
14,XOM250321P00130000,2024-10-16 15:13:04+00:00,130.0,12.15,12.55,13.15,0.0,0.0,1.0,434,0.21839160522460935,True,REGULAR,USD
15,XOM250321P00135000,2024-10-15 16:57:40+00:00,135.0,15.5,16.45,17.35,0.0,0.0,4.0,48,0.23133092895507812,True,REGULAR,USD
16,XOM250321P00140000,2024-10-15 14:25:54+00:00,140.0,20.6,20.85,22.35,0.0,0.0,1.0,1,0.26978269287109374,True,REGULAR,USD
17,XOM250321P00145000,2024-10-08 14:43:13+00:00,145.0,23.55,25.35,25.95,0.0,0.0,,9,0.23023230712890624,True,REGULAR,USD
