Stock,Day_1,Day_2,Day_3,Day_4,Day_5
AAPL,226.07546902655275,226.61714944831726,227.5433672482061,225.6138604307976,225.3009993995036
MSFT,435.9802293575821,437.0560665982863,444.3327014929082,447.24530583530566,456.8607366676226
AMZN,201.01706602047418,206.49793726663304,210.17223106646952,208.96057977452924,211.7742394202262
GOOGL,160.07814301614889,159.65985833643896,160.43558667076428,156.64688476920537,154.33336398607418
GOOG,160.74388922298567,158.99153574442323,158.0127357357963,160.7945740474247,160.2612685032799
NVDA,118.88576338670346,121.969832091612,120.18704882263674,116.82623871148019,114.87869609467833
TSLA,249.37903313661946,246.8169765326895,255.04470289615156,243.79915298569657,252.540040468453
BRK-B,444.88026360382935,433.65089199723957,423.38205485562384,425.45818910631954,417.27679030323526
META,558.832770075476,554.35953824571,545.1514885160483,537.8200446210341,525.0436086862853
UNH,574.875200386475,580.3052767350046,580.8929392133764,589.2732106466436,589.5890176075555
XOM,117.9943992901891,118.23011946829735,116.92183902606618,124.3448920824998,122.23143808175038
JNJ,163.40377114577666,163.34758603475538,162.9134606861377,163.25987519995434,162.80997172724759
JPM,212.04608639640134,212.70482803422885,212.69575906721352,216.46853826523943,220.36679803982648
V,286.793739972648,286.7629151976261,285.41744858027573,282.3314516624423,274.0416662374253
WMT,77.08160311429062,74.60598186123089,71.5057422865426,68.67382776640437,66.51748214152651
PG,174.846424479211,175.01261322618285,172.0865119692012,171.64738187808084,170.7134041899918
MA,495.4231641155252,499.6392398452927,499.41832026854627,502.0907932929722,502.8768862823137
HD,392.1597898582342,393.304200767338,387.72187487988873,392.6077338194119,391.7014063097032
CVX,150.45194100655004,151.8011217440144,152.18713671724842,158.4964384071594,155.6647227437636
ABBV,197.66743427113806,199.2968927061199,204.7953292650389,210.31515509713233,216.61239085083085
KO,71.35661849326014,71.05641490065861,70.63933920069323,70.54497998507932,69.87880327469712
MRK,114.94517683927695,115.37886681065767,115.963886393447,117.1349794551167,118.92479000898345
LLY,927.2199151386652,932.5946265866077,928.2512528084355,939.94820611579,932.0630169068927
BAC,39.66009728388487,39.50563692789654,39.25678173527032,38.80191989333684,37.86954667165477
PEP,170.24374497680265,170.80820478922547,172.42369348595798,174.53991548033665,175.0932963346295
PFE,28.832550178768685,28.376786392290477,27.956103118965263,27.631575600219822,27.46677321418759
COST,916.1533815277014,908.0223245468895,904.845736788813,903.5169128818238,879.8955376191047
TMO,621.8193272893726,626.3289058799196,630.3784092040977,630.9049295829225,634.8260507042902
DIS,93.68792100689913,96.03181226844373,101.6876870365866,104.80036674965665,103.58567857807881
CSCO,51.70836396846885,51.85191033829335,52.0479979847606,52.79134929766233,53.23627976016668
MCD,296.69153606339125,295.9899278121182,295.79543471921824,283.502530149359,283.93439077723804
ABT,113.83958443474944,112.99010051530367,113.7164661738764,113.68695741520297,113.86381100056343
DHR,263.55703554636233,259.80033052852536,256.0083462019544,254.7442239618289,246.33144768540996
ACN,347.71068308795213,351.19179251402585,355.7601812950112,365.2042362702732,361.6249839301378
WFC,54.43438082732745,53.481720747004005,53.115963220138006,53.25136257406576,54.35762472366555
AVGO,173.099675624159,177.896701275405,182.7998678470391,188.95417222648805,196.2698466418163
ADBE,535.9675153510484,526.7976130300732,518.7857055899461,505.5430155268104,499.7284553425377
VZ,43.385561202576554,42.96654126172778,42.819986783057544,40.64828104176752,40.35754545341831
CRM,258.8214079563616,261.1100234687796,256.93845236859454,258.7207793148362,256.1459164056584
TXN,208.57094108483966,212.9164527666367,215.7037783978834,218.81117693945507,219.33956370664308
NEE,84.58614736471158,84.29712292337815,84.03333799085493,84.31620541428818,84.81575215015474
CMCSA,40.59475540354254,40.5695254255272,40.509213731037434,40.14140811422604,40.739004994060295
NFLX,699.2691664787206,698.4455796140414,693.4297877907542,678.1583343303043,665.6083709142089
INTC,22.848942364999253,23.21541525322553,23.49352737712172,23.46491832304758,23.138198711153706
LIN,480.4453741237418,480.1944827652314,480.29421961293053,480.07868347877115,481.9232827015251
NKE,86.34353728465676,86.59031437192486,87.05112569702696,88.43247869510083,89.39971149986562
AMD,160.76419165786018,164.072419287288,175.16080792979682,185.02546780560917,194.34872833167142
MDT,89.52355838040081,89.6522167105252,91.10349264335001,92.71490406435835,93.65176702565276
UNP,240.9327813417306,236.19932749546788,238.1614300511695,235.36479843286938,240.32723311874543
QCOM,162.52174415833133,160.31300361446796,158.23659826843814,154.84130660393416,156.86171411342428
