Stock,Final Portfolio Value,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6
AAPL,10062.729080689789,10000,10000.0,10000.0,10050.802190223048,10062.729080689789,10062.729080689789
MSFT,10026.32929444929,10000,10000.0,10068.503665956223,10049.863319055485,9973.203523590166,10026.32929444929
AMZN,9606.619683506797,10000,10000.0,9926.27305191426,9855.64018587149,9691.173165301,9606.619683506797
GOOGL,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
GOOG,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
NVDA,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
TSLA,10245.456305735665,10000,10000.0,10000.0,10000.0,10245.456305735665,10245.456305735665
BRK-B,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
META,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
UNH,10145.23425157719,10000,10000.0,10000.0,9973.9723411644,10096.128438701613,10145.23425157719
XOM,10014.523551004964,10000,10000.0,9805.210905660277,9636.907314037344,9894.916418208919,10014.523551004964
JNJ,9955.768446608767,10000,10000.0,9866.077362567316,9914.60871113944,9915.222699768934,9955.768446608767
JPM,9965.49923728282,10000,10000.0,9933.834720232555,9914.45697323176,9948.485391121834,9965.49923728282
V,10079.551779362317,10000,10000.0,9884.522548919249,9960.041192801216,10087.616931561439,10079.551779362317
WMT,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
PG,9998.268368832507,10000,10000.0,9943.43044589855,9998.268368832507,9998.268368832507,9998.268368832507
MA,10131.100815761816,10000,10000.0,10041.85390518164,10079.193772835075,10127.81873430902,10131.100815761816
HD,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
CVX,9987.792968497351,10000,9999.999999999998,9763.9880773439,9629.705556589824,9867.074161027882,9987.792968497351
ABBV,10205.15678618329,10000,10000.0,9883.726789748873,9916.79941551824,10066.146046362723,10205.15678618329
KO,10016.822531067883,10000,10000.000000000002,10016.822531067883,10016.822531067883,10016.822531067883,10016.822531067883
MRK,9898.020939239419,10000,10000.0,10000.0,9857.05508837642,9909.35231542774,9898.020939239419
LLY,9583.635423565554,10000,10000.0,10001.406324803853,9836.548083994698,9495.472723538134,9583.635423565554
BAC,10017.743902020396,10000,10000.0,9949.302722668806,10017.743902020396,10017.743902020396,10017.743902020396
PEP,10007.650946575648,10000,10000.0,9969.397111695827,9986.46446974944,10004.708205738982,10007.650946575648
PFE,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
COST,9909.538059162971,10000,10000.0,10076.313918966374,10076.313918966374,9899.477568718497,9909.538059162971
TMO,10109.335202785187,10000,10000.000000000002,9802.249207534493,10121.756098378442,10041.511048033515,10109.335202785187
DIS,10241.695519241555,10000,10000.0,10000.0,10136.286073706517,10222.530239356012,10241.695519241555
CSCO,10037.722224880486,10000,10000.0,10000.0,10000.0,10000.0,10037.722224880486
MCD,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
ABT,10059.11532344011,10000,10000.0,9935.59251330345,9946.180897705088,9919.711289330578,10059.11532344011
DHR,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
ACN,10408.102852207876,10000,10000.0,9924.326619421894,10476.70900507184,10296.802812527463,10408.102852207876
WFC,9898.449180463425,10000,10000.0,9898.449180463425,9898.449180463425,9898.449180463425,9898.449180463425
AVGO,9827.939596687056,10000,10000.0,10000.0,10146.421604539177,9838.764712729744,9827.939596687056
ADBE,9836.090088434416,10000,10000.0,9882.267963746699,9834.182412273974,9836.090088434416,9836.090088434416
VZ,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
CRM,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
TXN,10079.535711105425,10000,10000.0,10005.855133978628,10210.793013270546,10204.937879291916,10079.535711105425
NEE,10169.060921015962,10000,10000.0,10039.150768474354,10039.150768474354,10169.060921015962,10169.060921015962
CMCSA,10105.93748529422,10000,10000.0,10000.0,10105.93748529422,10105.93748529422,10105.93748529422
NFLX,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
INTC,10320.035715333937,10000,10000.0,10320.035715333937,10320.035715333937,10320.035715333937,10320.035715333937
LIN,9993.073322123944,10000,10000.0,9951.18397187659,10048.607208565729,10048.607208565729,9993.073322123944
NKE,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
AMD,10363.819747370288,10000,10000.0,10233.703687283509,10579.20652758475,10380.874084154646,10363.819747370288
MDT,10109.190869766127,10000,10000.0,9958.779071689993,9965.462898251804,10029.467262528406,10109.190869766127
UNP,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
QCOM,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0
