Stock,MSE,Final Portfolio Value (RF),Final Portfolio Value (BH),Sharpe Ratio (RF),Sharpe Ratio (BH),Sortino Ratio (RF),Sortino Ratio (BH),Max Drawdown (RF),Max Drawdown (BH),Deflated Sharpe Ratio (RF),Deflated Sharpe Ratio (BH),Probabilistic Sharpe Ratio (RF),Probabilistic Sharpe Ratio (BH),Omega Ratio (RF),Omega Ratio (BH)
AAPL,0.0020277898916481536,9763.195387124222,15372.54442981159,-0.08049613826218126,1.3181870250715886,-0.08923156566138316,2.079363702918831,-0.22561783069019686,-0.16606660638230766,0.004638987385719794,0.012295522730943744,0.05421264179086419,1.0,0.9961877531863257,1.2636129243366585
MSFT,0.0012170421582872104,14539.536179436882,17360.410849541848,1.5456558642615683,1.6645557388729337,1.6979265825191896,2.6342827033801863,-0.10749837145724479,-0.15486782863320298,0.009084343146308318,0.013001124414451637,1.0,1.0,1.494076199859976,1.325223434929906
AMZN,0.001779076851268537,16395.578074665063,20499.048544018253,1.4683362604762846,1.6590068711307335,1.6471589006384153,2.588286468395574,-0.18308626863073357,-0.1948999786376952,0.012995467853950114,0.017513813366235097,1.0,1.0,1.3978859628234155,1.333311130334385
GOOGL,0.001809569231053676,12925.121972087622,17676.300946007716,0.9357279398763133,1.4043982656093765,0.7587174534723518,1.936274717024349,-0.16242128974345918,-0.22137629941351764,0.009323928372745482,0.015958689442823876,1.0,1.0,1.2933891650146618,1.2857043731295101
GOOG,0.0018601498643599215,12470.888394570078,17758.877585128346,0.7859179868841737,1.4163965203381401,0.8807176781958698,1.930003753667214,-0.10123378299580525,-0.22279226558691495,0.009181959764268728,0.015972350728213368,1.0,1.0,1.250906304468559,1.287202379770891
NVDA,0.006564599252477861,22800.5051728987,56323.67566826338,1.6755959820032456,2.3403808681498575,2.6179000019759417,4.282709375276156,-0.24126045311982502,-0.2704676096679979,0.02016684882982891,0.03225437211758818,1.0,1.0,1.6022110517760009,1.5305840281862444
TSLA,0.007855527860997812,9801.556618289414,12666.565647507045,0.16302290866639157,0.5267101305636064,0.18776226491281003,0.8280912873664148,-0.37429553634254087,-0.5157496256046374,0.01528760053015004,0.023382135794679494,0.9993918721707804,1.0,1.0413266928532643,1.0968861904382805
BRK-B,0.000677191191487164,13264.844664676833,15029.730746288456,1.7455029107396876,1.8977062519853662,1.6990170625080467,2.781163701019222,-0.07401328631961972,-0.10464807380034526,0.005983519005855269,0.008241347426126849,1.0,1.0,1.5528960932339058,1.3805632020827234
META,0.003414987539722184,15065.221931333821,32898.031961700464,1.1582398240196043,2.2426510511230364,1.1085657629876975,3.8846581455460796,-0.15689654118083424,-0.1842644265553754,0.013166470331683975,0.022271581666817974,1.0,1.0,1.4258563107564521,1.5389310276092485
UNH,0.0018671557092316056,9674.971661113419,11986.261425368504,-0.0856137633486422,0.5802676693760703,-0.09828406022488402,0.8371979709642157,-0.1716551175268363,-0.1998922788727751,0.005192392604738241,0.010037674246109043,0.04391010022634958,1.0,0.9933609699804359,1.120994382324931
XOM,0.0012168910004383034,9184.174623157562,11112.120037922163,-0.29410474930853514,0.3662419543975202,-0.3366719674179405,0.5902891500528799,-0.2276659041965956,-0.1873113112316057,0.004067561538050783,0.008917418647340703,4.414790548338127e-09,0.999999999999292,0.9487817797049298,1.069231149782111
JNJ,0.0006436065524712903,10273.143755918974,10815.63249612037,0.11856152337996208,0.325802469137165,0.14498427724302973,0.5008012304198319,-0.17404615238200952,-0.15946154590631947,0.004494681479102495,0.006323710029082956,0.9908625240737522,0.9999999998866186,1.0426998447914864,1.071686815037278
JPM,0.001052399329174174,11591.294137360936,15753.0337597346,0.5833025104685345,1.4302970617777813,0.4825300524254885,1.7494973052273708,-0.1200637884170608,-0.13486558674400947,0.007541668704580101,0.012123069028248275,1.0,1.0,1.164652170597821,1.3019256346193087
V,0.0006382772626161062,13243.225255222987,13236.222088476754,1.721740143898563,1.1691915857865747,1.5767089218271277,1.6869837222897848,-0.07744431251072455,-0.12453217947891486,0.00601975811728309,0.008436227395131958,1.0,1.0,1.5830321297845407,1.222865772648475
WMT,0.0010257542709134857,12651.86080070457,16768.547921966554,1.2148688249797397,1.9948766797613182,0.9305280585916001,2.697243580272688,-0.10450539922204721,-0.10813818716516094,0.006688572076350406,0.010154832566972869,1.0,1.0,1.4654318560196486,1.4673617333319087
PG,0.0005333980117982013,13161.257927161569,12895.271722416153,1.4028843080636717,1.0921732942863493,1.5193324315606869,1.5472681723640396,-0.06060482756511762,-0.08986403704943138,0.007033555530958514,0.008008628501967763,1.0,1.0,1.4118105306095914,1.2237781696651264
MA,0.0005463148646983791,13849.328463343169,14091.036493174073,1.8168731971188725,1.344542630981688,1.6532239507517006,1.77311766688659,-0.08133405130974539,-0.12591338704353863,0.006734584033855586,0.009356312822991224,1.0,1.0,1.577489869885986,1.2699513541920706
HD,0.001191929933721827,11953.51825025138,13894.16619500856,0.7709164571917766,1.0895358734736538,0.9592083596002149,1.7350082901402646,-0.14627101329395423,-0.17737855426832955,0.007205545853863272,0.010809861815276638,1.0,1.0,1.1895241076007068,1.2051290920702027
CVX,0.0012971688268709626,8558.549881562345,9747.852997184375,-0.6238842449684551,-0.02175756946240616,-0.5516711613011427,-0.029132568048362843,-0.26084530468530587,-0.17013550467969907,0.0025809369485710744,0.006407175952096051,2.022238977167924e-30,0.3319425214037899,0.8761429774231145,1.0045287120674153
ABBV,0.0013078935657518348,12063.9469282386,13514.689073957656,0.7886929765145261,1.018842655657589,0.7373260941626415,1.264258854009591,-0.19747725349017925,-0.19642203500016217,0.0075081042103419884,0.010399169464152033,1.0,1.0,1.2168824136355916,1.2065756217089019
KO,0.0004418511554983841,10279.682772746122,12655.334766612878,0.12523270819924204,1.1567837598350221,0.12676448384761355,1.7143758309974113,-0.15634845662365196,-0.17266475734046732,0.0032949008076913525,0.0069802220406396595,0.9936448378513212,1.0,1.0572776598127342,1.2318770104361882
